criteria_id,lot_id,service_tower,criterion,weight,scoring_guidance,source_id
CRIT-HCDN-0001,LOT-HCDN-01,Clinical and Epic AMS,clinical continuity,8,evidence-backed scoring required,SRC-HCDN-EVAL-001
CRIT-HCDN-0002,LOT-HCDN-01,Clinical and Epic AMS,payer operations depth,10,evidence-backed scoring required,SRC-HCDN-EVAL-002
CRIT-HCDN-0003,LOT-HCDN-01,Clinical and Epic AMS,Stars/quality evidence,12,evidence-backed scoring required,SRC-HCDN-EVAL-003
CRIT-HCDN-0004,LOT-HCDN-01,Clinical and Epic AMS,data modernization credibility,15,evidence-backed scoring required,SRC-HCDN-EVAL-004
CRIT-HCDN-0005,LOT-HCDN-01,Clinical and Epic AMS,Azure current-state support,8,evidence-backed scoring required,SRC-HCDN-EVAL-005
CRIT-HCDN-0006,LOT-HCDN-01,Clinical and Epic AMS,AWS transformation roadmap,10,evidence-backed scoring required,SRC-HCDN-EVAL-006
CRIT-HCDN-0007,LOT-HCDN-01,Clinical and Epic AMS,commercial transparency,12,evidence-backed scoring required,SRC-HCDN-EVAL-007
CRIT-HCDN-0008,LOT-HCDN-01,Clinical and Epic AMS,transition risk,15,evidence-backed scoring required,SRC-HCDN-EVAL-008
CRIT-HCDN-0009,LOT-HCDN-01,Clinical and Epic AMS,PHI/security controls,8,evidence-backed scoring required,SRC-HCDN-EVAL-009
CRIT-HCDN-0010,LOT-HCDN-01,Clinical and Epic AMS,value commitment evidence,10,evidence-backed scoring required,SRC-HCDN-EVAL-010
CRIT-HCDN-0011,LOT-HCDN-02,Payer Platform Operations,clinical continuity,12,evidence-backed scoring required,SRC-HCDN-EVAL-011
CRIT-HCDN-0012,LOT-HCDN-02,Payer Platform Operations,payer operations depth,15,evidence-backed scoring required,SRC-HCDN-EVAL-012
CRIT-HCDN-0013,LOT-HCDN-02,Payer Platform Operations,Stars/quality evidence,8,evidence-backed scoring required,SRC-HCDN-EVAL-013
CRIT-HCDN-0014,LOT-HCDN-02,Payer Platform Operations,data modernization credibility,10,evidence-backed scoring required,SRC-HCDN-EVAL-014
CRIT-HCDN-0015,LOT-HCDN-02,Payer Platform Operations,Azure current-state support,12,evidence-backed scoring required,SRC-HCDN-EVAL-015
CRIT-HCDN-0016,LOT-HCDN-02,Payer Platform Operations,AWS transformation roadmap,15,evidence-backed scoring required,SRC-HCDN-EVAL-016
CRIT-HCDN-0017,LOT-HCDN-02,Payer Platform Operations,commercial transparency,8,evidence-backed scoring required,SRC-HCDN-EVAL-017
CRIT-HCDN-0018,LOT-HCDN-02,Payer Platform Operations,transition risk,10,evidence-backed scoring required,SRC-HCDN-EVAL-018
