invoice_line_id,lot_id,service_tower,contract_id,vendor_id,charge_type,value_disclosure_mode,period,source_id
INV-HCDN-LOT-HCDN-01-001,LOT-HCDN-01,Clinical and Epic AMS,CONT-HCDN-0012,VEND-HCDN-008,project services,range,2026-02,SRC-HCDN-INV-001
INV-HCDN-LOT-HCDN-01-002,LOT-HCDN-01,Clinical and Epic AMS,CONT-HCDN-0023,VEND-HCDN-015,cloud consumption,indexed,2026-03,SRC-HCDN-INV-002
INV-HCDN-LOT-HCDN-01-003,LOT-HCDN-01,Clinical and Epic AMS,CONT-HCDN-0034,VEND-HCDN-022,software subscription,exact,2026-04,SRC-HCDN-INV-003
INV-HCDN-LOT-HCDN-01-004,LOT-HCDN-01,Clinical and Epic AMS,CONT-HCDN-0045,VEND-HCDN-029,change order,range,2026-05,SRC-HCDN-INV-004
INV-HCDN-LOT-HCDN-01-005,LOT-HCDN-01,Clinical and Epic AMS,CONT-HCDN-0056,VEND-HCDN-036,service credit,indexed,2026-06,SRC-HCDN-INV-005
INV-HCDN-LOT-HCDN-01-006,LOT-HCDN-01,Clinical and Epic AMS,CONT-HCDN-0067,VEND-HCDN-043,run services,exact,2026-07,SRC-HCDN-INV-006
INV-HCDN-LOT-HCDN-01-007,LOT-HCDN-01,Clinical and Epic AMS,CONT-HCDN-0078,VEND-HCDN-050,project services,range,2026-08,SRC-HCDN-INV-007
INV-HCDN-LOT-HCDN-01-008,LOT-HCDN-01,Clinical and Epic AMS,CONT-HCDN-0089,VEND-HCDN-057,cloud consumption,indexed,2026-09,SRC-HCDN-INV-008
INV-HCDN-LOT-HCDN-01-009,LOT-HCDN-01,Clinical and Epic AMS,CONT-HCDN-0100,VEND-HCDN-064,software subscription,exact,2026-10,SRC-HCDN-INV-009
INV-HCDN-LOT-HCDN-01-010,LOT-HCDN-01,Clinical and Epic AMS,CONT-HCDN-0111,VEND-HCDN-071,change order,range,2026-11,SRC-HCDN-INV-010
INV-HCDN-LOT-HCDN-01-011,LOT-HCDN-01,Clinical and Epic AMS,CONT-HCDN-0122,VEND-HCDN-078,service credit,indexed,2026-12,SRC-HCDN-INV-011
INV-HCDN-LOT-HCDN-01-012,LOT-HCDN-01,Clinical and Epic AMS,CONT-HCDN-0133,VEND-HCDN-085,run services,exact,2026-01,SRC-HCDN-INV-012
INV-HCDN-LOT-HCDN-01-013,LOT-HCDN-01,Clinical and Epic AMS,CONT-HCDN-0144,VEND-HCDN-092,project services,range,2026-02,SRC-HCDN-INV-013
INV-HCDN-LOT-HCDN-01-014,LOT-HCDN-01,Clinical and Epic AMS,CONT-HCDN-0155,VEND-HCDN-099,cloud consumption,indexed,2026-03,SRC-HCDN-INV-014
INV-HCDN-LOT-HCDN-01-015,LOT-HCDN-01,Clinical and Epic AMS,CONT-HCDN-0166,VEND-HCDN-106,software subscription,exact,2026-04,SRC-HCDN-INV-015
INV-HCDN-LOT-HCDN-01-016,LOT-HCDN-01,Clinical and Epic AMS,CONT-HCDN-0177,VEND-HCDN-113,change order,range,2026-05,SRC-HCDN-INV-016
INV-HCDN-LOT-HCDN-01-017,LOT-HCDN-01,Clinical and Epic AMS,CONT-HCDN-0188,VEND-HCDN-120,service credit,indexed,2026-06,SRC-HCDN-INV-017
INV-HCDN-LOT-HCDN-01-018,LOT-HCDN-01,Clinical and Epic AMS,CONT-HCDN-0199,VEND-HCDN-127,run services,exact,2026-07,SRC-HCDN-INV-018
INV-HCDN-LOT-HCDN-01-019,LOT-HCDN-01,Clinical and Epic AMS,CONT-HCDN-0210,VEND-HCDN-134,project services,range,2026-08,SRC-HCDN-INV-019
INV-HCDN-LOT-HCDN-01-020,LOT-HCDN-01,Clinical and Epic AMS,CONT-HCDN-0221,VEND-HCDN-141,cloud consumption,indexed,2026-09,SRC-HCDN-INV-020
INV-HCDN-LOT-HCDN-01-021,LOT-HCDN-01,Clinical and Epic AMS,CONT-HCDN-0232,VEND-HCDN-148,software subscription,exact,2026-10,SRC-HCDN-INV-021
INV-HCDN-LOT-HCDN-01-022,LOT-HCDN-01,Clinical and Epic AMS,CONT-HCDN-0243,VEND-HCDN-155,change order,range,2026-11,SRC-HCDN-INV-022
INV-HCDN-LOT-HCDN-01-023,LOT-HCDN-01,Clinical and Epic AMS,CONT-HCDN-0254,VEND-HCDN-162,service credit,indexed,2026-12,SRC-HCDN-INV-023
INV-HCDN-LOT-HCDN-01-024,LOT-HCDN-01,Clinical and Epic AMS,CONT-HCDN-0265,VEND-HCDN-169,run services,exact,2026-01,SRC-HCDN-INV-024
INV-HCDN-LOT-HCDN-02-001,LOT-HCDN-02,Payer Platform Operations,CONT-HCDN-0012,VEND-HCDN-008,project services,range,2026-02,SRC-HCDN-INV-001
INV-HCDN-LOT-HCDN-02-002,LOT-HCDN-02,Payer Platform Operations,CONT-HCDN-0023,VEND-HCDN-015,cloud consumption,indexed,2026-03,SRC-HCDN-INV-002
INV-HCDN-LOT-HCDN-02-003,LOT-HCDN-02,Payer Platform Operations,CONT-HCDN-0034,VEND-HCDN-022,software subscription,exact,2026-04,SRC-HCDN-INV-003
INV-HCDN-LOT-HCDN-02-004,LOT-HCDN-02,Payer Platform Operations,CONT-HCDN-0045,VEND-HCDN-029,change order,range,2026-05,SRC-HCDN-INV-004
INV-HCDN-LOT-HCDN-02-005,LOT-HCDN-02,Payer Platform Operations,CONT-HCDN-0056,VEND-HCDN-036,service credit,indexed,2026-06,SRC-HCDN-INV-005
INV-HCDN-LOT-HCDN-02-006,LOT-HCDN-02,Payer Platform Operations,CONT-HCDN-0067,VEND-HCDN-043,run services,exact,2026-07,SRC-HCDN-INV-006
INV-HCDN-LOT-HCDN-02-007,LOT-HCDN-02,Payer Platform Operations,CONT-HCDN-0078,VEND-HCDN-050,project services,range,2026-08,SRC-HCDN-INV-007
INV-HCDN-LOT-HCDN-02-008,LOT-HCDN-02,Payer Platform Operations,CONT-HCDN-0089,VEND-HCDN-057,cloud consumption,indexed,2026-09,SRC-HCDN-INV-008
INV-HCDN-LOT-HCDN-02-009,LOT-HCDN-02,Payer Platform Operations,CONT-HCDN-0100,VEND-HCDN-064,software subscription,exact,2026-10,SRC-HCDN-INV-009
INV-HCDN-LOT-HCDN-02-010,LOT-HCDN-02,Payer Platform Operations,CONT-HCDN-0111,VEND-HCDN-071,change order,range,2026-11,SRC-HCDN-INV-010
INV-HCDN-LOT-HCDN-02-011,LOT-HCDN-02,Payer Platform Operations,CONT-HCDN-0122,VEND-HCDN-078,service credit,indexed,2026-12,SRC-HCDN-INV-011
INV-HCDN-LOT-HCDN-02-012,LOT-HCDN-02,Payer Platform Operations,CONT-HCDN-0133,VEND-HCDN-085,run services,exact,2026-01,SRC-HCDN-INV-012
INV-HCDN-LOT-HCDN-02-013,LOT-HCDN-02,Payer Platform Operations,CONT-HCDN-0144,VEND-HCDN-092,project services,range,2026-02,SRC-HCDN-INV-013
INV-HCDN-LOT-HCDN-02-014,LOT-HCDN-02,Payer Platform Operations,CONT-HCDN-0155,VEND-HCDN-099,cloud consumption,indexed,2026-03,SRC-HCDN-INV-014
INV-HCDN-LOT-HCDN-02-015,LOT-HCDN-02,Payer Platform Operations,CONT-HCDN-0166,VEND-HCDN-106,software subscription,exact,2026-04,SRC-HCDN-INV-015
INV-HCDN-LOT-HCDN-02-016,LOT-HCDN-02,Payer Platform Operations,CONT-HCDN-0177,VEND-HCDN-113,change order,range,2026-05,SRC-HCDN-INV-016
INV-HCDN-LOT-HCDN-02-017,LOT-HCDN-02,Payer Platform Operations,CONT-HCDN-0188,VEND-HCDN-120,service credit,indexed,2026-06,SRC-HCDN-INV-017
INV-HCDN-LOT-HCDN-02-018,LOT-HCDN-02,Payer Platform Operations,CONT-HCDN-0199,VEND-HCDN-127,run services,exact,2026-07,SRC-HCDN-INV-018
INV-HCDN-LOT-HCDN-02-019,LOT-HCDN-02,Payer Platform Operations,CONT-HCDN-0210,VEND-HCDN-134,project services,range,2026-08,SRC-HCDN-INV-019
INV-HCDN-LOT-HCDN-02-020,LOT-HCDN-02,Payer Platform Operations,CONT-HCDN-0221,VEND-HCDN-141,cloud consumption,indexed,2026-09,SRC-HCDN-INV-020
INV-HCDN-LOT-HCDN-02-021,LOT-HCDN-02,Payer Platform Operations,CONT-HCDN-0232,VEND-HCDN-148,software subscription,exact,2026-10,SRC-HCDN-INV-021
INV-HCDN-LOT-HCDN-02-022,LOT-HCDN-02,Payer Platform Operations,CONT-HCDN-0243,VEND-HCDN-155,change order,range,2026-11,SRC-HCDN-INV-022
INV-HCDN-LOT-HCDN-02-023,LOT-HCDN-02,Payer Platform Operations,CONT-HCDN-0254,VEND-HCDN-162,service credit,indexed,2026-12,SRC-HCDN-INV-023
INV-HCDN-LOT-HCDN-02-024,LOT-HCDN-02,Payer Platform Operations,CONT-HCDN-0265,VEND-HCDN-169,run services,exact,2026-01,SRC-HCDN-INV-024
INV-HCDN-LOT-HCDN-03-001,LOT-HCDN-03,Data Analytics and AI,CONT-HCDN-0012,VEND-HCDN-008,project services,range,2026-02,SRC-HCDN-INV-001
INV-HCDN-LOT-HCDN-03-002,LOT-HCDN-03,Data Analytics and AI,CONT-HCDN-0023,VEND-HCDN-015,cloud consumption,indexed,2026-03,SRC-HCDN-INV-002
INV-HCDN-LOT-HCDN-03-003,LOT-HCDN-03,Data Analytics and AI,CONT-HCDN-0034,VEND-HCDN-022,software subscription,exact,2026-04,SRC-HCDN-INV-003
INV-HCDN-LOT-HCDN-03-004,LOT-HCDN-03,Data Analytics and AI,CONT-HCDN-0045,VEND-HCDN-029,change order,range,2026-05,SRC-HCDN-INV-004
INV-HCDN-LOT-HCDN-03-005,LOT-HCDN-03,Data Analytics and AI,CONT-HCDN-0056,VEND-HCDN-036,service credit,indexed,2026-06,SRC-HCDN-INV-005
INV-HCDN-LOT-HCDN-03-006,LOT-HCDN-03,Data Analytics and AI,CONT-HCDN-0067,VEND-HCDN-043,run services,exact,2026-07,SRC-HCDN-INV-006
INV-HCDN-LOT-HCDN-03-007,LOT-HCDN-03,Data Analytics and AI,CONT-HCDN-0078,VEND-HCDN-050,project services,range,2026-08,SRC-HCDN-INV-007
