application_id,application_name,family,family_code,business_function,application_type,hosting_model,technology_stack,environment,criticality,service_tower,vendor_id,contract_id,evidence_gap,roadmap_disposition
APP-HCDN-00001,Epic Hyperspace nonproduction 01,Epic clinical and revenue-cycle footprint,EPIC,Clinical Operations,critical workflow,Azure foundation workload,Epic Hyperspace,nonproduction,medium,Data Analytics and AI,VEND-HCDN-002,CONT-HCDN-0002,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00002,Epic Chronicles reporting 01,Epic clinical and revenue-cycle footprint,EPIC,Clinical Operations,departmental mart app,AWS future-agentic candidate,Epic Chronicles,test,medium,Cloud Infrastructure and Data Center,VEND-HCDN-003,CONT-HCDN-0003,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00003,Epic Clarity extract 01,Epic clinical and revenue-cycle footprint,EPIC,Data and Analytics,reporting platform,Oracle/UNIX estate,Epic Clarity,DR,medium,Security Identity and Compliance,VEND-HCDN-004,CONT-HCDN-0004,source-backed candidate,current
APP-HCDN-00004,Epic Caboodle upgrade 01,Epic clinical and revenue-cycle footprint,EPIC,Data and Analytics,integration runtime,edge/clinic footprint,Epic Caboodle,development,high,ERP and Corporate Platforms,VEND-HCDN-005,CONT-HCDN-0005,source-backed candidate,current
APP-HCDN-00005,Epic Cogito production 01,Epic clinical and revenue-cycle footprint,EPIC,Clinical Analytics,AI/use-case platform,on-prem data center,Epic Cogito,production,medium,Payer Platform Operations,VEND-HCDN-006,CONT-HCDN-0006,source-backed candidate,current
APP-HCDN-00006,Epic Healthy Planet nonproduction 01,Epic clinical and revenue-cycle footprint,EPIC,Population Health,shadow reporting,Azure foundation workload,Epic Healthy Planet,nonproduction,medium,Revenue Cycle Technology,VEND-HCDN-007,CONT-HCDN-0007,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00007,Epic Resolute HB reporting 01,Epic clinical and revenue-cycle footprint,EPIC,Revenue Cycle,legacy inherited app,AWS future-agentic candidate,Epic Resolute HB,test,medium,Workplace and Contact Center,VEND-HCDN-008,CONT-HCDN-0008,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00008,Epic Resolute PB extract 01,Epic clinical and revenue-cycle footprint,EPIC,Revenue Cycle,modernization target,Oracle/UNIX estate,Epic Resolute PB,DR,high,Integration and Interoperability,VEND-HCDN-009,CONT-HCDN-0009,source-backed candidate,current
APP-HCDN-00009,Epic Cadence upgrade 01,Epic clinical and revenue-cycle footprint,EPIC,Patient Access,system of record,edge/clinic footprint,Epic Cadence,development,medium,Clinical and Epic AMS,VEND-HCDN-010,CONT-HCDN-0010,lineage or ownership conflict,current
APP-HCDN-00010,Epic Prelude production 01,Epic clinical and revenue-cycle footprint,EPIC,Patient Access,critical workflow,on-prem data center,Epic Prelude,production,medium,Data Analytics and AI,VEND-HCDN-011,CONT-HCDN-0011,source-backed candidate,current
APP-HCDN-00011,Epic Grand Central nonproduction 01,Epic clinical and revenue-cycle footprint,EPIC,Bed Management,departmental mart app,Azure foundation workload,Epic Grand Central,nonproduction,critical,Cloud Infrastructure and Data Center,VEND-HCDN-012,CONT-HCDN-0012,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00012,Epic Willow reporting 01,Epic clinical and revenue-cycle footprint,EPIC,Pharmacy,reporting platform,AWS future-agentic candidate,Epic Willow,test,high,Security Identity and Compliance,VEND-HCDN-013,CONT-HCDN-0013,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00013,Epic Beacon extract 01,Epic clinical and revenue-cycle footprint,EPIC,Oncology,integration runtime,Oracle/UNIX estate,Epic Beacon,DR,medium,ERP and Corporate Platforms,VEND-HCDN-014,CONT-HCDN-0014,stale/duplicate candidate,current
APP-HCDN-00014,Epic Radiant upgrade 01,Epic clinical and revenue-cycle footprint,EPIC,Imaging,AI/use-case platform,edge/clinic footprint,Epic Radiant,development,medium,Payer Platform Operations,VEND-HCDN-015,CONT-HCDN-0015,source-backed candidate,current
APP-HCDN-00015,Epic Cupid production 01,Epic clinical and revenue-cycle footprint,EPIC,Cardiology,shadow reporting,on-prem data center,Epic Cupid,production,medium,Revenue Cycle Technology,VEND-HCDN-016,CONT-HCDN-0016,source-backed candidate,current
APP-HCDN-00016,Epic OpTime nonproduction 01,Epic clinical and revenue-cycle footprint,EPIC,Surgery,legacy inherited app,Azure foundation workload,Epic OpTime,nonproduction,high,Workplace and Contact Center,VEND-HCDN-017,CONT-HCDN-0017,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00017,Epic Anesthesia reporting 01,Epic clinical and revenue-cycle footprint,EPIC,Surgery,modernization target,AWS future-agentic candidate,Epic Anesthesia,test,medium,Integration and Interoperability,VEND-HCDN-018,CONT-HCDN-0018,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00018,Epic ASAP extract 01,Epic clinical and revenue-cycle footprint,EPIC,Emergency Department,system of record,Oracle/UNIX estate,Epic ASAP,DR,medium,Clinical and Epic AMS,VEND-HCDN-019,CONT-HCDN-0019,lineage or ownership conflict,current
APP-HCDN-00019,Epic Ambulatory upgrade 01,Epic clinical and revenue-cycle footprint,EPIC,Ambulatory Care,critical workflow,edge/clinic footprint,Epic Ambulatory,development,medium,Data Analytics and AI,VEND-HCDN-020,CONT-HCDN-0020,source-backed candidate,current
APP-HCDN-00020,Epic MyChart production 01,Epic clinical and revenue-cycle footprint,EPIC,Digital Front Door,departmental mart app,on-prem data center,Epic MyChart,production,high,Cloud Infrastructure and Data Center,VEND-HCDN-021,CONT-HCDN-0021,source-backed candidate,current
APP-HCDN-00021,Epic Care Everywhere nonproduction 01,Epic clinical and revenue-cycle footprint,EPIC,Interoperability,reporting platform,Azure foundation workload,Epic Care Everywhere,nonproduction,medium,Security Identity and Compliance,VEND-HCDN-022,CONT-HCDN-0022,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00022,Epic Bridges reporting 01,Epic clinical and revenue-cycle footprint,EPIC,Integration Services,integration runtime,AWS future-agentic candidate,Epic Bridges,test,critical,ERP and Corporate Platforms,VEND-HCDN-023,CONT-HCDN-0023,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00023,Epic Tapestry extract 01,Epic clinical and revenue-cycle footprint,EPIC,Health Plan Operations,AI/use-case platform,Oracle/UNIX estate,Epic Tapestry,DR,medium,Payer Platform Operations,VEND-HCDN-024,CONT-HCDN-0024,source-backed candidate,current
APP-HCDN-00024,Epic Hyperspace upgrade 02,Epic clinical and revenue-cycle footprint,EPIC,Clinical Operations,shadow reporting,edge/clinic footprint,Epic Hyperspace,development,high,Revenue Cycle Technology,VEND-HCDN-025,CONT-HCDN-0025,source-backed candidate,current
APP-HCDN-00025,Epic Chronicles production 02,Epic clinical and revenue-cycle footprint,EPIC,Clinical Operations,legacy inherited app,on-prem data center,Epic Chronicles,production,medium,Workplace and Contact Center,VEND-HCDN-026,CONT-HCDN-0026,source-backed candidate,current
APP-HCDN-00026,Epic Clarity nonproduction 02,Epic clinical and revenue-cycle footprint,EPIC,Data and Analytics,modernization target,Azure foundation workload,Epic Clarity,nonproduction,medium,Integration and Interoperability,VEND-HCDN-027,CONT-HCDN-0027,stale/duplicate candidate,Azure current foundation/use-case footprint
APP-HCDN-00027,Epic Caboodle reporting 02,Epic clinical and revenue-cycle footprint,EPIC,Data and Analytics,system of record,AWS future-agentic candidate,Epic Caboodle,test,medium,Clinical and Epic AMS,VEND-HCDN-028,CONT-HCDN-0028,lineage or ownership conflict,future AWS agentic/transformation candidate
APP-HCDN-00028,Epic Cogito extract 02,Epic clinical and revenue-cycle footprint,EPIC,Clinical Analytics,critical workflow,Oracle/UNIX estate,Epic Cogito,DR,high,Data Analytics and AI,VEND-HCDN-029,CONT-HCDN-0029,source-backed candidate,current
APP-HCDN-00029,Epic Healthy Planet upgrade 02,Epic clinical and revenue-cycle footprint,EPIC,Population Health,departmental mart app,edge/clinic footprint,Epic Healthy Planet,development,medium,Cloud Infrastructure and Data Center,VEND-HCDN-030,CONT-HCDN-0030,source-backed candidate,current
APP-HCDN-00030,Epic Resolute HB production 02,Epic clinical and revenue-cycle footprint,EPIC,Revenue Cycle,reporting platform,on-prem data center,Epic Resolute HB,production,medium,Security Identity and Compliance,VEND-HCDN-031,CONT-HCDN-0031,source-backed candidate,current
APP-HCDN-00031,Epic Resolute PB nonproduction 02,Epic clinical and revenue-cycle footprint,EPIC,Revenue Cycle,integration runtime,Azure foundation workload,Epic Resolute PB,nonproduction,medium,ERP and Corporate Platforms,VEND-HCDN-032,CONT-HCDN-0032,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00032,Epic Cadence reporting 02,Epic clinical and revenue-cycle footprint,EPIC,Patient Access,AI/use-case platform,AWS future-agentic candidate,Epic Cadence,test,high,Payer Platform Operations,VEND-HCDN-033,CONT-HCDN-0033,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00033,Epic Prelude extract 02,Epic clinical and revenue-cycle footprint,EPIC,Patient Access,shadow reporting,Oracle/UNIX estate,Epic Prelude,DR,critical,Revenue Cycle Technology,VEND-HCDN-034,CONT-HCDN-0034,source-backed candidate,current
APP-HCDN-00034,Epic Grand Central upgrade 02,Epic clinical and revenue-cycle footprint,EPIC,Bed Management,legacy inherited app,edge/clinic footprint,Epic Grand Central,development,medium,Workplace and Contact Center,VEND-HCDN-035,CONT-HCDN-0035,source-backed candidate,current
APP-HCDN-00035,Epic Willow production 02,Epic clinical and revenue-cycle footprint,EPIC,Pharmacy,modernization target,on-prem data center,Epic Willow,production,medium,Integration and Interoperability,VEND-HCDN-036,CONT-HCDN-0036,source-backed candidate,current
APP-HCDN-00036,Epic Beacon nonproduction 02,Epic clinical and revenue-cycle footprint,EPIC,Oncology,system of record,Azure foundation workload,Epic Beacon,nonproduction,high,Clinical and Epic AMS,VEND-HCDN-037,CONT-HCDN-0037,lineage or ownership conflict,Azure current foundation/use-case footprint
APP-HCDN-00037,Epic Radiant reporting 02,Epic clinical and revenue-cycle footprint,EPIC,Imaging,critical workflow,AWS future-agentic candidate,Epic Radiant,test,medium,Data Analytics and AI,VEND-HCDN-038,CONT-HCDN-0038,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00038,Epic Cupid extract 02,Epic clinical and revenue-cycle footprint,EPIC,Cardiology,departmental mart app,Oracle/UNIX estate,Epic Cupid,DR,medium,Cloud Infrastructure and Data Center,VEND-HCDN-039,CONT-HCDN-0039,source-backed candidate,current
APP-HCDN-00039,Epic OpTime upgrade 02,Epic clinical and revenue-cycle footprint,EPIC,Surgery,reporting platform,edge/clinic footprint,Epic OpTime,development,medium,Security Identity and Compliance,VEND-HCDN-040,CONT-HCDN-0040,stale/duplicate candidate,current
APP-HCDN-00040,Epic Anesthesia production 02,Epic clinical and revenue-cycle footprint,EPIC,Surgery,integration runtime,on-prem data center,Epic Anesthesia,production,high,ERP and Corporate Platforms,VEND-HCDN-041,CONT-HCDN-0041,source-backed candidate,current
APP-HCDN-00041,Epic ASAP nonproduction 02,Epic clinical and revenue-cycle footprint,EPIC,Emergency Department,AI/use-case platform,Azure foundation workload,Epic ASAP,nonproduction,medium,Payer Platform Operations,VEND-HCDN-042,CONT-HCDN-0042,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00042,Epic Ambulatory reporting 02,Epic clinical and revenue-cycle footprint,EPIC,Ambulatory Care,shadow reporting,AWS future-agentic candidate,Epic Ambulatory,test,medium,Revenue Cycle Technology,VEND-HCDN-043,CONT-HCDN-0043,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00043,Epic MyChart extract 02,Epic clinical and revenue-cycle footprint,EPIC,Digital Front Door,legacy inherited app,Oracle/UNIX estate,Epic MyChart,DR,medium,Workplace and Contact Center,VEND-HCDN-044,CONT-HCDN-0044,source-backed candidate,current
APP-HCDN-00044,Epic Care Everywhere upgrade 02,Epic clinical and revenue-cycle footprint,EPIC,Interoperability,modernization target,edge/clinic footprint,Epic Care Everywhere,development,critical,Integration and Interoperability,VEND-HCDN-045,CONT-HCDN-0045,source-backed candidate,current
APP-HCDN-00045,Epic Bridges production 02,Epic clinical and revenue-cycle footprint,EPIC,Integration Services,system of record,on-prem data center,Epic Bridges,production,medium,Clinical and Epic AMS,VEND-HCDN-046,CONT-HCDN-0046,lineage or ownership conflict,current
APP-HCDN-00046,Epic Tapestry nonproduction 02,Epic clinical and revenue-cycle footprint,EPIC,Health Plan Operations,critical workflow,Azure foundation workload,Epic Tapestry,nonproduction,medium,Data Analytics and AI,VEND-HCDN-047,CONT-HCDN-0047,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00047,Epic Hyperspace reporting 03,Epic clinical and revenue-cycle footprint,EPIC,Clinical Operations,departmental mart app,AWS future-agentic candidate,Epic Hyperspace,test,medium,Cloud Infrastructure and Data Center,VEND-HCDN-048,CONT-HCDN-0048,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00048,Epic Chronicles extract 03,Epic clinical and revenue-cycle footprint,EPIC,Clinical Operations,reporting platform,Oracle/UNIX estate,Epic Chronicles,DR,high,Security Identity and Compliance,VEND-HCDN-049,CONT-HCDN-0049,source-backed candidate,current
APP-HCDN-00049,Epic Clarity upgrade 03,Epic clinical and revenue-cycle footprint,EPIC,Data and Analytics,integration runtime,edge/clinic footprint,Epic Clarity,development,medium,ERP and Corporate Platforms,VEND-HCDN-050,CONT-HCDN-0050,source-backed candidate,current
APP-HCDN-00050,Epic Caboodle production 03,Epic clinical and revenue-cycle footprint,EPIC,Data and Analytics,AI/use-case platform,on-prem data center,Epic Caboodle,production,medium,Payer Platform Operations,VEND-HCDN-051,CONT-HCDN-0051,source-backed candidate,current
APP-HCDN-00051,Epic Cogito nonproduction 03,Epic clinical and revenue-cycle footprint,EPIC,Clinical Analytics,shadow reporting,Azure foundation workload,Epic Cogito,nonproduction,medium,Revenue Cycle Technology,VEND-HCDN-052,CONT-HCDN-0052,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00052,Epic Healthy Planet reporting 03,Epic clinical and revenue-cycle footprint,EPIC,Population Health,legacy inherited app,AWS future-agentic candidate,Epic Healthy Planet,test,high,Workplace and Contact Center,VEND-HCDN-053,CONT-HCDN-0053,stale/duplicate candidate,future AWS agentic/transformation candidate
APP-HCDN-00053,Epic Resolute HB extract 03,Epic clinical and revenue-cycle footprint,EPIC,Revenue Cycle,modernization target,Oracle/UNIX estate,Epic Resolute HB,DR,medium,Integration and Interoperability,VEND-HCDN-054,CONT-HCDN-0054,source-backed candidate,current
APP-HCDN-00054,Epic Resolute PB upgrade 03,Epic clinical and revenue-cycle footprint,EPIC,Revenue Cycle,system of record,edge/clinic footprint,Epic Resolute PB,development,medium,Clinical and Epic AMS,VEND-HCDN-055,CONT-HCDN-0055,lineage or ownership conflict,current
APP-HCDN-00055,Epic Cadence production 03,Epic clinical and revenue-cycle footprint,EPIC,Patient Access,critical workflow,on-prem data center,Epic Cadence,production,critical,Data Analytics and AI,VEND-HCDN-056,CONT-HCDN-0056,source-backed candidate,current
APP-HCDN-00056,Epic Prelude nonproduction 03,Epic clinical and revenue-cycle footprint,EPIC,Patient Access,departmental mart app,Azure foundation workload,Epic Prelude,nonproduction,high,Cloud Infrastructure and Data Center,VEND-HCDN-057,CONT-HCDN-0057,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00057,Epic Grand Central reporting 03,Epic clinical and revenue-cycle footprint,EPIC,Bed Management,reporting platform,AWS future-agentic candidate,Epic Grand Central,test,medium,Security Identity and Compliance,VEND-HCDN-058,CONT-HCDN-0058,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00058,Epic Willow extract 03,Epic clinical and revenue-cycle footprint,EPIC,Pharmacy,integration runtime,Oracle/UNIX estate,Epic Willow,DR,medium,ERP and Corporate Platforms,VEND-HCDN-059,CONT-HCDN-0059,source-backed candidate,current
APP-HCDN-00059,Epic Beacon upgrade 03,Epic clinical and revenue-cycle footprint,EPIC,Oncology,AI/use-case platform,edge/clinic footprint,Epic Beacon,development,medium,Payer Platform Operations,VEND-HCDN-060,CONT-HCDN-0060,source-backed candidate,current
APP-HCDN-00060,Epic Radiant production 03,Epic clinical and revenue-cycle footprint,EPIC,Imaging,shadow reporting,on-prem data center,Epic Radiant,production,high,Revenue Cycle Technology,VEND-HCDN-061,CONT-HCDN-0061,source-backed candidate,current
APP-HCDN-00061,Epic Cupid nonproduction 03,Epic clinical and revenue-cycle footprint,EPIC,Cardiology,legacy inherited app,Azure foundation workload,Epic Cupid,nonproduction,medium,Workplace and Contact Center,VEND-HCDN-062,CONT-HCDN-0062,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00062,Epic OpTime reporting 03,Epic clinical and revenue-cycle footprint,EPIC,Surgery,modernization target,AWS future-agentic candidate,Epic OpTime,test,medium,Integration and Interoperability,VEND-HCDN-063,CONT-HCDN-0063,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00063,Epic Anesthesia extract 03,Epic clinical and revenue-cycle footprint,EPIC,Surgery,system of record,Oracle/UNIX estate,Epic Anesthesia,DR,medium,Clinical and Epic AMS,VEND-HCDN-064,CONT-HCDN-0064,lineage or ownership conflict,current
