interface_id,from_application_id,to_application_id,method,frequency,criticality,middleware_pattern,owning_function,evidence_gap,source_id
INT-HCDN-00001,APP-HCDN-00008,APP-HCDN-00029,FHIR/API,near real-time,standard,interface engine,Revenue Cycle,source-backed candidate,SRC-HCDN-INT-002
INT-HCDN-00002,APP-HCDN-00015,APP-HCDN-00046,X12 EDI,hourly,standard,API gateway,Patient Access,source-backed candidate,SRC-HCDN-INT-003
INT-HCDN-00003,APP-HCDN-00022,APP-HCDN-00063,SFTP flat file,daily,high,SFTP hub,Interoperability,source-backed candidate,SRC-HCDN-INT-004
INT-HCDN-00004,APP-HCDN-00029,APP-HCDN-00080,database link,weekly,standard,SSIS runtime,Population Health,source-backed candidate,SRC-HCDN-INT-005
INT-HCDN-00005,APP-HCDN-00036,APP-HCDN-00097,SSIS package,monthly,standard,data pipeline orchestrator,Health Plan Operations,source-backed candidate,SRC-HCDN-INT-006
INT-HCDN-00006,APP-HCDN-00043,APP-HCDN-00114,Epic Bridges,event-driven,high,claims EDI gateway,Medicare Advantage,source-backed candidate,SRC-HCDN-INT-007
INT-HCDN-00007,APP-HCDN-00050,APP-HCDN-00131,event stream,nightly batch,standard,FHIR gateway,Claims Operations,source-backed candidate,SRC-HCDN-INT-008
INT-HCDN-00008,APP-HCDN-00057,APP-HCDN-00148,batch extract,real-time,standard,Epic Bridges,Utilization Management,source-backed candidate,SRC-HCDN-INT-009
INT-HCDN-00009,APP-HCDN-00064,APP-HCDN-00165,vendor API,near real-time,critical,interface engine,Member Services,source-backed candidate,SRC-HCDN-INT-010
INT-HCDN-00010,APP-HCDN-00071,APP-HCDN-00182,HL7 v2,hourly,standard,API gateway,Quality and Stars,source-backed candidate,SRC-HCDN-INT-011
INT-HCDN-00011,APP-HCDN-00078,APP-HCDN-00199,FHIR/API,daily,standard,SFTP hub,Risk Adjustment,source-backed candidate,SRC-HCDN-INT-012
INT-HCDN-00012,APP-HCDN-00085,APP-HCDN-00216,X12 EDI,weekly,high,SSIS runtime,Care Management,ambiguous endpoint name,SRC-HCDN-INT-013
INT-HCDN-00013,APP-HCDN-00092,APP-HCDN-00233,SFTP flat file,monthly,standard,data pipeline orchestrator,Finance,retired/active duplicate,SRC-HCDN-INT-014
INT-HCDN-00014,APP-HCDN-00099,APP-HCDN-00250,database link,event-driven,standard,claims EDI gateway,Coding,source-backed candidate,SRC-HCDN-INT-015
INT-HCDN-00015,APP-HCDN-00106,APP-HCDN-00267,SSIS package,nightly batch,high,FHIR gateway,Payer Contracting,source-backed candidate,SRC-HCDN-INT-016
INT-HCDN-00016,APP-HCDN-00113,APP-HCDN-00284,Epic Bridges,real-time,standard,Epic Bridges,Digital Front Door,source-backed candidate,SRC-HCDN-INT-017
INT-HCDN-00017,APP-HCDN-00120,APP-HCDN-00301,event stream,near real-time,standard,interface engine,Contact Center,source-backed candidate,SRC-HCDN-INT-018
INT-HCDN-00018,APP-HCDN-00127,APP-HCDN-00318,batch extract,hourly,critical,API gateway,Ambulatory Care,source-backed candidate,SRC-HCDN-INT-019
INT-HCDN-00019,APP-HCDN-00134,APP-HCDN-00335,vendor API,daily,standard,SFTP hub,Emergency Department,source-backed candidate,SRC-HCDN-INT-020
INT-HCDN-00020,APP-HCDN-00141,APP-HCDN-00352,HL7 v2,weekly,standard,SSIS runtime,Inpatient,source-backed candidate,SRC-HCDN-INT-021
INT-HCDN-00021,APP-HCDN-00148,APP-HCDN-00369,FHIR/API,monthly,high,data pipeline orchestrator,Surgery,source-backed candidate,SRC-HCDN-INT-022
INT-HCDN-00022,APP-HCDN-00155,APP-HCDN-00386,X12 EDI,event-driven,standard,claims EDI gateway,Imaging,source-backed candidate,SRC-HCDN-INT-023
INT-HCDN-00023,APP-HCDN-00162,APP-HCDN-00403,SFTP flat file,nightly batch,standard,FHIR gateway,Lab,source-backed candidate,SRC-HCDN-INT-024
INT-HCDN-00024,APP-HCDN-00169,APP-HCDN-00420,database link,real-time,high,Epic Bridges,Pharmacy,ambiguous endpoint name,SRC-HCDN-INT-025
INT-HCDN-00025,APP-HCDN-00176,APP-HCDN-00437,SSIS package,near real-time,standard,interface engine,Oncology,source-backed candidate,SRC-HCDN-INT-026
INT-HCDN-00026,APP-HCDN-00183,APP-HCDN-00454,Epic Bridges,hourly,standard,API gateway,Cardiology,retired/active duplicate,SRC-HCDN-INT-027
