assumption_id,proposal_id,lot_id,bidder,assumption,impact_type,source_id
ASSUMP-HCDN-LOT-HCDN-01-A-01,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,tool access,transition impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-01-A-02,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,data readiness,scope impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-01-A-03,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,timely decisions,delivery impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-01-A-04,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,current-state documentation,commercial impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-01-A-05,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,client volume stability,transition impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-01-B-01,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,tool access,transition impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-01-B-02,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,data readiness,scope impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-01-B-03,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,timely decisions,delivery impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-01-B-04,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,current-state documentation,commercial impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-01-B-05,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,client volume stability,transition impact,SRC-HCDN-PROP-B
ASSUMP-HCDN-LOT-HCDN-01-C-01,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,tool access,transition impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-01-C-02,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,data readiness,scope impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-01-C-03,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,timely decisions,delivery impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-01-C-04,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,current-state documentation,commercial impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-01-C-05,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,client volume stability,transition impact,SRC-HCDN-PROP-C
ASSUMP-HCDN-LOT-HCDN-02-A-01,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,A,tool access,transition impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-02-A-02,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,A,data readiness,scope impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-02-A-03,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,A,timely decisions,delivery impact,SRC-HCDN-PROP-A
ASSUMP-HCDN-LOT-HCDN-02-A-04,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,A,current-state documentation,commercial impact,SRC-HCDN-PROP-A
