vendor_id,vendor_public_reference,vendor_category,strategic_tier,service_tower,primary_function,concentration_note
VEND-HCDN-001,Synthetic Healthcare Supplier 001,claims administration,major,Payer Platform Operations,Revenue Cycle,standard review
VEND-HCDN-002,Synthetic Healthcare Supplier 002,PBM/pharmacy,niche,Data Analytics and AI,Patient Access,standard review
VEND-HCDN-003,Synthetic Healthcare Supplier 003,BPO/contact center,incumbent,Revenue Cycle Technology,Interoperability,standard review
VEND-HCDN-004,Synthetic Healthcare Supplier 004,revenue cycle,emerging,Cloud Infrastructure and Data Center,Population Health,standard review
VEND-HCDN-005,Synthetic Healthcare Supplier 005,prior authorization/UM,strategic,Workplace and Contact Center,Health Plan Operations,standard review
VEND-HCDN-006,Synthetic Healthcare Supplier 006,quality Stars HEDIS RAF,major,Security Identity and Compliance,Medicare Advantage,standard review
VEND-HCDN-007,Synthetic Healthcare Supplier 007,payment integrity,niche,Integration and Interoperability,Claims Operations,standard review
VEND-HCDN-008,Synthetic Healthcare Supplier 008,cloud infrastructure,incumbent,ERP and Corporate Platforms,Utilization Management,standard review
VEND-HCDN-009,Synthetic Healthcare Supplier 009,data analytics,emerging,Clinical and Epic AMS,Member Services,standard review
VEND-HCDN-010,Synthetic Healthcare Supplier 010,AMS/IMS,strategic,Payer Platform Operations,Quality and Stars,concentration risk
VEND-HCDN-011,Synthetic Healthcare Supplier 011,SaaS/software,major,Data Analytics and AI,Risk Adjustment,standard review
VEND-HCDN-012,Synthetic Healthcare Supplier 012,AI/document automation,niche,Revenue Cycle Technology,Care Management,standard review
VEND-HCDN-013,Synthetic Healthcare Supplier 013,telecom/network,incumbent,Cloud Infrastructure and Data Center,Finance,exit sensitive
VEND-HCDN-014,Synthetic Healthcare Supplier 014,cybersecurity,emerging,Workplace and Contact Center,Coding,standard review
VEND-HCDN-015,Synthetic Healthcare Supplier 015,identity,strategic,Security Identity and Compliance,Payer Contracting,standard review
VEND-HCDN-016,Synthetic Healthcare Supplier 016,interoperability,major,Integration and Interoperability,Digital Front Door,standard review
VEND-HCDN-017,Synthetic Healthcare Supplier 017,Epic/clinical platform,niche,ERP and Corporate Platforms,Contact Center,standard review
VEND-HCDN-018,Synthetic Healthcare Supplier 018,claims administration,incumbent,Clinical and Epic AMS,Ambulatory Care,standard review
VEND-HCDN-019,Synthetic Healthcare Supplier 019,PBM/pharmacy,emerging,Payer Platform Operations,Emergency Department,standard review
VEND-HCDN-020,Synthetic Healthcare Supplier 020,BPO/contact center,strategic,Data Analytics and AI,Inpatient,concentration risk
VEND-HCDN-021,Synthetic Healthcare Supplier 021,revenue cycle,major,Revenue Cycle Technology,Surgery,standard review
VEND-HCDN-022,Synthetic Healthcare Supplier 022,prior authorization/UM,niche,Cloud Infrastructure and Data Center,Imaging,standard review
VEND-HCDN-023,Synthetic Healthcare Supplier 023,quality Stars HEDIS RAF,incumbent,Workplace and Contact Center,Lab,standard review
VEND-HCDN-024,Synthetic Healthcare Supplier 024,payment integrity,emerging,Security Identity and Compliance,Pharmacy,standard review
VEND-HCDN-025,Synthetic Healthcare Supplier 025,cloud infrastructure,strategic,Integration and Interoperability,Oncology,standard review
VEND-HCDN-026,Synthetic Healthcare Supplier 026,data analytics,major,ERP and Corporate Platforms,Cardiology,exit sensitive
VEND-HCDN-027,Synthetic Healthcare Supplier 027,AMS/IMS,niche,Clinical and Epic AMS,Data and Analytics,standard review
VEND-HCDN-028,Synthetic Healthcare Supplier 028,SaaS/software,incumbent,Payer Platform Operations,Clinical Analytics,standard review
VEND-HCDN-029,Synthetic Healthcare Supplier 029,AI/document automation,emerging,Data Analytics and AI,Actuarial,standard review
VEND-HCDN-030,Synthetic Healthcare Supplier 030,telecom/network,strategic,Revenue Cycle Technology,Departmental Reporting,concentration risk
VEND-HCDN-031,Synthetic Healthcare Supplier 031,cybersecurity,major,Cloud Infrastructure and Data Center,AI Transformation,standard review
VEND-HCDN-032,Synthetic Healthcare Supplier 032,identity,niche,Workplace and Contact Center,Technology,standard review
VEND-HCDN-033,Synthetic Healthcare Supplier 033,interoperability,incumbent,Security Identity and Compliance,Security,standard review
VEND-HCDN-034,Synthetic Healthcare Supplier 034,Epic/clinical platform,emerging,Integration and Interoperability,Procurement,standard review
VEND-HCDN-035,Synthetic Healthcare Supplier 035,claims administration,strategic,ERP and Corporate Platforms,HR,standard review
VEND-HCDN-036,Synthetic Healthcare Supplier 036,PBM/pharmacy,major,Clinical and Epic AMS,Supply Chain,standard review
VEND-HCDN-037,Synthetic Healthcare Supplier 037,BPO/contact center,niche,Payer Platform Operations,Privacy,standard review
VEND-HCDN-038,Synthetic Healthcare Supplier 038,revenue cycle,incumbent,Data Analytics and AI,Compliance,standard review
VEND-HCDN-039,Synthetic Healthcare Supplier 039,prior authorization/UM,emerging,Revenue Cycle Technology,Provider Network,exit sensitive
VEND-HCDN-040,Synthetic Healthcare Supplier 040,quality Stars HEDIS RAF,strategic,Cloud Infrastructure and Data Center,Value-Based Care,concentration risk
VEND-HCDN-041,Synthetic Healthcare Supplier 041,payment integrity,major,Workplace and Contact Center,Clinical Operations,standard review
VEND-HCDN-042,Synthetic Healthcare Supplier 042,cloud infrastructure,niche,Security Identity and Compliance,Revenue Cycle,standard review
VEND-HCDN-043,Synthetic Healthcare Supplier 043,data analytics,incumbent,Integration and Interoperability,Patient Access,standard review
VEND-HCDN-044,Synthetic Healthcare Supplier 044,AMS/IMS,emerging,ERP and Corporate Platforms,Interoperability,standard review
VEND-HCDN-045,Synthetic Healthcare Supplier 045,SaaS/software,strategic,Clinical and Epic AMS,Population Health,standard review
VEND-HCDN-046,Synthetic Healthcare Supplier 046,AI/document automation,major,Payer Platform Operations,Health Plan Operations,standard review
VEND-HCDN-047,Synthetic Healthcare Supplier 047,telecom/network,niche,Data Analytics and AI,Medicare Advantage,standard review
VEND-HCDN-048,Synthetic Healthcare Supplier 048,cybersecurity,incumbent,Revenue Cycle Technology,Claims Operations,standard review
VEND-HCDN-049,Synthetic Healthcare Supplier 049,identity,emerging,Cloud Infrastructure and Data Center,Utilization Management,standard review
VEND-HCDN-050,Synthetic Healthcare Supplier 050,interoperability,strategic,Workplace and Contact Center,Member Services,concentration risk
VEND-HCDN-051,Synthetic Healthcare Supplier 051,Epic/clinical platform,major,Security Identity and Compliance,Quality and Stars,standard review
VEND-HCDN-052,Synthetic Healthcare Supplier 052,claims administration,niche,Integration and Interoperability,Risk Adjustment,exit sensitive
VEND-HCDN-053,Synthetic Healthcare Supplier 053,PBM/pharmacy,incumbent,ERP and Corporate Platforms,Care Management,standard review
VEND-HCDN-054,Synthetic Healthcare Supplier 054,BPO/contact center,emerging,Clinical and Epic AMS,Finance,standard review
VEND-HCDN-055,Synthetic Healthcare Supplier 055,revenue cycle,strategic,Payer Platform Operations,Coding,standard review
