incident_id,lot_id,service_tower,incident_type,affected_domain,status,source_id
INC-HCDN-LOT-HCDN-01-001,LOT-HCDN-01,Clinical and Epic AMS,P2 incident,claims,closed,SRC-HCDN-ITSM-001
INC-HCDN-LOT-HCDN-01-002,LOT-HCDN-01,Clinical and Epic AMS,major problem,SQL/EDW,recurring,SRC-HCDN-ITSM-002
INC-HCDN-LOT-HCDN-01-003,LOT-HCDN-01,Clinical and Epic AMS,service request backlog,contact center,root cause pending,SRC-HCDN-ITSM-003
INC-HCDN-LOT-HCDN-01-004,LOT-HCDN-01,Clinical and Epic AMS,security event,cloud,open,SRC-HCDN-ITSM-004
INC-HCDN-LOT-HCDN-01-005,LOT-HCDN-01,Clinical and Epic AMS,P1 incident,network,closed,SRC-HCDN-ITSM-005
INC-HCDN-LOT-HCDN-01-006,LOT-HCDN-01,Clinical and Epic AMS,P2 incident,Epic,recurring,SRC-HCDN-ITSM-006
INC-HCDN-LOT-HCDN-01-007,LOT-HCDN-01,Clinical and Epic AMS,major problem,claims,root cause pending,SRC-HCDN-ITSM-007
INC-HCDN-LOT-HCDN-01-008,LOT-HCDN-01,Clinical and Epic AMS,service request backlog,SQL/EDW,open,SRC-HCDN-ITSM-008
INC-HCDN-LOT-HCDN-01-009,LOT-HCDN-01,Clinical and Epic AMS,security event,contact center,closed,SRC-HCDN-ITSM-009
INC-HCDN-LOT-HCDN-01-010,LOT-HCDN-01,Clinical and Epic AMS,P1 incident,cloud,recurring,SRC-HCDN-ITSM-010
INC-HCDN-LOT-HCDN-01-011,LOT-HCDN-01,Clinical and Epic AMS,P2 incident,network,root cause pending,SRC-HCDN-ITSM-011
INC-HCDN-LOT-HCDN-01-012,LOT-HCDN-01,Clinical and Epic AMS,major problem,Epic,open,SRC-HCDN-ITSM-012
INC-HCDN-LOT-HCDN-01-013,LOT-HCDN-01,Clinical and Epic AMS,service request backlog,claims,closed,SRC-HCDN-ITSM-013
INC-HCDN-LOT-HCDN-01-014,LOT-HCDN-01,Clinical and Epic AMS,security event,SQL/EDW,recurring,SRC-HCDN-ITSM-014
INC-HCDN-LOT-HCDN-01-015,LOT-HCDN-01,Clinical and Epic AMS,P1 incident,contact center,root cause pending,SRC-HCDN-ITSM-015
INC-HCDN-LOT-HCDN-01-016,LOT-HCDN-01,Clinical and Epic AMS,P2 incident,cloud,open,SRC-HCDN-ITSM-016
INC-HCDN-LOT-HCDN-01-017,LOT-HCDN-01,Clinical and Epic AMS,major problem,network,closed,SRC-HCDN-ITSM-017
INC-HCDN-LOT-HCDN-01-018,LOT-HCDN-01,Clinical and Epic AMS,service request backlog,Epic,recurring,SRC-HCDN-ITSM-018
INC-HCDN-LOT-HCDN-01-019,LOT-HCDN-01,Clinical and Epic AMS,security event,claims,root cause pending,SRC-HCDN-ITSM-019
INC-HCDN-LOT-HCDN-01-020,LOT-HCDN-01,Clinical and Epic AMS,P1 incident,SQL/EDW,open,SRC-HCDN-ITSM-020
INC-HCDN-LOT-HCDN-01-021,LOT-HCDN-01,Clinical and Epic AMS,P2 incident,contact center,closed,SRC-HCDN-ITSM-021
INC-HCDN-LOT-HCDN-01-022,LOT-HCDN-01,Clinical and Epic AMS,major problem,cloud,recurring,SRC-HCDN-ITSM-022
INC-HCDN-LOT-HCDN-01-023,LOT-HCDN-01,Clinical and Epic AMS,service request backlog,network,root cause pending,SRC-HCDN-ITSM-023
INC-HCDN-LOT-HCDN-01-024,LOT-HCDN-01,Clinical and Epic AMS,security event,Epic,open,SRC-HCDN-ITSM-024
INC-HCDN-LOT-HCDN-02-001,LOT-HCDN-02,Payer Platform Operations,P2 incident,claims,closed,SRC-HCDN-ITSM-001
INC-HCDN-LOT-HCDN-02-002,LOT-HCDN-02,Payer Platform Operations,major problem,SQL/EDW,recurring,SRC-HCDN-ITSM-002
INC-HCDN-LOT-HCDN-02-003,LOT-HCDN-02,Payer Platform Operations,service request backlog,contact center,root cause pending,SRC-HCDN-ITSM-003
INC-HCDN-LOT-HCDN-02-004,LOT-HCDN-02,Payer Platform Operations,security event,cloud,open,SRC-HCDN-ITSM-004
INC-HCDN-LOT-HCDN-02-005,LOT-HCDN-02,Payer Platform Operations,P1 incident,network,closed,SRC-HCDN-ITSM-005
INC-HCDN-LOT-HCDN-02-006,LOT-HCDN-02,Payer Platform Operations,P2 incident,Epic,recurring,SRC-HCDN-ITSM-006
INC-HCDN-LOT-HCDN-02-007,LOT-HCDN-02,Payer Platform Operations,major problem,claims,root cause pending,SRC-HCDN-ITSM-007
INC-HCDN-LOT-HCDN-02-008,LOT-HCDN-02,Payer Platform Operations,service request backlog,SQL/EDW,open,SRC-HCDN-ITSM-008
