data_product_id,data_product_name,domain,platform_pattern,business_function,logical_footprint,ingestion_pattern,lineage_status,ai_or_bi_use,vendor_id
DATA-HCDN-00001,QUALITY_STARS product 00001,"Star Ratings, HEDIS, CAHPS and care gaps",SQL marts + quality vendor feeds,Revenue Cycle,0.2 TB/PB logical footprint family,X12/claims feed,lineage candidate,BI / operational analytics,VEND-HCDN-002
DATA-HCDN-00002,RAF_RISK_ADJUSTMENT product 00002,"diagnosis capture, chart review, RAF and encounter submission",payer warehouse + risk vendor extract,Patient Access,0.2 TB/PB logical footprint family,SSIS batch,lineage candidate,BI / operational analytics,VEND-HCDN-003
DATA-HCDN-00003,CLAIMS_MEMBER product 00003,"claims, enrollment, benefits and member interactions",claims warehouse + payer platform,Interoperability,0.3 TB/PB logical footprint family,SFTP flat file,lineage candidate,BI / operational analytics,VEND-HCDN-004
DATA-HCDN-00004,REVENUE_CYCLE product 00004,"charge, coding, billing, denials and A/R",Epic Resolute + finance marts,Population Health,0.3 TB/PB logical footprint family,Epic extract,lineage candidate,BI / operational analytics,VEND-HCDN-005
DATA-HCDN-00005,PATIENT_ACCESS product 00005,"scheduling, referral, contact center and digital front door",access mart + CRM/contact center extracts,Health Plan Operations,0.3 TB/PB logical footprint family,cloud pipeline,lineage candidate,BI / operational analytics,VEND-HCDN-006
DATA-HCDN-00006,PHARMACY_PBM product 00006,"medication adherence, PBM, formulary and pharmacy operations",PBM feeds + Epic Willow extracts,Medicare Advantage,0.4 TB/PB logical footprint family,manual spreadsheet upload,lineage incomplete,BI / operational analytics,VEND-HCDN-007
DATA-HCDN-00007,FINANCE_ACTUARIAL product 00007,"GL, budgeting, cost accounting, actuarial and reimbursement",finance EDW + planning marts,Claims Operations,0.4 TB/PB logical footprint family,HL7/FHIR feed,lineage candidate,BI / operational analytics,VEND-HCDN-008
DATA-HCDN-00008,CLOUD_AI_USE_CASES product 00008,Azure current use cases and AWS future transformation candidates,Azure foundation + AWS candidate portfolio,Utilization Management,0.5 TB/PB logical footprint family,X12/claims feed,lineage candidate,AI governance candidate,VEND-HCDN-009
DATA-HCDN-00009,CLINICAL_EVENTS product 00009,"encounters, orders, results, medications, procedures",Epic Clarity/Caboodle + legacy EDW,Member Services,0.5 TB/PB logical footprint family,SSIS batch,lineage candidate,BI / operational analytics,VEND-HCDN-010
DATA-HCDN-00010,QUALITY_STARS product 00010,"Star Ratings, HEDIS, CAHPS and care gaps",SQL marts + quality vendor feeds,Quality and Stars,0.5 TB/PB logical footprint family,SFTP flat file,conflicting KPI definition,BI / operational analytics,VEND-HCDN-011
DATA-HCDN-00011,RAF_RISK_ADJUSTMENT product 00011,"diagnosis capture, chart review, RAF and encounter submission",payer warehouse + risk vendor extract,Risk Adjustment,0.6 TB/PB logical footprint family,Epic extract,lineage candidate,BI / operational analytics,VEND-HCDN-012
DATA-HCDN-00012,CLAIMS_MEMBER product 00012,"claims, enrollment, benefits and member interactions",claims warehouse + payer platform,Care Management,0.6 TB/PB logical footprint family,cloud pipeline,lineage incomplete,BI / operational analytics,VEND-HCDN-013
DATA-HCDN-00013,REVENUE_CYCLE product 00013,"charge, coding, billing, denials and A/R",Epic Resolute + finance marts,Finance,0.7 TB/PB logical footprint family,manual spreadsheet upload,lineage candidate,BI / operational analytics,VEND-HCDN-014
