workforce_id,worker_type,business_function,service_tower,skill_family,delivery_location,transition_note
WORK-HCDN-00001,contractor,Revenue Cycle,Payer Platform Operations,SQL/BI developer,nearshore,standard
WORK-HCDN-00002,managed-service role,Patient Access,Data Analytics and AI,claims platform analyst,offshore,standard
WORK-HCDN-00003,employee,Interoperability,Revenue Cycle Technology,cloud engineer,hybrid,standard
WORK-HCDN-00004,contractor,Population Health,Cloud Infrastructure and Data Center,data engineer,onsite,standard
WORK-HCDN-00005,managed-service role,Health Plan Operations,Workplace and Contact Center,security,nearshore,standard
WORK-HCDN-00006,employee,Medicare Advantage,Security Identity and Compliance,service desk,offshore,standard
WORK-HCDN-00007,contractor,Claims Operations,Integration and Interoperability,integration engineer,hybrid,standard
WORK-HCDN-00008,managed-service role,Utilization Management,ERP and Corporate Platforms,revenue-cycle analyst,onsite,critical knowledge holder
WORK-HCDN-00009,employee,Member Services,Clinical and Epic AMS,quality analyst,nearshore,standard
WORK-HCDN-00010,contractor,Quality and Stars,Payer Platform Operations,AI product owner,offshore,standard
WORK-HCDN-00011,managed-service role,Risk Adjustment,Data Analytics and AI,Epic analyst,hybrid,transition sensitive
WORK-HCDN-00012,employee,Care Management,Revenue Cycle Technology,SQL/BI developer,onsite,standard
WORK-HCDN-00013,contractor,Finance,Cloud Infrastructure and Data Center,claims platform analyst,nearshore,standard
WORK-HCDN-00014,managed-service role,Coding,Workplace and Contact Center,cloud engineer,offshore,standard
WORK-HCDN-00015,employee,Payer Contracting,Security Identity and Compliance,data engineer,hybrid,standard
WORK-HCDN-00016,contractor,Digital Front Door,Integration and Interoperability,security,onsite,critical knowledge holder
WORK-HCDN-00017,managed-service role,Contact Center,ERP and Corporate Platforms,service desk,nearshore,standard
WORK-HCDN-00018,employee,Ambulatory Care,Clinical and Epic AMS,integration engineer,offshore,standard
WORK-HCDN-00019,contractor,Emergency Department,Payer Platform Operations,revenue-cycle analyst,hybrid,standard
WORK-HCDN-00020,managed-service role,Inpatient,Data Analytics and AI,quality analyst,onsite,standard
WORK-HCDN-00021,employee,Surgery,Revenue Cycle Technology,AI product owner,nearshore,standard
WORK-HCDN-00022,contractor,Imaging,Cloud Infrastructure and Data Center,Epic analyst,offshore,transition sensitive
WORK-HCDN-00023,managed-service role,Lab,Workplace and Contact Center,SQL/BI developer,hybrid,standard
WORK-HCDN-00024,employee,Pharmacy,Security Identity and Compliance,claims platform analyst,onsite,critical knowledge holder
WORK-HCDN-00025,contractor,Oncology,Integration and Interoperability,cloud engineer,nearshore,standard
WORK-HCDN-00026,managed-service role,Cardiology,ERP and Corporate Platforms,data engineer,offshore,standard
WORK-HCDN-00027,employee,Data and Analytics,Clinical and Epic AMS,security,hybrid,standard
WORK-HCDN-00028,contractor,Clinical Analytics,Payer Platform Operations,service desk,onsite,standard
WORK-HCDN-00029,managed-service role,Actuarial,Data Analytics and AI,integration engineer,nearshore,standard
WORK-HCDN-00030,employee,Departmental Reporting,Revenue Cycle Technology,revenue-cycle analyst,offshore,standard
