requirement_id,lot_id,service_tower,proposal_id,requirement_type,requirement_text,priority,source_id
REQ-HCDN-LOT-HCDN-01-A-001,LOT-HCDN-01,Clinical and Epic AMS,PROP-HCDN-A-LOT-HCDN-01,scope coverage,all in-scope apps/services and exclusions,mandatory,SRC-HCDN-RFP-LOT-HCDN-01
REQ-HCDN-LOT-HCDN-01-A-002,LOT-HCDN-01,Clinical and Epic AMS,PROP-HCDN-A-LOT-HCDN-01,transition,"transition plan, knowledge transfer and service continuity",mandatory,SRC-HCDN-RFP-LOT-HCDN-01
REQ-HCDN-LOT-HCDN-01-A-003,LOT-HCDN-01,Clinical and Epic AMS,PROP-HCDN-A-LOT-HCDN-01,commercial,"pricing, rate card, assumptions, service credits and value commitments",mandatory,SRC-HCDN-RFP-LOT-HCDN-01
REQ-HCDN-LOT-HCDN-01-B-001,LOT-HCDN-01,Clinical and Epic AMS,PROP-HCDN-B-LOT-HCDN-01,scope coverage,all in-scope apps/services and exclusions,mandatory,SRC-HCDN-RFP-LOT-HCDN-01
REQ-HCDN-LOT-HCDN-01-B-002,LOT-HCDN-01,Clinical and Epic AMS,PROP-HCDN-B-LOT-HCDN-01,transition,"transition plan, knowledge transfer and service continuity",mandatory,SRC-HCDN-RFP-LOT-HCDN-01
REQ-HCDN-LOT-HCDN-01-B-003,LOT-HCDN-01,Clinical and Epic AMS,PROP-HCDN-B-LOT-HCDN-01,commercial,"pricing, rate card, assumptions, service credits and value commitments",mandatory,SRC-HCDN-RFP-LOT-HCDN-01
REQ-HCDN-LOT-HCDN-01-C-001,LOT-HCDN-01,Clinical and Epic AMS,PROP-HCDN-C-LOT-HCDN-01,scope coverage,all in-scope apps/services and exclusions,mandatory,SRC-HCDN-RFP-LOT-HCDN-01
REQ-HCDN-LOT-HCDN-01-C-002,LOT-HCDN-01,Clinical and Epic AMS,PROP-HCDN-C-LOT-HCDN-01,transition,"transition plan, knowledge transfer and service continuity",mandatory,SRC-HCDN-RFP-LOT-HCDN-01
REQ-HCDN-LOT-HCDN-01-C-003,LOT-HCDN-01,Clinical and Epic AMS,PROP-HCDN-C-LOT-HCDN-01,commercial,"pricing, rate card, assumptions, service credits and value commitments",mandatory,SRC-HCDN-RFP-LOT-HCDN-01
REQ-HCDN-LOT-HCDN-02-A-001,LOT-HCDN-02,Payer Platform Operations,PROP-HCDN-A-LOT-HCDN-02,scope coverage,all in-scope apps/services and exclusions,mandatory,SRC-HCDN-RFP-LOT-HCDN-02
