kpi_id,kpi_name,owner_function,population,disclosure_mode,direction,evidence_state,source_data_product_id,definition_state,source_id
KPI-HCDN-0001,Medication adherence measure 0001,Revenue Cycle,Commercial,range,lower is better,needs owner signoff,DATA-HCDN-00002,denominator in source,SRC-HCDN-KPI-002
KPI-HCDN-0002,Diabetes HbA1c control measure 0002,Patient Access,Medicaid,indexed,within threshold,conflicting source,DATA-HCDN-00003,exclusions to confirm,SRC-HCDN-KPI-003
KPI-HCDN-0003,Breast cancer screening measure 0003,Interoperability,Exchange,trend-only,binary gate,industry pattern only,DATA-HCDN-00004,latency to confirm,SRC-HCDN-KPI-004
KPI-HCDN-0004,CAHPS getting care quickly measure 0004,Population Health,Employer group,withheld,higher is better,source-backed candidate,DATA-HCDN-00005,regulatory use,SRC-HCDN-KPI-005
KPI-HCDN-0005,RAF coding completeness measure 0005,Health Plan Operations,Dual eligible,exact,lower is better,needs owner signoff,DATA-HCDN-00006,contractual incentive use,SRC-HCDN-KPI-006
KPI-HCDN-0006,Encounter submission acceptance measure 0006,Medicare Advantage,Specialty/supplemental,range,within threshold,conflicting source,DATA-HCDN-00007,numerator in source,SRC-HCDN-KPI-007
KPI-HCDN-0007,Care-gap closure measure 0007,Claims Operations,Provider enterprise,indexed,binary gate,industry pattern only,DATA-HCDN-00008,denominator in source,SRC-HCDN-KPI-008
KPI-HCDN-0008,Readmission rate measure 0008,Utilization Management,Medicare Advantage,trend-only,higher is better,source-backed candidate,DATA-HCDN-00009,exclusions to confirm,SRC-HCDN-KPI-009
KPI-HCDN-0009,Length of stay measure 0009,Member Services,Commercial,withheld,lower is better,needs owner signoff,DATA-HCDN-00010,latency to confirm,SRC-HCDN-KPI-010
KPI-HCDN-0010,ED throughput measure 0010,Quality and Stars,Medicaid,exact,within threshold,conflicting source,DATA-HCDN-00011,regulatory use,SRC-HCDN-KPI-011
KPI-HCDN-0011,Surgery utilization measure 0011,Risk Adjustment,Exchange,range,binary gate,industry pattern only,DATA-HCDN-00012,contractual incentive use,SRC-HCDN-KPI-012
KPI-HCDN-0012,Bed occupancy measure 0012,Care Management,Employer group,indexed,higher is better,source-backed candidate,DATA-HCDN-00013,numerator in source,SRC-HCDN-KPI-013
KPI-HCDN-0013,Referral leakage measure 0013,Finance,Dual eligible,trend-only,lower is better,needs owner signoff,DATA-HCDN-00014,denominator in source,SRC-HCDN-KPI-014
KPI-HCDN-0014,Prior-auth turnaround measure 0014,Coding,Specialty/supplemental,withheld,within threshold,conflicting source,DATA-HCDN-00015,exclusions to confirm,SRC-HCDN-KPI-015
KPI-HCDN-0015,Denial rate measure 0015,Payer Contracting,Provider enterprise,exact,binary gate,industry pattern only,DATA-HCDN-00016,latency to confirm,SRC-HCDN-KPI-016
KPI-HCDN-0016,Clean-claim rate measure 0016,Digital Front Door,Medicare Advantage,range,higher is better,source-backed candidate,DATA-HCDN-00017,regulatory use,SRC-HCDN-KPI-017
KPI-HCDN-0017,Days in A/R measure 0017,Contact Center,Commercial,indexed,lower is better,needs owner signoff,DATA-HCDN-00018,contractual incentive use,SRC-HCDN-KPI-018
KPI-HCDN-0018,Contact-center service level measure 0018,Ambulatory Care,Medicaid,trend-only,within threshold,conflicting source,DATA-HCDN-00019,numerator in source,SRC-HCDN-KPI-019
KPI-HCDN-0019,Member retention measure 0019,Emergency Department,Exchange,withheld,binary gate,industry pattern only,DATA-HCDN-00020,denominator in source,SRC-HCDN-KPI-020
KPI-HCDN-0020,Provider-directory accuracy measure 0020,Inpatient,Employer group,exact,higher is better,source-backed candidate,DATA-HCDN-00021,exclusions to confirm,SRC-HCDN-KPI-021
KPI-HCDN-0021,Network adequacy measure 0021,Surgery,Dual eligible,range,lower is better,needs owner signoff,DATA-HCDN-00022,latency to confirm,SRC-HCDN-KPI-022
KPI-HCDN-0022,Claims leakage measure 0022,Imaging,Specialty/supplemental,indexed,within threshold,conflicting source,DATA-HCDN-00023,regulatory use,SRC-HCDN-KPI-023
KPI-HCDN-0023,Medical cost trend measure 0023,Lab,Provider enterprise,trend-only,binary gate,industry pattern only,DATA-HCDN-00024,contractual incentive use,SRC-HCDN-KPI-024
KPI-HCDN-0024,Quality incentive attainment measure 0024,Pharmacy,Medicare Advantage,withheld,higher is better,source-backed candidate,DATA-HCDN-00025,numerator in source,SRC-HCDN-KPI-025
KPI-HCDN-0025,Digital adoption measure 0025,Oncology,Commercial,exact,lower is better,needs owner signoff,DATA-HCDN-00026,denominator in source,SRC-HCDN-KPI-026
KPI-HCDN-0026,Patient access cycle time measure 0026,Cardiology,Medicaid,range,within threshold,conflicting source,DATA-HCDN-00027,exclusions to confirm,SRC-HCDN-KPI-027
KPI-HCDN-0027,Platform availability measure 0027,Data and Analytics,Exchange,indexed,binary gate,industry pattern only,DATA-HCDN-00028,latency to confirm,SRC-HCDN-KPI-028
KPI-HCDN-0028,SQL batch success measure 0028,Clinical Analytics,Employer group,trend-only,higher is better,source-backed candidate,DATA-HCDN-00029,regulatory use,SRC-HCDN-KPI-029
KPI-HCDN-0029,Epic extract latency measure 0029,Actuarial,Dual eligible,withheld,lower is better,needs owner signoff,DATA-HCDN-00030,contractual incentive use,SRC-HCDN-KPI-030
KPI-HCDN-0030,Azure use-case adoption measure 0030,Departmental Reporting,Specialty/supplemental,exact,within threshold,conflicting source,DATA-HCDN-00031,numerator in source,SRC-HCDN-KPI-031
KPI-HCDN-0031,AWS transformation readiness measure 0031,AI Transformation,Provider enterprise,range,binary gate,industry pattern only,DATA-HCDN-00032,denominator in source,SRC-HCDN-KPI-032
KPI-HCDN-0032,Star Rating overall measure 0032,Technology,Medicare Advantage,indexed,higher is better,source-backed candidate,DATA-HCDN-00033,exclusions to confirm,SRC-HCDN-KPI-033
KPI-HCDN-0033,Medication adherence measure 0033,Security,Commercial,trend-only,lower is better,needs owner signoff,DATA-HCDN-00034,latency to confirm,SRC-HCDN-KPI-034
KPI-HCDN-0034,Diabetes HbA1c control measure 0034,Procurement,Medicaid,withheld,within threshold,conflicting source,DATA-HCDN-00035,regulatory use,SRC-HCDN-KPI-035
KPI-HCDN-0035,Breast cancer screening measure 0035,HR,Exchange,exact,binary gate,industry pattern only,DATA-HCDN-00036,contractual incentive use,SRC-HCDN-KPI-036
KPI-HCDN-0036,CAHPS getting care quickly measure 0036,Supply Chain,Employer group,range,higher is better,source-backed candidate,DATA-HCDN-00037,numerator in source,SRC-HCDN-KPI-037
KPI-HCDN-0037,RAF coding completeness measure 0037,Privacy,Dual eligible,indexed,lower is better,needs owner signoff,DATA-HCDN-00038,denominator in source,SRC-HCDN-KPI-038
KPI-HCDN-0038,Encounter submission acceptance measure 0038,Compliance,Specialty/supplemental,trend-only,within threshold,conflicting source,DATA-HCDN-00039,exclusions to confirm,SRC-HCDN-KPI-039
KPI-HCDN-0039,Care-gap closure measure 0039,Provider Network,Provider enterprise,withheld,binary gate,industry pattern only,DATA-HCDN-00040,latency to confirm,SRC-HCDN-KPI-040
KPI-HCDN-0040,Readmission rate measure 0040,Value-Based Care,Medicare Advantage,exact,higher is better,source-backed candidate,DATA-HCDN-00041,regulatory use,SRC-HCDN-KPI-041
KPI-HCDN-0041,Length of stay measure 0041,Clinical Operations,Commercial,range,lower is better,needs owner signoff,DATA-HCDN-00042,contractual incentive use,SRC-HCDN-KPI-042
KPI-HCDN-0042,ED throughput measure 0042,Revenue Cycle,Medicaid,indexed,within threshold,conflicting source,DATA-HCDN-00043,numerator in source,SRC-HCDN-KPI-043
KPI-HCDN-0043,Surgery utilization measure 0043,Patient Access,Exchange,trend-only,binary gate,industry pattern only,DATA-HCDN-00044,denominator in source,SRC-HCDN-KPI-044
KPI-HCDN-0044,Bed occupancy measure 0044,Interoperability,Employer group,withheld,higher is better,source-backed candidate,DATA-HCDN-00045,exclusions to confirm,SRC-HCDN-KPI-045
KPI-HCDN-0045,Referral leakage measure 0045,Population Health,Dual eligible,exact,lower is better,needs owner signoff,DATA-HCDN-00046,latency to confirm,SRC-HCDN-KPI-046
KPI-HCDN-0046,Prior-auth turnaround measure 0046,Health Plan Operations,Specialty/supplemental,range,within threshold,conflicting source,DATA-HCDN-00047,regulatory use,SRC-HCDN-KPI-047
KPI-HCDN-0047,Denial rate measure 0047,Medicare Advantage,Provider enterprise,indexed,binary gate,industry pattern only,DATA-HCDN-00048,contractual incentive use,SRC-HCDN-KPI-048
KPI-HCDN-0048,Clean-claim rate measure 0048,Claims Operations,Medicare Advantage,trend-only,higher is better,source-backed candidate,DATA-HCDN-00049,numerator in source,SRC-HCDN-KPI-049
KPI-HCDN-0049,Days in A/R measure 0049,Utilization Management,Commercial,withheld,lower is better,needs owner signoff,DATA-HCDN-00050,denominator in source,SRC-HCDN-KPI-050
KPI-HCDN-0050,Contact-center service level measure 0050,Member Services,Medicaid,exact,within threshold,conflicting source,DATA-HCDN-00051,exclusions to confirm,SRC-HCDN-KPI-051
KPI-HCDN-0051,Member retention measure 0051,Quality and Stars,Exchange,range,binary gate,industry pattern only,DATA-HCDN-00052,latency to confirm,SRC-HCDN-KPI-052
KPI-HCDN-0052,Provider-directory accuracy measure 0052,Risk Adjustment,Employer group,indexed,higher is better,source-backed candidate,DATA-HCDN-00053,regulatory use,SRC-HCDN-KPI-053
KPI-HCDN-0053,Network adequacy measure 0053,Care Management,Dual eligible,trend-only,lower is better,needs owner signoff,DATA-HCDN-00054,contractual incentive use,SRC-HCDN-KPI-054
KPI-HCDN-0054,Claims leakage measure 0054,Finance,Specialty/supplemental,withheld,within threshold,conflicting source,DATA-HCDN-00055,numerator in source,SRC-HCDN-KPI-055
KPI-HCDN-0055,Medical cost trend measure 0055,Coding,Provider enterprise,exact,binary gate,industry pattern only,DATA-HCDN-00056,denominator in source,SRC-HCDN-KPI-056
KPI-HCDN-0056,Quality incentive attainment measure 0056,Payer Contracting,Medicare Advantage,range,higher is better,source-backed candidate,DATA-HCDN-00057,exclusions to confirm,SRC-HCDN-KPI-057
KPI-HCDN-0057,Digital adoption measure 0057,Digital Front Door,Commercial,indexed,lower is better,needs owner signoff,DATA-HCDN-00058,latency to confirm,SRC-HCDN-KPI-058
KPI-HCDN-0058,Patient access cycle time measure 0058,Contact Center,Medicaid,trend-only,within threshold,conflicting source,DATA-HCDN-00059,regulatory use,SRC-HCDN-KPI-059
KPI-HCDN-0059,Platform availability measure 0059,Ambulatory Care,Exchange,withheld,binary gate,industry pattern only,DATA-HCDN-00060,contractual incentive use,SRC-HCDN-KPI-060
KPI-HCDN-0060,SQL batch success measure 0060,Emergency Department,Employer group,exact,higher is better,source-backed candidate,DATA-HCDN-00061,numerator in source,SRC-HCDN-KPI-061
KPI-HCDN-0061,Epic extract latency measure 0061,Inpatient,Dual eligible,range,lower is better,needs owner signoff,DATA-HCDN-00062,denominator in source,SRC-HCDN-KPI-062
KPI-HCDN-0062,Azure use-case adoption measure 0062,Surgery,Specialty/supplemental,indexed,within threshold,conflicting source,DATA-HCDN-00063,exclusions to confirm,SRC-HCDN-KPI-063
KPI-HCDN-0063,AWS transformation readiness measure 0063,Imaging,Provider enterprise,trend-only,binary gate,industry pattern only,DATA-HCDN-00064,latency to confirm,SRC-HCDN-KPI-064
KPI-HCDN-0064,Star Rating overall measure 0064,Lab,Medicare Advantage,withheld,higher is better,source-backed candidate,DATA-HCDN-00065,regulatory use,SRC-HCDN-KPI-065
KPI-HCDN-0065,Medication adherence measure 0065,Pharmacy,Commercial,exact,lower is better,needs owner signoff,DATA-HCDN-00066,contractual incentive use,SRC-HCDN-KPI-066
KPI-HCDN-0066,Diabetes HbA1c control measure 0066,Oncology,Medicaid,range,within threshold,conflicting source,DATA-HCDN-00067,numerator in source,SRC-HCDN-KPI-067
KPI-HCDN-0067,Breast cancer screening measure 0067,Cardiology,Exchange,indexed,binary gate,industry pattern only,DATA-HCDN-00068,denominator in source,SRC-HCDN-KPI-068
KPI-HCDN-0068,CAHPS getting care quickly measure 0068,Data and Analytics,Employer group,trend-only,higher is better,source-backed candidate,DATA-HCDN-00069,exclusions to confirm,SRC-HCDN-KPI-069
KPI-HCDN-0069,RAF coding completeness measure 0069,Clinical Analytics,Dual eligible,withheld,lower is better,needs owner signoff,DATA-HCDN-00070,latency to confirm,SRC-HCDN-KPI-070
KPI-HCDN-0070,Encounter submission acceptance measure 0070,Actuarial,Specialty/supplemental,exact,within threshold,conflicting source,DATA-HCDN-00071,regulatory use,SRC-HCDN-KPI-071
KPI-HCDN-0071,Care-gap closure measure 0071,Departmental Reporting,Provider enterprise,range,binary gate,industry pattern only,DATA-HCDN-00072,contractual incentive use,SRC-HCDN-KPI-072
KPI-HCDN-0072,Readmission rate measure 0072,AI Transformation,Medicare Advantage,indexed,higher is better,source-backed candidate,DATA-HCDN-00073,numerator in source,SRC-HCDN-KPI-073
KPI-HCDN-0073,Length of stay measure 0073,Technology,Commercial,trend-only,lower is better,needs owner signoff,DATA-HCDN-00074,denominator in source,SRC-HCDN-KPI-074
KPI-HCDN-0074,ED throughput measure 0074,Security,Medicaid,withheld,within threshold,conflicting source,DATA-HCDN-00075,exclusions to confirm,SRC-HCDN-KPI-075
KPI-HCDN-0075,Surgery utilization measure 0075,Procurement,Exchange,exact,binary gate,industry pattern only,DATA-HCDN-00076,latency to confirm,SRC-HCDN-KPI-076
KPI-HCDN-0076,Bed occupancy measure 0076,HR,Employer group,range,higher is better,source-backed candidate,DATA-HCDN-00077,regulatory use,SRC-HCDN-KPI-077
KPI-HCDN-0077,Referral leakage measure 0077,Supply Chain,Dual eligible,indexed,lower is better,needs owner signoff,DATA-HCDN-00078,contractual incentive use,SRC-HCDN-KPI-078
KPI-HCDN-0078,Prior-auth turnaround measure 0078,Privacy,Specialty/supplemental,trend-only,within threshold,conflicting source,DATA-HCDN-00079,numerator in source,SRC-HCDN-KPI-079
KPI-HCDN-0079,Denial rate measure 0079,Compliance,Provider enterprise,withheld,binary gate,industry pattern only,DATA-HCDN-00080,denominator in source,SRC-HCDN-KPI-080
KPI-HCDN-0080,Clean-claim rate measure 0080,Provider Network,Medicare Advantage,exact,higher is better,source-backed candidate,DATA-HCDN-00081,exclusions to confirm,SRC-HCDN-KPI-081
KPI-HCDN-0081,Days in A/R measure 0081,Value-Based Care,Commercial,range,lower is better,needs owner signoff,DATA-HCDN-00082,latency to confirm,SRC-HCDN-KPI-082
KPI-HCDN-0082,Contact-center service level measure 0082,Clinical Operations,Medicaid,indexed,within threshold,conflicting source,DATA-HCDN-00083,regulatory use,SRC-HCDN-KPI-083
KPI-HCDN-0083,Member retention measure 0083,Revenue Cycle,Exchange,trend-only,binary gate,industry pattern only,DATA-HCDN-00084,contractual incentive use,SRC-HCDN-KPI-084
KPI-HCDN-0084,Provider-directory accuracy measure 0084,Patient Access,Employer group,withheld,higher is better,source-backed candidate,DATA-HCDN-00085,numerator in source,SRC-HCDN-KPI-085
KPI-HCDN-0085,Network adequacy measure 0085,Interoperability,Dual eligible,exact,lower is better,needs owner signoff,DATA-HCDN-00086,denominator in source,SRC-HCDN-KPI-086
KPI-HCDN-0086,Claims leakage measure 0086,Population Health,Specialty/supplemental,range,within threshold,conflicting source,DATA-HCDN-00087,exclusions to confirm,SRC-HCDN-KPI-087
KPI-HCDN-0087,Medical cost trend measure 0087,Health Plan Operations,Provider enterprise,indexed,binary gate,industry pattern only,DATA-HCDN-00088,latency to confirm,SRC-HCDN-KPI-088
KPI-HCDN-0088,Quality incentive attainment measure 0088,Medicare Advantage,Medicare Advantage,trend-only,higher is better,source-backed candidate,DATA-HCDN-00089,regulatory use,SRC-HCDN-KPI-089
KPI-HCDN-0089,Digital adoption measure 0089,Claims Operations,Commercial,withheld,lower is better,needs owner signoff,DATA-HCDN-00090,contractual incentive use,SRC-HCDN-KPI-090
KPI-HCDN-0090,Patient access cycle time measure 0090,Utilization Management,Medicaid,exact,within threshold,conflicting source,DATA-HCDN-00091,numerator in source,SRC-HCDN-KPI-091
KPI-HCDN-0091,Platform availability measure 0091,Member Services,Exchange,range,binary gate,industry pattern only,DATA-HCDN-00092,denominator in source,SRC-HCDN-KPI-092
