value_commitment_id,proposal_id,lot_id,bidder,value_lever,value_disclosure_mode,evidence_state
VALUE-HCDN-LOT-HCDN-01-A-01,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,quality uplift enablement,range,source-backed candidate
VALUE-HCDN-LOT-HCDN-01-A-02,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,cycle-time reduction,indexed,assumption dependent
VALUE-HCDN-LOT-HCDN-01-A-03,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,automation productivity,trend-only,finance review needed
VALUE-HCDN-LOT-HCDN-01-A-04,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,incident reduction,exact,source-backed candidate
VALUE-HCDN-LOT-HCDN-01-A-05,PROP-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,A,run-cost reduction,range,assumption dependent
VALUE-HCDN-LOT-HCDN-01-B-01,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,quality uplift enablement,range,source-backed candidate
VALUE-HCDN-LOT-HCDN-01-B-02,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,cycle-time reduction,indexed,assumption dependent
VALUE-HCDN-LOT-HCDN-01-B-03,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,automation productivity,trend-only,finance review needed
VALUE-HCDN-LOT-HCDN-01-B-04,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,incident reduction,exact,source-backed candidate
VALUE-HCDN-LOT-HCDN-01-B-05,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,run-cost reduction,range,assumption dependent
VALUE-HCDN-LOT-HCDN-01-C-01,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,quality uplift enablement,range,source-backed candidate
VALUE-HCDN-LOT-HCDN-01-C-02,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,cycle-time reduction,indexed,assumption dependent
VALUE-HCDN-LOT-HCDN-01-C-03,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,automation productivity,trend-only,finance review needed
VALUE-HCDN-LOT-HCDN-01-C-04,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,incident reduction,exact,source-backed candidate
VALUE-HCDN-LOT-HCDN-01-C-05,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,run-cost reduction,range,assumption dependent
VALUE-HCDN-LOT-HCDN-02-A-01,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,A,quality uplift enablement,range,source-backed candidate
