vendor,service,annual_usd,term_end,notes
FIS,mainframe hosting,38000000,2027-02-15,180-day core transition; termination assistance capped at 12 months
DXC,cloud commit,26000000,2026-11-30,app-by-app removal with 120-day notice
Accenture,network,18000000,2026-09-30,statement-of-work termination for convenience
Deloitte,datacenter,14000000,2026-08-31,quarterly SOW breakpoints
Salesforce,managed security,12200000,2027-01-31,annual volume true-down only
NICE,data platform,11200000,2026-12-31,module carve-out allowed after 90 days
SAP,mainframe hosting,9800000,2027-05-31,S/4 transition credit negotiable
ACI Worldwide,cloud commit,8600000,2026-10-31,FedNow module removal after stabilization
Snowflake,network,7600000,2026-07-31,committed-use drawdown reset annually
Databricks,datacenter,6400000,2027-03-31,workspace termination with data export SLA
Microsoft,managed security,7220000,2026-11-15,90-day module removal with transition support
AWS,data platform,697000,2027-12-15,standard annual renewal notice
