vendor,type,annual_usd,renewal_date,owner,data_class,ai_usage_clauses,exit_terms,notes
FIS,core_ams,38000000,2027-02-15,CIO,restricted,requires model-risk approval for generated code,180-day core transition; termination assistance capped at 12 months,"FIS is a named First Capital concentration-risk vendor for banking, risk, data or ERP operations."
DXC,mainframe_ams,26000000,2026-11-30,CIO,confidential,AI tooling allowed only in isolated dev,app-by-app removal with 120-day notice,"DXC is a named First Capital concentration-risk vendor for banking, risk, data or ERP operations."
Accenture,si_advisory,18000000,2026-09-30,CIO,confidential,client IP indemnity required,statement-of-work termination for convenience,"Accenture is a named First Capital concentration-risk vendor for banking, risk, data or ERP operations."
Deloitte,risk_consulting,14000000,2026-08-31,CRO,restricted,no customer data in public LLMs,quarterly SOW breakpoints,"Deloitte is a named First Capital concentration-risk vendor for banking, risk, data or ERP operations."
Salesforce,saas_crm,12200000,2027-01-31,CDO,pii_confidential,Einstein features require opt-in evidence,annual volume true-down only,"Salesforce is a named First Capital concentration-risk vendor for banking, risk, data or ERP operations."
NICE,financial_crimes,11200000,2026-12-31,CRO,restricted,model feature use subject to SR 11-7 evidence,module carve-out allowed after 90 days,"NICE is a named First Capital concentration-risk vendor for banking, risk, data or ERP operations."
SAP,erp_license,9800000,2027-05-31,CFO,confidential,Joule disabled pending data policy,S/4 transition credit negotiable,"SAP is a named First Capital concentration-risk vendor for banking, risk, data or ERP operations."
ACI Worldwide,payments_license,8600000,2026-10-31,SVP Payments,restricted,AI-generated payment rules prohibited,FedNow module removal after stabilization,"ACI Worldwide is a named First Capital concentration-risk vendor for banking, risk, data or ERP operations."
Snowflake,data_platform,7600000,2026-07-31,CDAO,confidential,Cortex use restricted to masked data,committed-use drawdown reset annually,"Snowflake is a named First Capital concentration-risk vendor for banking, risk, data or ERP operations."
Databricks,ai_platform,6400000,2027-03-31,CDAO,restricted,Mosaic AI use requires MRM approval,workspace termination with data export SLA,"Databricks is a named First Capital concentration-risk vendor for banking, risk, data or ERP operations."
Microsoft,saas,7220000,2026-11-15,SVP Retail Bank Ops,confidential,standard data-processing and confidentiality restrictions,90-day module removal with transition support,"Microsoft supports contact center capabilities; included for concentration, renewal and AI-clause reasoning."
AWS,license,697000,2027-12-15,SVP Client Service,confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"AWS supports model risk capabilities; included for concentration, renewal and AI-clause reasoning."
Google Cloud,managed_service,1374000,2026-01-15,Chief Model Risk Officer,restricted,AI use requires prior written approval and audit evidence,standard annual renewal notice,"Google Cloud supports core banking capabilities; included for concentration, renewal and AI-clause reasoning."
Oracle,si_advisory,2051000,2027-02-15,COO,confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Oracle supports payments capabilities; included for concentration, renewal and AI-clause reasoning."
Workday,data_feed,2728000,2026-03-15,Chief Product Officer,confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Workday supports digital banking capabilities; included for concentration, renewal and AI-clause reasoning."
ServiceNow,saas,3405000,2027-04-15,Treasurer,pii_confidential,standard data-processing and confidentiality restrictions,90-day module removal with transition support,"ServiceNow supports commercial lending capabilities; included for concentration, renewal and AI-clause reasoning."
Splunk,license,4082000,2026-05-15,SVP Consumer Lending CIO,confidential,AI use requires prior written approval and audit evidence,standard annual renewal notice,"Splunk supports wealth capabilities; included for concentration, renewal and AI-clause reasoning."
CrowdStrike,managed_service,4759000,2027-06-15,SVP Cards,confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"CrowdStrike supports financial crimes capabilities; included for concentration, renewal and AI-clause reasoning."
Palo Alto Networks,si_advisory,5436000,2026-07-15,CIO,restricted,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Palo Alto Networks supports data platform capabilities; included for concentration, renewal and AI-clause reasoning."
Okta,data_feed,6113000,2027-08-15,VP Technology Service Mgmt,confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Okta supports cybersecurity capabilities; included for concentration, renewal and AI-clause reasoning."
SailPoint,saas,6790000,2026-09-15,Chief Compliance Officer,confidential,AI use requires prior written approval and audit evidence,90-day module removal with transition support,"SailPoint supports erp finance capabilities; included for concentration, renewal and AI-clause reasoning."
NCR,license,7467000,2027-10-15,Chief Procurement Officer,pii_confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"NCR supports branch atm capabilities; included for concentration, renewal and AI-clause reasoning."
Fiserv,managed_service,944000,2026-11-15,EVP Technology Operations,confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Fiserv supports contact center capabilities; included for concentration, renewal and AI-clause reasoning."
Fenergo,si_advisory,1621000,2027-12-15,SVP Payments Technology,confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Fenergo supports model risk capabilities; included for concentration, renewal and AI-clause reasoning."
nCino,data_feed,2298000,2026-01-15,Chief Digital Officer,restricted,AI use requires prior written approval and audit evidence,standard annual renewal notice,"nCino supports core banking capabilities; included for concentration, renewal and AI-clause reasoning."
Murex,saas,2975000,2027-02-15,SVP Commercial Bank CIO,confidential,standard data-processing and confidentiality restrictions,90-day module removal with transition support,"Murex supports payments capabilities; included for concentration, renewal and AI-clause reasoning."
SAS,license,3652000,2026-03-15,SVP Wealth Technology,confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"SAS supports digital banking capabilities; included for concentration, renewal and AI-clause reasoning."
Pega,managed_service,4329000,2027-04-15,Chief Risk Officer,pii_confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Pega supports commercial lending capabilities; included for concentration, renewal and AI-clause reasoning."
Broadridge,si_advisory,5006000,2026-05-15,Chief Data and Analytics Officer,confidential,AI use requires prior written approval and audit evidence,standard annual renewal notice,"Broadridge supports wealth capabilities; included for concentration, renewal and AI-clause reasoning."
Genesys,data_feed,5683000,2027-06-15,SVP Infrastructure,confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Genesys supports financial crimes capabilities; included for concentration, renewal and AI-clause reasoning."
Verint,saas,6360000,2026-07-15,CISO,restricted,standard data-processing and confidentiality restrictions,90-day module removal with transition support,"Verint supports data platform capabilities; included for concentration, renewal and AI-clause reasoning."
Twilio,license,7037000,2027-08-15,CFO,confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Twilio supports cybersecurity capabilities; included for concentration, renewal and AI-clause reasoning."
Blend,managed_service,514000,2026-09-15,SVP Retail Bank Ops,confidential,AI use requires prior written approval and audit evidence,standard annual renewal notice,"Blend supports erp finance capabilities; included for concentration, renewal and AI-clause reasoning."
Zelle/EWS,si_advisory,1191000,2027-10-15,SVP Client Service,pii_confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Zelle/EWS supports branch atm capabilities; included for concentration, renewal and AI-clause reasoning."
The Clearing House,data_feed,1868000,2026-11-15,Chief Model Risk Officer,confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"The Clearing House supports contact center capabilities; included for concentration, renewal and AI-clause reasoning."
Visa DPS,saas,2545000,2027-12-15,COO,confidential,standard data-processing and confidentiality restrictions,90-day module removal with transition support,"Visa DPS supports model risk capabilities; included for concentration, renewal and AI-clause reasoning."
Mastercard,license,3222000,2026-01-15,Chief Product Officer,restricted,AI use requires prior written approval and audit evidence,standard annual renewal notice,"Mastercard supports core banking capabilities; included for concentration, renewal and AI-clause reasoning."
FICO,managed_service,3899000,2027-02-15,Treasurer,confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"FICO supports payments capabilities; included for concentration, renewal and AI-clause reasoning."
Moody's Analytics,si_advisory,4576000,2026-03-15,SVP Consumer Lending CIO,confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Moody's Analytics supports digital banking capabilities; included for concentration, renewal and AI-clause reasoning."
S&P Global,data_feed,5253000,2027-04-15,SVP Cards,pii_confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"S&P Global supports commercial lending capabilities; included for concentration, renewal and AI-clause reasoning."
Bloomberg,saas,5930000,2026-05-15,CIO,confidential,AI use requires prior written approval and audit evidence,90-day module removal with transition support,"Bloomberg supports wealth capabilities; included for concentration, renewal and AI-clause reasoning."
Refinitiv,license,6607000,2027-06-15,VP Technology Service Mgmt,confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Refinitiv supports financial crimes capabilities; included for concentration, renewal and AI-clause reasoning."
Tableau,managed_service,7284000,2026-07-15,Chief Compliance Officer,restricted,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Tableau supports data platform capabilities; included for concentration, renewal and AI-clause reasoning."
Looker,si_advisory,761000,2027-08-15,Chief Procurement Officer,confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Looker supports cybersecurity capabilities; included for concentration, renewal and AI-clause reasoning."
Informatica,data_feed,1438000,2026-09-15,EVP Technology Operations,confidential,AI use requires prior written approval and audit evidence,standard annual renewal notice,"Informatica supports erp finance capabilities; included for concentration, renewal and AI-clause reasoning."
Collibra,saas,2115000,2027-10-15,SVP Payments Technology,pii_confidential,standard data-processing and confidentiality restrictions,90-day module removal with transition support,"Collibra supports branch atm capabilities; included for concentration, renewal and AI-clause reasoning."
Alation,license,2792000,2026-11-15,Chief Digital Officer,confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Alation supports contact center capabilities; included for concentration, renewal and AI-clause reasoning."
Confluent,managed_service,3469000,2027-12-15,SVP Commercial Bank CIO,confidential,standard data-processing and confidentiality restrictions,standard annual renewal notice,"Confluent supports model risk capabilities; included for concentration, renewal and AI-clause reasoning."
Red Hat,si_advisory,4146000,2026-01-15,SVP Wealth Technology,restricted,AI use requires prior written approval and audit evidence,standard annual renewal notice,"Red Hat supports core banking capabilities; included for concentration, renewal and AI-clause reasoning."
