ai_asset_id,ai_asset_name,business_area,tool_or_model,stage,monthly_users_or_cases,measured_value_usd,risk_tier,evidence_status,next_gate
FC-AI-ASSET-001,Real-time scam & APP fraud detection,Financial Crimes,SAS,ideate,20937,0,tier_1_high,review_required,sunset_decision
FC-AI-ASSET-002,AML alert triage & false-positive reduction,Financial Crimes,AWS Bedrock / Claude,ideate,17892,0,tier_1_high,source_backed,model_risk_validation
FC-AI-ASSET-003,SAR narrative drafting copilot,Financial Crimes,SAS,ideate,25593,0,tier_1_high,source_backed,scale_readiness
FC-AI-ASSET-004,Contact center next-best-action assist,Customer Care,NICE Actimize ML,ideate,4529,0,tier_2,review_required,model_risk_validation
FC-AI-ASSET-005,Commercial credit spreading automation,Commercial Banking,AWS Bedrock / Claude,ideate,31037,0,tier_3,source_backed,scale_readiness
FC-AI-ASSET-006,Customer 360 lakehouse foundation,"Data, Analytics & AI",Databricks ML,ideate,9332,0,tier_2,source_backed,model_risk_validation
FC-AI-ASSET-007,Certified semantic layer for KPIs,"Data, Analytics & AI",Azure OpenAI,design,13401,96687,tier_2,review_required,model_risk_validation
FC-AI-ASSET-008,Engineering code-assist productivity,Technology,in-house model,design,19557,1208161,tier_2,review_required,model_risk_validation
FC-AI-ASSET-009,Regulatory close & reconciliation automation,Finance,GitHub Copilot,design,5602,416844,tier_3,source_backed,model_risk_validation
FC-AI-ASSET-010,Cards dispute & chargeback automation,Cards & Payments,SAS,design,10523,166217,tier_1_high,review_required,sunset_decision
FC-AI-ASSET-011,Wealth advisor proposal generation,Wealth Management,AWS Bedrock / Claude,design,3586,2158702,tier_2,review_required,model_risk_validation
FC-AI-ASSET-012,Payments exception repair automation,Operations,in-house model,design,16570,500324,tier_3,review_required,model_risk_validation
FC-AI-ASSET-013,Credit risk model SR 11-7 evidence automation,Risk,AWS Bedrock / Claude,design,1717,1841337,tier_1_high,review_required,model_risk_validation
FC-AI-ASSET-014,KYC refresh & onboarding intelligence,Financial Crimes,AWS Bedrock / Claude,mobilize,19641,3637080,tier_1_high,source_backed,scale_readiness
FC-AI-ASSET-015,Collections prioritization optimization,Operations,GitHub Copilot,mobilize,31759,2126838,tier_3,review_required,model_risk_validation
FC-AI-ASSET-016,Branch banker knowledge assist,Consumer Banking,SAS,mobilize,17051,428036,tier_2,review_required,model_risk_validation
FC-AI-ASSET-017,Marketing personalization & retention,Consumer Banking,Databricks ML,mobilize,32884,3321334,tier_2,review_required,model_risk_validation
FC-AI-ASSET-018,Treasury liquidity forecasting,Treasury,GitHub Copilot,mobilize,33432,5952785,tier_3,review_required,model_risk_validation
FC-AI-ASSET-019,Complaint & fair-lending surveillance NLP,Compliance,Feedzai,mobilize,39561,449702,tier_1_high,review_required,sunset_decision
FC-AI-ASSET-020,Mainframe code modernization assist,Technology,Azure OpenAI,mobilize,17633,2725054,tier_2,review_required,model_risk_validation
FC-AI-ASSET-021,Document intelligence for commercial onboarding,Commercial Banking,SAS,mobilize,5711,4737000,tier_2,source_backed,model_risk_validation
FC-AI-ASSET-022,Sanctions screening tuning,Financial Crimes,in-house model,pilot,20350,9951623,tier_1_high,review_required,model_risk_validation
FC-AI-ASSET-023,Statement & disclosure generation copilot,Operations,Databricks ML,pilot,28083,12287491,tier_2,review_required,model_risk_validation
FC-AI-ASSET-024,Card rewards personalization,Cards & Payments,Feedzai,pilot,29911,5327800,tier_2,review_required,model_risk_validation
FC-AI-ASSET-025,Voice biometrics authentication,Customer Care,NICE Actimize ML,pilot,8337,1714160,tier_2,review_required,model_risk_validation
FC-AI-ASSET-026,Trade surveillance anomaly detection,Treasury & Capital Markets,SAS,pilot,20786,4409150,tier_2,review_required,model_risk_validation
FC-AI-ASSET-027,Loan servicing virtual agent,Operations,GitHub Copilot,pilot,3281,3883320,tier_2,review_required,model_risk_validation
FC-AI-ASSET-028,ESG & climate risk data automation,Risk,SAS,pilot,17094,1143289,tier_1_high,review_required,sunset_decision
FC-AI-ASSET-029,Enterprise search over policy & procedures,Compliance,in-house model,pilot,1324,7746837,tier_3,review_required,model_risk_validation
FC-AI-ASSET-030,Deposit pricing optimization,Consumer Banking,in-house model,scale,7655,11077962,tier_2,source_backed,scale_readiness
FC-AI-ASSET-031,Synthetic data for model development,"Data, Analytics & AI",SAS,scale,9197,21362034,tier_2,source_backed,model_risk_validation
FC-AI-ASSET-032,Wire fraud interdiction,Financial Crimes,in-house model,scale,31455,23379836,tier_1_high,source_backed,scale_readiness
FC-AI-ASSET-033,Mortgage underwriting decision support,Consumer Banking,AWS Bedrock / Claude,scale,33305,24768103,tier_2,source_backed,scale_readiness
FC-AI-ASSET-034,Vendor contract intelligence,Finance,NICE Actimize ML,scale,14656,1814885,tier_3,source_backed,model_risk_validation
FC-AI-ASSET-035,Branch staffing & demand forecasting,Consumer Banking,GitHub Copilot,scale,24925,14734961,tier_2,source_backed,scale_readiness
FC-AI-ASSET-036,IT incident root-cause copilot,Technology,SAS,production,31237,24719244,tier_2,source_backed,scale_readiness
FC-AI-ASSET-037,Regulatory change interpretation assist,Compliance,SAS,production,24891,3260888,tier_1_high,review_required,sunset_decision
FC-AI-ASSET-038,Small business cash-flow insights,Commercial Banking,Azure OpenAI,production,35373,10330850,tier_3,source_backed,scale_readiness
FC-AI-ASSET-039,Anti-money-laundering network analytics,Financial Crimes,SAS,production,31406,4435180,tier_1_high,source_backed,scale_readiness
FC-AI-ASSET-040,Customer churn early-warning model,Consumer Banking,in-house model,retired,8127,1953629,tier_2,review_required,model_risk_validation
FC-AI-ASSET-041,Capital markets research summarization,Treasury & Capital Markets,Databricks ML,retired,29077,929469,tier_2,review_required,model_risk_validation
FC-AI-ASSET-042,Privacy & data-access governance automation,"Cyber, Privacy & Resilience",GitHub Copilot,retired,30392,2063932,tier_3,source_backed,model_risk_validation
