control_id,control_name,domain,owner_role,status,risk_severity,evidence_status,gap_or_condition,regulatory_or_policy_anchor
FC-CTRL-001,SR 11-7 model risk governance,model_risk,Chief Risk Officer,blocked,critical,missing_machine_readable_evidence,AI models lack documented validation evidence before scale,OCC/Fed SR 11-7
FC-CTRL-002,BSA/AML program controls,financial_crimes,BSA/AML Officer,operating,high,source_available,Standard review cadence,BSA/AML/FinCEN
FC-CTRL-003,PCI-DSS cardholder data,security,Chief Information Security Officer,operating,high,source_available,Quarterly scans current,PCI-DSS
FC-CTRL-004,Fair lending / ECOA explainability,compliance,Chief Compliance Officer,blocked,critical,missing_machine_readable_evidence,Credit model decisions must be explainable before automation,ECOA/Reg B/CFPB
FC-CTRL-005,SOX financial reporting controls,finance,Chief Financial Officer,operating,high,source_available,Annual attestation,SOX
FC-CTRL-006,Data privacy & access governance,privacy,Chief Information Security Officer,partial,high,partial_evidence,NPI access approvals partly manual,GLBA/CCPA
FC-CTRL-007,Third-party / vendor risk,tprm,Chief Information Security Officer,operating,medium,source_available,Concentration on FIS/TSYS noted,OCC TPRM
FC-CTRL-008,AI model security & data exfiltration,security,Chief Information Security Officer,partial,high,partial_evidence,LLM data-loss controls maturing,NIST AI RMF
FC-CTRL-009,CCAR / stress testing controls,risk,Chief Risk Officer,operating,high,source_available,Cycle governed,Fed CCAR
FC-CTRL-010,Sanctions screening accuracy,financial_crimes,BSA/AML Officer,partial,high,partial_evidence,Tuning evidence incomplete,OFAC
FC-CTRL-011,Operational resilience,resilience,Chief Operating Officer,operating,medium,source_available,DR tested,Interagency resilience
FC-CTRL-012,Consumer complaint handling,compliance,Chief Compliance Officer,partial,medium,partial_evidence,NLP surveillance not validated,CFPB
