site_id,country,business_unit,primary_system,validated_system_flag,quality_cost_usd,capacity_utilization_pct,region,site_type,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
SITE-NLS-001,United States,Northline,Manhattan WMS,false,80000,58,North America,Distribution / freight node,Northline site master,northline-site-master-0001,Northline Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-BMS-002,Canada,Brightmark,Coupa / Brandfolder,true,115000,59,Europe,Agency / sourcing office,Brightmark site master,brightmark-site-master-0002,Brightmark Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-FFF-003,Mexico,Forge & Field,Shopify / NetSuite,true,150000,60,LATAM,Commerce / fulfillment node,Forge & Field site master,forge-field-site-master-0003,Forge & Field Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-GLP-004,United Kingdom,Great Lakes Pantry,Cantaloupe Seed / 365 Retail Markets,true,185000,61,APAC,Cafe / micro-market / vending route,Great Lakes Pantry site master,great-lakes-pantry-site-master-0004,Great Lakes Pantry Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-NLS-005,Germany,Northline,Manhattan WMS,true,220000,62,Middle East,Distribution / freight node,Northline site master,northline-site-master-0005,Northline Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-BMS-006,France,Brightmark,Coupa / Brandfolder,true,255000,63,North America,Agency / sourcing office,Brightmark site master,brightmark-site-master-0006,Brightmark Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-FFF-007,Spain,Forge & Field,Shopify / NetSuite,true,290000,64,Europe,Commerce / fulfillment node,Forge & Field site master,forge-field-site-master-0007,Forge & Field Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-GLP-008,Netherlands,Great Lakes Pantry,Cantaloupe Seed / 365 Retail Markets,false,325000,65,LATAM,Cafe / micro-market / vending route,Great Lakes Pantry site master,great-lakes-pantry-site-master-0008,Great Lakes Pantry Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-NLS-009,Poland,Northline,Manhattan WMS,true,360000,66,APAC,Distribution / freight node,Northline site master,northline-site-master-0009,Northline Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-BMS-010,China,Brightmark,Coupa / Brandfolder,true,395000,67,Middle East,Agency / sourcing office,Brightmark site master,brightmark-site-master-0010,Brightmark Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-FFF-011,Japan,Forge & Field,Shopify / NetSuite,true,430000,68,North America,Commerce / fulfillment node,Forge & Field site master,forge-field-site-master-0011,Forge & Field Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-GLP-012,Malaysia,Great Lakes Pantry,Cantaloupe Seed / 365 Retail Markets,true,465000,69,Europe,Cafe / micro-market / vending route,Great Lakes Pantry site master,great-lakes-pantry-site-master-0012,Great Lakes Pantry Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-NLS-013,Australia,Northline,Manhattan WMS,true,80000,70,LATAM,Distribution / freight node,Northline site master,northline-site-master-0013,Northline Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
SITE-BMS-014,Brazil,Brightmark,Coupa / Brandfolder,true,115000,71,APAC,Agency / sourcing office,Brightmark site master,brightmark-site-master-0014,Brightmark Operations,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
