edge_id,source_app_id,target_app_id,integration_type,latency_sla,kill_blocker_flag,data_domain,criticality,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
INT-001,APP-LSH-HOLDCO-001,APP-NLS-012,API,real-time,true,orders,high,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0001,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-002,APP-FFF-004,APP-FFF-019,EDI,<15 min,false,inventory,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0002,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-003,APP-NLS-007,APP-LSH-HOLDCO-026,SFTP file,hourly,false,cash,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0003,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-004,APP-GLP-010,APP-BMS-033,MuleSoft flow,daily,false,customer,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0004,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-005,APP-BMS-013,APP-GLP-040,Kafka event,real-time,false,vendor,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0005,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-006,APP-LSH-HOLDCO-016,APP-NLS-047,Batch ETL,<15 min,false,shipment,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0006,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-007,APP-FFF-019,APP-FFF-054,API,hourly,false,campaign,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0007,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-008,APP-NLS-022,APP-LSH-HOLDCO-061,EDI,daily,false,orders,low,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0008,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-009,APP-GLP-025,APP-BMS-068,SFTP file,real-time,false,inventory,high,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0009,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
INT-010,APP-BMS-028,APP-GLP-075,MuleSoft flow,<15 min,false,cash,medium,MuleSoft and architecture graph,mulesoft-and-architecture-graph-0010,VP Enterprise Architecture,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
