tenant_key,leader_id,leader_name,role,reports_to_role,organization_area,source_basis,source_file,confidence,caveat,source_file,source_row,value_source
apex-retail,LEADER-01,Victoria Hargreaves,CEO,Board,CXO,loaded adjacent v1 leadership bench,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,2,tenant_file
apex-retail,LEADER-02,Brendan Fox,CFO,CEO / executive committee,CXO,loaded adjacent v1 leadership bench,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,3,tenant_file
apex-retail,LEADER-03,Carlos Rivera,CIO,CEO / executive technology leadership,CXO,loaded adjacent v1 leadership bench,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,4,tenant_file
apex-retail,LEADER-04,Maya Desai,COO,CEO / executive committee,CXO,loaded adjacent v1 leadership bench,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,5,tenant_file
apex-retail,LEADER-05,Nora Okafor,CISO,CEO / executive technology leadership,CXO,loaded adjacent v1 leadership bench,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,6,tenant_file
apex-retail,LEADER-06,Priya Sethi,Chief Digital Officer,CEO / executive technology leadership,CXO,loaded adjacent v1 leadership bench,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,7,tenant_file
apex-retail,LEADER-07,Elena Torres,CMO,Executive sponsor,CXO,loaded adjacent v1 leadership bench,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,8,tenant_file
apex-retail,LEADER-08,Maria Delgado,CHRO,CEO / executive committee,CXO,loaded adjacent v1 leadership bench,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,9,tenant_file
apex-retail,LEADER-09,Dylan Brooks,VP Core Platforms,CIO / executive sponsor,VP,loaded adjacent v1 leadership bench,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,10,tenant_file
apex-retail,LEADER-10,Aisha Khan,VP Enterprise Apps,CIO / executive sponsor,VP,loaded adjacent v1 leadership bench,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,11,tenant_file
apex-retail,LEADER-11,Kenji Watanabe,VP Commerce,CIO / executive sponsor,VP,loaded adjacent v1 leadership bench,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,12,tenant_file
apex-retail,LEADER-12,Jordan Blake,VP Store Tech,CIO / executive sponsor,VP,loaded adjacent v1 leadership bench,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,13,tenant_file
apex-retail,LEADER-13,Iris Chen,VP Data,CIO / executive sponsor,VP,loaded adjacent v1 leadership bench,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,14,tenant_file
apex-retail,LEADER-14,Omar Haddad,VP Security,CIO / executive sponsor,VP,loaded adjacent v1 leadership bench,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,15,tenant_file
apex-retail,LEADER-15,Meera Iyer,Head of Enterprise Apps,CIO / executive sponsor,VP,loaded adjacent v1 leadership bench,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,16,tenant_file
apex-retail,LEADER-16,Sam Patel,Head of Supply Chain Tech,CIO / executive sponsor,VP,loaded adjacent v1 leadership bench,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,17,tenant_file
apex-retail,LEADER-17,Lena Ortiz,Head of Store Tech,CIO / executive sponsor,VP,loaded adjacent v1 leadership bench,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,18,tenant_file
apex-retail,LEADER-18,Victor Chen,Head of PMO,CIO / executive sponsor,VP,loaded adjacent v1 leadership bench,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.82,Synthetic named leadership evidence is available; downstream answers must distinguish names from V4 role-only ownership.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,19,tenant_file
apex-retail,APEX_RETAIL_ROLE_1,,VP Store Technology,CIO / executive technology leadership,store_systems,v4 role-level IT ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.72,V4 has role/team accountability but no named individual for this row.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,20,tenant_file
apex-retail,APEX_RETAIL_ROLE_2,,SVP Digital Engineering,CIO / executive technology leadership,commerce,v4 role-level IT ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.72,V4 has role/team accountability but no named individual for this row.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,21,tenant_file
apex-retail,APEX_RETAIL_ROLE_3,,VP Merch Tech,CIO / executive technology leadership,merchandising,v4 role-level IT ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.72,V4 has role/team accountability but no named individual for this row.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,22,tenant_file
apex-retail,APEX_RETAIL_ROLE_4,,VP Supply Chain Tech,CIO / executive technology leadership,supply_chain,v4 role-level IT ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.72,V4 has role/team accountability but no named individual for this row.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,23,tenant_file
apex-retail,APEX_RETAIL_ROLE_5,,VP Customer Platforms,CIO / executive technology leadership,customer,v4 role-level IT ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.72,V4 has role/team accountability but no named individual for this row.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,24,tenant_file
apex-retail,APEX_RETAIL_ROLE_6,,VP ERP,CIO / executive technology leadership,erp,v4 role-level IT ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.72,V4 has role/team accountability but no named individual for this row.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,25,tenant_file
apex-retail,APEX_RETAIL_ROLE_7,,Chief Data Officer,CEO / executive committee,data_ai,v4 role-level IT ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.72,V4 has role/team accountability but no named individual for this row.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,26,tenant_file
apex-retail,APEX_RETAIL_ROLE_8,,VP Cloud Platform,CIO / executive technology leadership,cloud,v4 role-level IT ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.72,V4 has role/team accountability but no named individual for this row.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,27,tenant_file
apex-retail,APEX_RETAIL_ROLE_9,,CISO,CIO / executive technology leadership,cyber,v4 role-level IT ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.72,V4 has role/team accountability but no named individual for this row.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,28,tenant_file
apex-retail,APEX_RETAIL_ROLE_10,,VP IT Operations,CIO / executive technology leadership,itsm,v4 role-level IT ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.72,V4 has role/team accountability but no named individual for this row.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,29,tenant_file
apex-retail,APEX_RETAIL_BUS_ROLE_11,,COO,Business executive committee,Store Operations,v4 business function ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,30,tenant_file
apex-retail,APEX_RETAIL_BUS_ROLE_12,,Chief Digital Officer,Business executive committee,Digital Commerce,v4 business function ownership,family-8-semantic-enrichment/F18_leadership-org-chart.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.,family-8-semantic-enrichment/F18_leadership-org-chart.csv,31,tenant_file
