tenant_key,map_id,vendor_id,vendor_name,contract_or_scope,annual_value_usd,renewal_date,supported_system_id,supported_system_name,owner_role,source_basis,confidence,caveat,source_file,source_row,value_source
apex-retail,apex-retail-VENDOR-SYSTEM-1,APX-VND-001,Salesforce,commerce,1200000,2026-07-15,APX-APP-005,Salesforce Commerce Cloud,COO,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,2,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-2,APX-VND-002,Oracle,erp,2040000,2026-08-15,APX-APP-001,Oracle Retail Merchandising,Chief Digital Officer,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,3,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-3,APX-VND-003,Manhattan,supply_chain,2880000,2026-09-15,APX-APP-002,Manhattan Active WMS,Chief Merchandising Officer,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,4,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-4,APX-VND-004,IBM,data_ai,3720000,2026-10-15,APX-APP-003,IBM Sterling OMS,Chief Supply Chain Officer,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,5,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-5,APX-VND-005,Toshiba,security,4560000,2026-11-15,APX-APP-004,Toshiba POS,Chief Marketing Officer,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,6,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-6,APX-VND-006,Adobe,services,5400000,2026-12-15,APX-APP-006,Adobe Experience Cloud,CFO,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,7,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-7,APX-VND-007,Blue Yonder,commerce,6240000,2026-07-15,APX-APP-007,Blue Yonder Demand Planning,Chief Risk Officer,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,8,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-8,APX-VND-008,SAP,erp,7080000,2026-08-15,APX-APP-008,SAP S/4 Finance,CIO,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,9,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-9,APX-VND-009,Databricks,supply_chain,7920000,2026-09-15,APX-APP-010,Databricks Retail Lakehouse,CHRO,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,10,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-10,APX-VND-010,Snowflake,data_ai,8760000,2026-10-15,APX-APP-011,Snowflake Marketing Data Cloud,Chief Procurement Officer,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,11,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-11,APX-VND-011,ServiceNow,security,9600000,2026-11-15,APX-APP-009,ServiceNow ITSM,Chief Real Estate Officer,vendor matched to supported system evidence,0.74,Contract-to-system relationship can support vendor dependency answers.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,12,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-12,APX-VND-012,Microsoft,services,10440000,2026-12-15,,,SVP Private Brands,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,13,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-13,APX-VND-013,AWS,commerce,11280000,2026-07-15,,,COO,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,14,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-14,APX-VND-014,Google,erp,12120000,2026-08-15,,,Chief Digital Officer,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,15,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-15,APX-VND-015,NVIDIA,supply_chain,12960000,2026-09-15,,,Chief Merchandising Officer,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,16,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-16,APX-VND-016,UKG,data_ai,13800000,2026-10-15,,,Chief Supply Chain Officer,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,17,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-17,APX-VND-017,Workday,security,14640000,2026-11-15,,,Chief Marketing Officer,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,18,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-18,APX-VND-018,CrowdStrike,services,15480000,2026-12-15,,,CFO,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,19,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-19,APX-VND-019,Datadog,commerce,16320000,2026-07-15,,,Chief Risk Officer,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,20,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-20,APX-VND-020,MuleSoft,erp,17160000,2026-08-15,,,CIO,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,21,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-21,APX-VND-021,Klaviyo,supply_chain,18000000,2026-09-15,,,CHRO,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,22,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-22,APX-VND-022,Braze,data_ai,18840000,2026-10-15,,,Chief Procurement Officer,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,23,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-23,APX-VND-023,NCR,security,19680000,2026-11-15,,,Chief Real Estate Officer,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,24,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-24,APX-VND-024,Zebra,services,20520000,2026-12-15,,,SVP Private Brands,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,25,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-25,APX-VND-025,Okta,commerce,21360000,2026-07-15,,,COO,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,26,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-26,APX-VND-026,Fortinet,erp,22200000,2026-08-15,,,Chief Digital Officer,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,27,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-27,APX-VND-027,Accenture,supply_chain,23040000,2026-09-15,,,Chief Merchandising Officer,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,28,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-28,APX-VND-028,Deloitte,data_ai,23880000,2026-10-15,,,Chief Supply Chain Officer,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,29,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-29,APX-VND-029,Infosys,security,24720000,2026-11-15,,,Chief Marketing Officer,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,30,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-30,APX-VND-030,TCS,services,25560000,2026-12-15,,,CFO,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,31,tenant_file
apex-retail,apex-retail-VENDOR-SYSTEM-31,APX-VND-031,EPAM,commerce,26400000,2026-07-15,,,Chief Risk Officer,vendor contract only; supported system not explicit,0.52,Requires vendor-to-application validation before dependency diagrams are definitive.,family-8-semantic-enrichment/F22_contract-system-service-map.csv,32,tenant_file
