tenant_key,row_ref,input_file,source_version_id,source_identity_method,source_identity_confidence,notes
lakeshore-holdings,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv#2,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,unspecified,unspecified,
lakeshore-holdings,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv#3,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,unspecified,unspecified,
lakeshore-holdings,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv#4,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,unspecified,unspecified,
lakeshore-holdings,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv#5,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,unspecified,unspecified,
lakeshore-holdings,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv#6,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,unspecified,unspecified,
lakeshore-holdings,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv#7,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,unspecified,unspecified,
lakeshore-holdings,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv#8,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,unspecified,unspecified,
lakeshore-holdings,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv#9,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,unspecified,unspecified,
lakeshore-holdings,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv#10,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,unspecified,unspecified,
lakeshore-holdings,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv#11,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,unspecified,unspecified,
lakeshore-holdings,datasets/tenant-inputs/active/lakeshore-holdings/current/13_evidence_sources.csv#3,datasets/tenant-inputs/active/lakeshore-holdings/current/13_evidence_sources.csv,SRCV-LAKESHOREHOLDINGS-63700F3194A2,evidence_location_deterministic,high,
lakeshore-holdings,datasets/tenant-inputs/active/lakeshore-holdings/current/13_evidence_sources.csv#4,datasets/tenant-inputs/active/lakeshore-holdings/current/13_evidence_sources.csv,SRCV-LAKESHOREHOLDINGS-1042DF132576,evidence_location_deterministic,high,
lakeshore-holdings,datasets/tenant-inputs/active/lakeshore-holdings/current/13_evidence_sources.csv#5,datasets/tenant-inputs/active/lakeshore-holdings/current/13_evidence_sources.csv,SRCV-LAKESHOREHOLDINGS-1132F6257B94,evidence_location_deterministic,high,
lakeshore-holdings,datasets/tenant-inputs/active/lakeshore-holdings/current/13_evidence_sources.csv#6,datasets/tenant-inputs/active/lakeshore-holdings/current/13_evidence_sources.csv,SRCV-LAKESHOREHOLDINGS-D59FFBC66924,evidence_location_deterministic,high,
lakeshore-holdings,datasets/tenant-inputs/active/lakeshore-holdings/current/13_evidence_sources.csv#7,datasets/tenant-inputs/active/lakeshore-holdings/current/13_evidence_sources.csv,SRCV-LAKESHOREHOLDINGS-89B07E49BBAD,evidence_location_deterministic,high,
lakeshore-holdings,datasets/tenant-inputs/active/lakeshore-holdings/current/13_evidence_sources.csv#8,datasets/tenant-inputs/active/lakeshore-holdings/current/13_evidence_sources.csv,SRCV-LAKESHOREHOLDINGS-68C09AE05BC5,evidence_location_deterministic,high,
lakeshore-holdings,datasets/tenant-inputs/active/lakeshore-holdings/current/13_evidence_sources.csv#9,datasets/tenant-inputs/active/lakeshore-holdings/current/13_evidence_sources.csv,SRCV-LAKESHOREHOLDINGS-68C09AE05BC5,evidence_location_deterministic,high,
lakeshore-holdings,datasets/tenant-inputs/active/lakeshore-holdings/current/13_evidence_sources.csv#10,datasets/tenant-inputs/active/lakeshore-holdings/current/13_evidence_sources.csv,SRCV-LAKESHOREHOLDINGS-68C09AE05BC5,evidence_location_deterministic,high,
