tenant_key,source_version_id,field,existing_value,incoming_value,row_ref,input_file
lakeshore-holdings,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,source_owner,AbarVa Synthetic Data Steward,Group CIO,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv#3,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv
lakeshore-holdings,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,source_owner,AbarVa Synthetic Data Steward,Group CIO,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv#4,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv
lakeshore-holdings,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,source_owner,AbarVa Synthetic Data Steward,VP Corporate Innovation IT and Data AI,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv#5,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv
lakeshore-holdings,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,source_owner,AbarVa Synthetic Data Steward,Group CIO,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv#6,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv
lakeshore-holdings,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,source_owner,AbarVa Synthetic Data Steward,Portfolio Management Office,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv#7,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv
lakeshore-holdings,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,source_owner,AbarVa Synthetic Data Steward,VP Corporate Innovation IT and Data AI,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv#8,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv
lakeshore-holdings,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,source_owner,AbarVa Synthetic Data Steward,Corporate Procurement,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv#9,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv
lakeshore-holdings,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,source_owner,AbarVa Synthetic Data Steward,CISO,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv#10,datasets/tenant-inputs/archive/lakeshore-holdings/consolidated-20260714/enterprise-pack/templates/V6_13_evidence_sources.csv
lakeshore-holdings,SRCV-LAKESHOREHOLDINGS-68C09AE05BC5,source_owner,General Counsel,CDAO,datasets/tenant-inputs/active/lakeshore-holdings/current/13_evidence_sources.csv#9,datasets/tenant-inputs/active/lakeshore-holdings/current/13_evidence_sources.csv
lakeshore-holdings,SRCV-LAKESHOREHOLDINGS-68C09AE05BC5,source_owner,General Counsel,CPO,datasets/tenant-inputs/active/lakeshore-holdings/current/13_evidence_sources.csv#10,datasets/tenant-inputs/active/lakeshore-holdings/current/13_evidence_sources.csv
