file,pattern,found,status,evidence
src/lib/home/local-cxo-runtime.ts,meridian-health-v6-v7-current-state-v1,0,PASS,no default runtime dependency
src/lib/home/local-cxo-runtime.ts,skyharbor-air-v3-v7-context-v1,0,PASS,no default runtime dependency
src/lib/home/local-cxo-runtime.ts,first-capital-financial-v3-v7-context-v1,0,PASS,no default runtime dependency
src/lib/home/local-cxo-runtime.ts,derived\/knowledge,0,PASS,no default runtime dependency
src/lib/home/local-cxo-runtime.ts,derived\/home,0,PASS,no default runtime dependency
src/lib/home/local-cxo-runtime.ts,V6_V7_GENERATED_MANIFEST,0,PASS,no default runtime dependency
src/lib/home/local-cxo-runtime.ts,V7_\d+_,0,PASS,no default runtime dependency
src/lib/home/local-cxo-runtime.ts,V6_\d+_,0,PASS,no default runtime dependency
scripts/knowledge/runtime-proof-cxo-context.ts,meridian-health-v6-v7-current-state-v1,0,PASS,no default runtime dependency
scripts/knowledge/runtime-proof-cxo-context.ts,skyharbor-air-v3-v7-context-v1,0,PASS,no default runtime dependency
scripts/knowledge/runtime-proof-cxo-context.ts,first-capital-financial-v3-v7-context-v1,0,PASS,no default runtime dependency
scripts/knowledge/runtime-proof-cxo-context.ts,derived\/knowledge,0,PASS,no default runtime dependency
scripts/knowledge/runtime-proof-cxo-context.ts,derived\/home,0,PASS,no default runtime dependency
scripts/knowledge/runtime-proof-cxo-context.ts,V6_V7_GENERATED_MANIFEST,0,PASS,no default runtime dependency
scripts/knowledge/runtime-proof-cxo-context.ts,V7_\d+_,0,PASS,no default runtime dependency
scripts/knowledge/runtime-proof-cxo-context.ts,V6_\d+_,0,PASS,no default runtime dependency
scripts/knowledge/audit-cxo-story-blocks.mjs,meridian-health-v6-v7-current-state-v1,0,PASS,no default runtime dependency
scripts/knowledge/audit-cxo-story-blocks.mjs,skyharbor-air-v3-v7-context-v1,0,PASS,no default runtime dependency
scripts/knowledge/audit-cxo-story-blocks.mjs,first-capital-financial-v3-v7-context-v1,0,PASS,no default runtime dependency
scripts/knowledge/audit-cxo-story-blocks.mjs,derived\/knowledge,0,PASS,no default runtime dependency
scripts/knowledge/audit-cxo-story-blocks.mjs,derived\/home,0,PASS,no default runtime dependency
scripts/knowledge/audit-cxo-story-blocks.mjs,V6_V7_GENERATED_MANIFEST,0,PASS,no default runtime dependency
scripts/knowledge/audit-cxo-story-blocks.mjs,V7_\d+_,0,PASS,no default runtime dependency
scripts/knowledge/audit-cxo-story-blocks.mjs,V6_\d+_,0,PASS,no default runtime dependency
scripts/knowledge/generate-cxo-story-blocks.mjs,meridian-health-v6-v7-current-state-v1,0,PASS,no default runtime dependency
scripts/knowledge/generate-cxo-story-blocks.mjs,skyharbor-air-v3-v7-context-v1,0,PASS,no default runtime dependency
scripts/knowledge/generate-cxo-story-blocks.mjs,first-capital-financial-v3-v7-context-v1,0,PASS,no default runtime dependency
scripts/knowledge/generate-cxo-story-blocks.mjs,derived\/knowledge,0,PASS,no default runtime dependency
scripts/knowledge/generate-cxo-story-blocks.mjs,derived\/home,0,PASS,no default runtime dependency
scripts/knowledge/generate-cxo-story-blocks.mjs,V6_V7_GENERATED_MANIFEST,0,PASS,no default runtime dependency
scripts/knowledge/generate-cxo-story-blocks.mjs,V7_\d+_,0,PASS,no default runtime dependency
scripts/knowledge/generate-cxo-story-blocks.mjs,V6_\d+_,0,PASS,no default runtime dependency
