persona_id,persona_name,business_function,primary_capability,it_owner_team,head_count,primary_tools,ai_adoption_pct,time_on_ai_tasks_pct,ai_eligible_work_pct,baseline_throughput,current_throughput,ai_status,notes
FCF-PERS-001,Branch Banker,FCF-BF-RETAIL,FCF-CAP-02,TEAM-FCF-BRANCH,3200,FCF-APP-FIS-HORIZON|FCF-APP-SALESFORCE-FSC,8,38,100,4.8,4.2,assisted,Teller + universal banker hybrid; primary deposit and consumer onboarding workflow.
FCF-PERS-002,Commercial Credit Analyst,FCF-BF-COMMBK,FCF-CAP-04,TEAM-FCF-COMMLEND,280,FCF-APP-NCINO|FCF-APP-SAP-ECC,22,12,60,23,21,piloting,23-day credit cycle; AI credit memo pilot with 8 analysts showing 2-day improvement.
FCF-PERS-003,AML / Financial Crimes Analyst,FCF-BF-RISK,FCF-CAP-06,TEAM-FCF-RISK,420,FCF-APP-NICE-ACTIMIZE|FCF-APP-FENERGO-KYC,35,8,55,28,26,piloting,Alert-to-SAR pipeline; 89% false positive rate; AI triage reduces review queue.
FCF-PERS-004,Contact Center Representative,FCF-BF-OPS,FCF-CAP-12,TEAM-FCF-CONTACT,850,FCF-APP-PEGA-CASE|FCF-APP-SALESFORCE-FSC,12,5,20,8.2,8.1,none,Sentiment AI kill-candidate; handle time unchanged; CSAT scores did not improve.
FCF-PERS-005,Treasury / ALM Analyst,FCF-BF-TREASURY,FCF-CAP-09,TEAM-FCF-PAYMENTS,180,FCF-APP-MUREX-TREASURY|FCF-APP-SNOWFLAKE,5,28,80,,,none,Murex + Snowflake; FRTB evidence review blocks AI augmentation of stress scenarios.
FCF-PERS-006,Finance Analyst / Controller,FCF-BF-FINANCE,FCF-CAP-10,TEAM-FCF-ERP,340,FCF-APP-SAP-ECC|FCF-APP-WORKDAY-HCM,18,6,45,,,piloting,M365 Copilot for GL close narratives; early productivity signals positive.
FCF-PERS-007,Software Engineer,FCF-BF-TECH,FCF-CAP-14,TEAM-FCF-DEVEX,980,FCF-APP-SERVICENOW|FCF-APP-DATABRICKS,62,0,100,100,128,active,GitHub Copilot + M365 Copilot; 28% code-completion velocity improvement measured.
FCF-PERS-008,Model Risk / Validation Analyst,FCF-BF-RISK,FCF-CAP-07,TEAM-FCF-MRM,95,FCF-APP-DATABRICKS|FCF-APP-SERVICENOW,8,32,75,18,14,active,SAS Viya + Databricks; evidence automation cutting validation cycle from 18 to 14 days.
FCF-PERS-009,Wealth Advisor,FCF-BF-WEALTH,FCF-CAP-08,TEAM-FCF-WEALTH,480,FCF-APP-SALESFORCE-FSC|FCF-APP-BROADRIDGE,4,3,25,,,halted,Copilot shadow pilot halted; FINRA supervision gap; client-note data path unapproved.
FCF-PERS-010,Mortgage Loan Officer,FCF-BF-RETAIL,FCF-CAP-03,TEAM-FCF-CORE,320,FCF-APP-FIS-HORIZON|FCF-APP-MOBILE-BANKING,7,4,30,18,14,piloting,Document intelligence pilot reducing underwriting cycle 4 days; MRM validation in progress.
FCF-PERS-011,Data Analyst / Data Scientist,FCF-BF-TECH,FCF-CAP-13,TEAM-FCF-DATA,380,FCF-APP-SNOWFLAKE|FCF-APP-DATABRICKS,72,0,100,,,active,Snowflake Cortex + Databricks Mosaic; 72% use Cortex AI; Mosaic conditional approval.
FCF-PERS-012,Branch ATM Operations Tech,FCF-BF-RETAIL,FCF-CAP-02,TEAM-FCF-BRANCH,140,FCF-APP-FIS-HORIZON|FCF-APP-SERVICENOW,0,0,0,,,none,Field ATM and branch hardware maintenance; no AI tools approved or piloted.
