contract_id,story_step,client_talk_track,fact_1,fact_2,evidence_files,ui_location
CTR-090,1. Why this contract,"Vantage is a material optimization candidate: Vantage Data Platform Agreement 3 carries $43.5M annual value, supports Digital Commerce; Customer Recovery; Loyalty; Revenue Management, and has multiple source-backed optimization levers.",Annual value $43.5M,Actual annual spend $37.4M,contract_overview.csv; contract_pricing_schedule.csv; contract_application_scope.csv,Decision tab > verdict and Scope tab > overview
CTR-090,2. What the contract covers,"This agreement covers Vantage Data Cloud, Vantage Service Suite, Marketing Cloud, premium support, API/event processing, and implementation capacity for commercial, loyalty, customer recovery, and revenue-management operations. Spend is driven by platform subscriptions, event/API volume, support tier, integration throughput, and implementation services. The optimization question is whether SkyHarbor is paying for unused capacity, missing benchmark and price protections, and leaving service credits unclaimed.",5 material pricing lines,4 mapped applications/functions,contract_overview.csv; contract_pricing_schedule.csv; contract_application_scope.csv,"Scope tab > English overview, system/function map, line item table"
CTR-090,3. Where money is leaking,"Recoverable leakage is supported by source-system evidence, not guessed: $0.75M service credits earned but not claimed and $2.40M invoice/off-contract/rate-card exceptions.",Service-credit gap $0.75M,Invoice/rate-card exceptions $2.40M,sla_incident_service_credit_monthly.csv; invoice_lines.csv; rate_card_variance.csv; po_contract_match.csv,"Performance tab and Economics tab, summarized on Decision tab"
CTR-090,4. Where avoided cost exists,"Usage and entitlement evidence shows underused Data Cloud, Marketing Cloud and API/event capacity. The avoided-cost conversation is not simply spend below contract; it is reclaiming or resizing unused entitlement before renewal.",Avoided cost opportunity $2.42M,Contract-to-actual variance $6.09M,usage_entitlement_monthly.csv; renewal_negotiation_history.csv,Economics tab > bridge and Decision tab > avoided cost
CTR-090,5. What negotiation lever is defensible,"The defensible negotiation lever is benchmark and price protection plus entitlement reset. Vantage has meaningful spend, limited benchmark protection, and usage evidence that gives procurement something specific to ask for.",Negotiated improvement envelope $1.25M,Notice deadline 2031-02-28,renewal_negotiation_history.csv; contract_overview.csv; contract_pricing_schedule.csv,Leverage tab and Decision tab > next action
CTR-090,6. What value is finance-confirmed,"Realized value is deliberately lower than the opportunity: finance confirms $0.94M as reviewed value, while the remaining opportunity stays in workflow until approved and measured.",Realized value $0.94M,Total opportunity $6.82M,finance_value_confirmation.csv,Decision tab > realized value and Tower handoff
CTR-061,1. Why this contract,"Northgate is a material optimization candidate: Northgate Cloud Platform Agreement 2 carries $35.8M annual value, supports Enterprise Productivity; Data Platform; Airport Operations; Finance Analytics, and has multiple source-backed optimization levers.",Annual value $35.8M,Actual annual spend $28.3M,contract_overview.csv; contract_pricing_schedule.csv; contract_application_scope.csv,Decision tab > verdict and Scope tab > overview
CTR-061,2. What the contract covers,"This enterprise agreement covers Northgate Cloud consumption, Northgate Workplace E5, Northgate Insight Premium capacity, Northgate Copilot seats, and unified support for collaboration, analytics, and platform engineering. Spend is driven by Northgate Cloud commitment drawdown, licensed seats, premium capacity, support tier, and developer-tool adoption. The optimization question is whether SkyHarbor can rebalance cloud commitment, reclaim unused licenses, improve discount/price protections, and convert developer-productivity evidence into finance-confirmed value.",5 material pricing lines,4 mapped applications/functions,contract_overview.csv; contract_pricing_schedule.csv; contract_application_scope.csv,"Scope tab > English overview, system/function map, line item table"
CTR-061,3. Where money is leaking,"Recoverable leakage is supported by source-system evidence, not guessed: $0.53M service credits earned but not claimed and $1.81M invoice/off-contract/rate-card exceptions.",Service-credit gap $0.53M,Invoice/rate-card exceptions $1.81M,sla_incident_service_credit_monthly.csv; invoice_lines.csv; rate_card_variance.csv; po_contract_match.csv,"Performance tab and Economics tab, summarized on Decision tab"
CTR-061,4. Where avoided cost exists,"Northgate Cloud drawdown, E5 seats, Northgate Insight capacity and Copilot usage show a concrete rebalancing opportunity before the 2026 notice date. The avoided-cost conversation is commitment and license optimization, not a generic cut.",Avoided cost opportunity $2.76M,Contract-to-actual variance $7.51M,usage_entitlement_monthly.csv; renewal_negotiation_history.csv,Economics tab > bridge and Decision tab > avoided cost
CTR-061,5. What negotiation lever is defensible,"The defensible negotiation lever is commitment rebalance, discount protection and license reclaim before the notice deadline. Northgate has a near-term renewal clock and measurable usage under-consumption.",Negotiated improvement envelope $1.10M,Notice deadline 2026-09-30,renewal_negotiation_history.csv; contract_overview.csv; contract_pricing_schedule.csv,Leverage tab and Decision tab > next action
CTR-061,6. What value is finance-confirmed,"Realized value is deliberately lower than the opportunity: finance confirms $0.78M as reviewed value, while the remaining opportunity stays in workflow until approved and measured.",Realized value $0.78M,Total opportunity $6.20M,finance_value_confirmation.csv,Decision tab > realized value and Tower handoff
