layer,area,state,denominator,passed,evidence,what_loaded,remaining,next_gate
Backlog queue,20-slice local execution queue,local_proof_complete_with_hard_gate,19 executable / 20 total,19 executable passed; 1 hard-gated,outputs/ecl-no-stop-execution-run/execution-summary.json,All local proof/report slices in the next queue ran successfully.,Item 20 requires product route repointing and live/browser proof.,product_route_repointing
L1 client intake,Client workbook execution package,local_package_contract_ready_not_published,8 workbook folders / 9 source families,83 field-guide rows; 9 example rows; 0 issues,outputs/ecl-client-workbook-execution-2026-08-23/workbook_execution_package_validation_summary.json,"Business-facing folder/package contract exists for applications, hosting, vendors/contracts, budget/spend, D&A volumetrics, AI usage, interviews, infrastructure, and programs.",Package is not published/replaced in Azure and not yet filled with dense client-scale synthetic rows across every family.,client_package_replacement
L1 source room,Commercial contract source room,local_source_room_loaded,71 files / 589 source records,71 source-room hashes; 540 lineage rows; 0 document quality issues,outputs/ecl-commercial-contract-supply-correction-2026-08-22/proof_bundle_manifest.json,"Commercial contract source extracts, document inventory, contract register, scope, pricing, AP, SLA, benchmark, and protection assessment are locally generated and hashed.","Other source families are mapped as requirements, not yet source-room dense-loaded.",active_tenant_source_replacement_or_dense_package_promotion
L2 adapters/builders,Commercial source-room builder and validators,local_builder_proven,1 commercial vertical builder,22 expected-count checks; 16 extracts documented; planted failures pass,outputs/ecl-commercial-contract-supply-correction-2026-08-22/commercial_proof_acceptance_summary.json,"The commercial builder generates source, context, commercial, review, projection, and cube load artifacts and rejects known bad rows.",Reusable adapters for all nine source families are not built and no ACA data-build job executed.,migration_or_aca_data_build_execution
L3 ecl_source,"Source files, source records, documents, extractions",loaded_in_disposable_postgres,ecl_source local proof tables,71 source files; 589 records; 55 documents; 235 extractions,outputs/ecl-commercial-contract-supply-correction-2026-08-22/commercial_contract_supply_db_proof.txt,Commercial source evidence is loaded with real document page/span extraction coverage in local disposable Postgres.,No Azure/client-preprod load; no retrieval/index publication.,Azure_data_plane_load
L3 ecl_context,"Objects, relationships, measures",loaded_in_disposable_postgres,ecl_context local proof tables,48 objects; 49 relationships; 75 measures,outputs/ecl-commercial-contract-supply-correction-2026-08-22/commercial_contract_supply_db_proof.txt,"Supplier, contract, scope, document, measure, and application-scope context loads locally with FK/readback proof.",Dense application/data/AI/interview context across all source families is not loaded yet.,dense_source_room_build_then_Azure_load
L3 ecl_commercial,"Contracts, service lines, scope, invoice, SLA",loaded_in_disposable_postgres,5 ecl_commercial tables,5 contracts; 20 service lines; 44 scope links; 40 invoice lines; 90 SLA observations,outputs/ecl-commercial-contract-supply-correction-2026-08-22/commercial_contract_supply_db_proof.txt,"Commercial domain is the strongest Source vertical now: contract economics, scope, invoice variance, SLA, protection, and benchmark basis are populated locally.","The slice is deliberately five contracts, not a full tenant-scale commercial portfolio.",dense_commercial_population_and_Azure_load
L3 ecl_review,Review events and gates,loaded_in_disposable_postgres,review events produced by commercial proof,13 review events,outputs/ecl-commercial-contract-supply-correction-2026-08-22/commercial_contract_supply_db_proof.txt,Review and gate states exist for commercial evidence and Source/Tower consumption.,Human review workflow UI and real approvals are not executed.,review_workflow_and_product_adoption
L4 Source 360,"Contract, vendor, value, and event projections",local_projection_ready_not_repointed,Source 360 projection artifacts,5 contracts; 5 vendors; 5 value levers; 13 workspace rows,outputs/ecl-source-route-readiness-2026-08-23/source_360_route_readiness_summary.json,Local ECL Source projections and healthy/weak static previews are accepted; weak contract leverage is visible.,Current product routes are not repointed; signed-in browser QA is not claimed.,product_route_repointing_then_signed_in_browser_QA
L4 Tower,Tower command center preview,local_static_preview_only,Tower projection artifact,5 tower rows,outputs/ecl-no-stop-execution-run/logs/tower_command_center_static_preview.log,Commercial risk/value gates are rendered into a static Tower command preview.,Tower runtime dashboards and signed-in browser QA remain open.,product_route_repointing_then_signed_in_browser_QA
Product fact contracts,"Home, Source, Tower, Intelligence, Moves, Cubes",planning_contract_ready,8 product fact contracts,8 contracts accepted; browser proof status not_started,outputs/ecl-next-slice-planning-2026-08-23/ecl_product_deterministic_fact_contracts_summary.json,Page-level deterministic needs are specified for product consumers and partial/refusal behavior.,"Home, Intelligence, Moves, and most Tower consumers are not built against ECL yet.",product_projection_build_and_browser_QA
Cubes,Commercial/source/tower cube slices,loaded_in_disposable_postgres,cube manifests/slices in commercial proof,4 manifests; 20 slices; 160 metric links; 160 measure links,outputs/ecl-commercial-contract-supply-correction-2026-08-22/commercial_contract_supply_db_proof.txt,Commercial cube metrics/measures are FK-backed and locally read back.,"Cross-family cubes for Home architecture, D&A, AI usage, Moves, and Intelligence are not populated.",dense_source_family_population
Dense source coverage,Nine required source families,requirements_ready_not_dense_loaded,9 dense requirements,9 extraction families accepted; partial processing supported=True,outputs/ecl-next-slice-planning-2026-08-23/ecl_dense_source_room_requirements_summary.json,"Requirements explicitly cover CMDB, deployments, vendors/contracts, budget/spend, D&A volumetrics, AI usage, interviews, infrastructure, and programs.","The dense source rooms are not fully generated/loaded across all families, so full Source comprehensiveness is not complete.",active_tenant_source_replacement_or_dense_synthetic_package_promotion
Azure/data plane,Client preprod/lab load,not_loaded,Azure DB/data-build job,0 Azure loads performed by this batch,outputs/ecl-no-stop-execution-run/execution-summary.json,Nothing was written to Azure by this local lane.,Run governed ACA data-build job and independent Azure readback after approval.,Azure_data_plane_load_authorization
Browser/live product,Source/Tower route and signed-in proof,hard_gated,item 20 browser/product repointing proof,0 live browser claims; route readiness accepted,outputs/ecl-source-route-readiness-2026-08-23/source_360_route_readiness_summary.json,Routes remain protected from unguarded ECL repointing.,"Repoint behind explicit adapter flag, deploy through approved lane, then run signed-in browser QA.",product_route_repointing
Legacy sunset,Static table retirement pressure map,static_inventory_ready_not_retired,897 CREATE TABLE statements,736 unique table names; deletion authorization=False,reports/ecl-legacy-table-retirement-map-2026-08-22/legacy_table_retirement_summary.json,Static retirement pressure map is current.,"No live readback, parity proof, or retirement authorization.",live_readback_and_retirement_authorization
