team_or_product,deployment_frequency_before,deployment_frequency_after,lead_time_before_days,lead_time_after_days,change_failure_before_pct,change_failure_after_pct,mttr_before_hours,mttr_after_hours,source_file,source_row,value_source,team_id,team_name,period,deployment_frequency,lead_time_days,change_failure_rate_pct,mttr_hours,ai_tooling_used,notes
Treasury,2/month,4/month,31,18,20,14,21,7,ai-control-tower/T06_dora-delivery-metrics.csv,2,tenant_file,,,,,,,,,
Treasury controls,3/month,5/month,30,17,20,14,18,8,ai-control-tower/T06_dora-delivery-metrics.csv,3,tenant_file,,,,,,,,,
FP&A,4/month,6/month,29,16,19,13,18,9,ai-control-tower/T06_dora-delivery-metrics.csv,4,tenant_file,,,,,,,,,
Finance,5/month,7/month,28,15,19,13,19,10,ai-control-tower/T06_dora-delivery-metrics.csv,5,tenant_file,,,,,,,,,
IT Operations,2/month,8/month,27,14,20,12,16,11,ai-control-tower/T06_dora-delivery-metrics.csv,6,tenant_file,,,,,,,,,
Finance,3/month,9/month,26,13,20,12,22,7,ai-control-tower/T06_dora-delivery-metrics.csv,7,tenant_file,,,,,,,,,
Procurement,4/month,10/month,25,18,21,13,18,8,ai-control-tower/T06_dora-delivery-metrics.csv,8,tenant_file,,,,,,,,,
Treasury,5/month,4/month,24,17,19,14,16,9,ai-control-tower/T06_dora-delivery-metrics.csv,9,tenant_file,,,,,,,,,
Productivity,2/month,5/month,23,16,19,14,15,10,ai-control-tower/T06_dora-delivery-metrics.csv,10,tenant_file,,,,,,,,,
Developer productivity,3/month,6/month,31,15,21,11,21,11,ai-control-tower/T06_dora-delivery-metrics.csv,11,tenant_file,,,,,,,,,
