period,tool_name,licensed_users,active_users,prompts_or_actions,estimated_hours_saved,quality_or_control_flag,source_file,source_row,cost_usd,value_source
2026-03,M365 Copilot,120,67,,,,ai-control-tower/T03_tool-usage-monthly.csv,2,3556,synthetic
2026-03,GitHub Copilot,900,507,,,,ai-control-tower/T03_tool-usage-monthly.csv,3,36612,synthetic
2026-03,Claude Code,330,165,,,,ai-control-tower/T03_tool-usage-monthly.csv,4,46667,synthetic
2026-03,Cursor,750,321,,,,ai-control-tower/T03_tool-usage-monthly.csv,5,29971,synthetic
2026-03,AWS Bedrock,1380,488,,,,ai-control-tower/T03_tool-usage-monthly.csv,6,58933,synthetic
2026-03,Databricks Assistant,1170,467,,,,ai-control-tower/T03_tool-usage-monthly.csv,7,62806,synthetic
2026-03,ServiceNow Now Assist,960,380,,,,ai-control-tower/T03_tool-usage-monthly.csv,8,33011,synthetic
2026-03,Maximo Assist,780,306,,,,ai-control-tower/T03_tool-usage-monthly.csv,9,32121,synthetic
2026-03,Blue Yonder AI,320,169,,,,ai-control-tower/T03_tool-usage-monthly.csv,10,14146,synthetic
2026-03,Coupa AI,410,161,,,,ai-control-tower/T03_tool-usage-monthly.csv,11,12645,synthetic
2026-04,M365 Copilot,120,80,,,,ai-control-tower/T03_tool-usage-monthly.csv,12,3412,synthetic
2026-04,GitHub Copilot,936,497,,,,ai-control-tower/T03_tool-usage-monthly.csv,13,38493,synthetic
2026-04,Claude Code,330,207,,,,ai-control-tower/T03_tool-usage-monthly.csv,14,47516,synthetic
2026-04,Cursor,750,478,,,,ai-control-tower/T03_tool-usage-monthly.csv,15,31343,synthetic
2026-04,AWS Bedrock,1380,644,,,,ai-control-tower/T03_tool-usage-monthly.csv,16,59641,synthetic
2026-04,Databricks Assistant,1170,452,,,,ai-control-tower/T03_tool-usage-monthly.csv,17,65748,synthetic
2026-04,ServiceNow Now Assist,960,598,,,,ai-control-tower/T03_tool-usage-monthly.csv,18,32628,synthetic
2026-04,Maximo Assist,811,489,,,,ai-control-tower/T03_tool-usage-monthly.csv,19,33028,synthetic
2026-04,Blue Yonder AI,333,213,,,,ai-control-tower/T03_tool-usage-monthly.csv,20,15834,synthetic
2026-04,Coupa AI,426,181,,,,ai-control-tower/T03_tool-usage-monthly.csv,21,12920,synthetic
2026-05,M365 Copilot,120,55,,,,ai-control-tower/T03_tool-usage-monthly.csv,22,3679,synthetic
2026-05,GitHub Copilot,972,642,,,,ai-control-tower/T03_tool-usage-monthly.csv,23,38240,synthetic
2026-05,Claude Code,330,138,,,,ai-control-tower/T03_tool-usage-monthly.csv,24,51193,synthetic
2026-05,Cursor,750,381,,,,ai-control-tower/T03_tool-usage-monthly.csv,25,29114,synthetic
2026-05,AWS Bedrock,1380,823,,,,ai-control-tower/T03_tool-usage-monthly.csv,26,64254,synthetic
2026-05,Databricks Assistant,1170,580,,,,ai-control-tower/T03_tool-usage-monthly.csv,27,60968,synthetic
2026-05,ServiceNow Now Assist,960,474,,,,ai-control-tower/T03_tool-usage-monthly.csv,28,34164,synthetic
2026-05,Maximo Assist,842,398,,,,ai-control-tower/T03_tool-usage-monthly.csv,29,31789,synthetic
2026-05,Blue Yonder AI,346,149,,,,ai-control-tower/T03_tool-usage-monthly.csv,30,15740,synthetic
2026-05,Coupa AI,443,282,,,,ai-control-tower/T03_tool-usage-monthly.csv,31,14043,synthetic
2026-06,M365 Copilot,120,71,,,,ai-control-tower/T03_tool-usage-monthly.csv,32,3514,synthetic
2026-06,GitHub Copilot,1008,617,,,,ai-control-tower/T03_tool-usage-monthly.csv,33,40331,synthetic
2026-06,Claude Code,330,181,,,,ai-control-tower/T03_tool-usage-monthly.csv,34,52042,synthetic
2026-06,Cursor,750,284,,,,ai-control-tower/T03_tool-usage-monthly.csv,35,30486,synthetic
2026-06,AWS Bedrock,1380,533,,,,ai-control-tower/T03_tool-usage-monthly.csv,36,65319,synthetic
2026-06,Databricks Assistant,1170,429,,,,ai-control-tower/T03_tool-usage-monthly.csv,37,63910,synthetic
2026-06,ServiceNow Now Assist,960,349,,,,ai-control-tower/T03_tool-usage-monthly.csv,38,33588,synthetic
2026-06,Maximo Assist,874,300,,,,ai-control-tower/T03_tool-usage-monthly.csv,39,36592,synthetic
2026-06,Blue Yonder AI,358,200,,,,ai-control-tower/T03_tool-usage-monthly.csv,40,15549,synthetic
2026-06,Coupa AI,459,158,,,,ai-control-tower/T03_tool-usage-monthly.csv,41,14314,synthetic
