initiative_id,scheduled_6mo,held_6mo,cancelled_6mo
INIT-SAP-ERP-FUTURE,6,4,0
INIT-COMMERCE-OPT,6,5,1
INIT-CDP-MIGRATION-PH2,6,6,0
INIT-O9-COMPLETION,6,4,1
INIT-FORECAST-AI-V2,6,5,0
INIT-LOYALTY-REPLACEMENT,6,1,5
INIT-MAINFRAME-MOD-ASSESS,6,1,5
INIT-AS400-SUNSET,6,1,5
INIT-AI-PRODUCTIVITY,6,6,0
INIT-STORE-MOD,6,4,1
INIT-RETURNS-MOD,6,5,0
INIT-PRICING-MOD,6,6,1
INIT-INVENTORY-VIS,6,4,0
INIT-FINOPS,6,5,1
INIT-WORKDAY-PHASE-2,6,6,0
INIT-SERVICENOW-MATURITY,6,4,1
INIT-IDENTITY-MOD,6,5,0
INIT-SDWAN-REFRESH,6,6,1
INIT-SECURITY-CONSOL,6,4,0
INIT-WIPRO-AMS-OPT,6,5,1
INIT-MARKETPLACES,6,6,0
INIT-CUSTOMER-SERVICE-AI,6,4,1
INIT-PIM,6,5,0
INIT-MMM,6,6,1
INIT-PERSONALIZATION,6,4,0
INIT-SEARCH,6,5,1
INIT-TAX-COMPLIANCE,6,6,0
INIT-RETURNS-FRAUD,6,4,1
INIT-UKG-WFM,6,5,0
INIT-SUSTAINABILITY,6,6,1
