initiative_id,month,status_update_present,tone
INIT-SAP-ERP-FUTURE,2026-01,true,hold
INIT-SAP-ERP-FUTURE,2026-02,true,hold
INIT-SAP-ERP-FUTURE,2026-03,true,hold
INIT-COMMERCE-OPT,2026-01,true,continue
INIT-COMMERCE-OPT,2026-02,true,continue
INIT-COMMERCE-OPT,2026-03,true,continue
INIT-CDP-MIGRATION-PH2,2026-01,true,restructure
INIT-CDP-MIGRATION-PH2,2026-02,true,restructure
INIT-CDP-MIGRATION-PH2,2026-03,true,restructure
INIT-O9-COMPLETION,2026-01,true,restructure
INIT-O9-COMPLETION,2026-02,true,restructure
INIT-O9-COMPLETION,2026-03,true,restructure
INIT-FORECAST-AI-V2,2026-01,true,continue
INIT-FORECAST-AI-V2,2026-02,true,continue
INIT-FORECAST-AI-V2,2026-03,true,continue
INIT-LOYALTY-REPLACEMENT,2026-01,true,kill
INIT-LOYALTY-REPLACEMENT,2026-02,false,kill
INIT-LOYALTY-REPLACEMENT,2026-03,false,kill
INIT-MAINFRAME-MOD-ASSESS,2026-01,true,kill
INIT-MAINFRAME-MOD-ASSESS,2026-02,false,kill
INIT-MAINFRAME-MOD-ASSESS,2026-03,false,kill
INIT-AS400-SUNSET,2026-01,true,kill
INIT-AS400-SUNSET,2026-02,false,kill
INIT-AS400-SUNSET,2026-03,false,kill
INIT-AI-PRODUCTIVITY,2026-01,true,continue
INIT-AI-PRODUCTIVITY,2026-02,true,continue
INIT-AI-PRODUCTIVITY,2026-03,true,continue
INIT-STORE-MOD,2026-01,true,continue
INIT-STORE-MOD,2026-02,true,continue
INIT-STORE-MOD,2026-03,true,continue
INIT-RETURNS-MOD,2026-01,true,continue
INIT-RETURNS-MOD,2026-02,true,continue
INIT-RETURNS-MOD,2026-03,true,continue
INIT-PRICING-MOD,2026-01,true,continue
INIT-PRICING-MOD,2026-02,true,continue
INIT-PRICING-MOD,2026-03,true,continue
INIT-INVENTORY-VIS,2026-01,true,continue_with_warning
INIT-INVENTORY-VIS,2026-02,true,continue_with_warning
INIT-INVENTORY-VIS,2026-03,true,continue_with_warning
INIT-FINOPS,2026-01,true,continue
INIT-FINOPS,2026-02,true,continue
INIT-FINOPS,2026-03,true,continue
INIT-WORKDAY-PHASE-2,2026-01,true,continue
INIT-WORKDAY-PHASE-2,2026-02,true,continue
INIT-WORKDAY-PHASE-2,2026-03,true,continue
INIT-SERVICENOW-MATURITY,2026-01,true,continue
INIT-SERVICENOW-MATURITY,2026-02,true,continue
INIT-SERVICENOW-MATURITY,2026-03,true,continue
INIT-IDENTITY-MOD,2026-01,true,continue
INIT-IDENTITY-MOD,2026-02,true,continue
INIT-IDENTITY-MOD,2026-03,true,continue
INIT-SDWAN-REFRESH,2026-01,true,continue
INIT-SDWAN-REFRESH,2026-02,true,continue
INIT-SDWAN-REFRESH,2026-03,true,continue
INIT-SECURITY-CONSOL,2026-01,true,continue
INIT-SECURITY-CONSOL,2026-02,true,continue
INIT-SECURITY-CONSOL,2026-03,true,continue
INIT-WIPRO-AMS-OPT,2026-01,true,continue
INIT-WIPRO-AMS-OPT,2026-02,true,continue
INIT-WIPRO-AMS-OPT,2026-03,true,continue
INIT-MARKETPLACES,2026-01,true,continue
INIT-MARKETPLACES,2026-02,true,continue
INIT-MARKETPLACES,2026-03,true,continue
INIT-CUSTOMER-SERVICE-AI,2026-01,true,continue_with_warning
INIT-CUSTOMER-SERVICE-AI,2026-02,true,continue_with_warning
INIT-CUSTOMER-SERVICE-AI,2026-03,true,continue_with_warning
INIT-PIM,2026-01,true,continue
INIT-PIM,2026-02,true,continue
INIT-PIM,2026-03,true,continue
INIT-MMM,2026-01,true,continue
INIT-MMM,2026-02,true,continue
INIT-MMM,2026-03,true,continue
INIT-PERSONALIZATION,2026-01,true,continue
INIT-PERSONALIZATION,2026-02,true,continue
INIT-PERSONALIZATION,2026-03,true,continue
INIT-SEARCH,2026-01,true,continue
INIT-SEARCH,2026-02,true,continue
INIT-SEARCH,2026-03,true,continue
INIT-TAX-COMPLIANCE,2026-01,true,continue
INIT-TAX-COMPLIANCE,2026-02,true,continue
INIT-TAX-COMPLIANCE,2026-03,true,continue
INIT-RETURNS-FRAUD,2026-01,true,continue
INIT-RETURNS-FRAUD,2026-02,true,continue
INIT-RETURNS-FRAUD,2026-03,true,continue
INIT-UKG-WFM,2026-01,true,continue
INIT-UKG-WFM,2026-02,true,continue
INIT-UKG-WFM,2026-03,true,continue
INIT-SUSTAINABILITY,2026-01,true,continue
INIT-SUSTAINABILITY,2026-02,true,continue
INIT-SUSTAINABILITY,2026-03,true,continue
