Benefit_ID,Initiative_ID,Linked_Metric_ID,Benefit_Type,Baseline,Target,Forecast,Realized_to_Date,Unit,Measurement_Method,Benefit_Owner,Realization_Status
FIRSTCAPITAL-BEN-0001,FIRSTCAPITAL-INIT-0001,FIRSTCAPITAL-MET-0001,run_cost,100,120,112,30,usd_m,finance attestation plus source-system telemetry,Transformation Finance,blocked
FIRSTCAPITAL-BEN-0002,FIRSTCAPITAL-INIT-0002,FIRSTCAPITAL-MET-0002,productivity,101,121,113,31,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
FIRSTCAPITAL-BEN-0003,FIRSTCAPITAL-INIT-0003,FIRSTCAPITAL-MET-0003,productivity,102,122,114,32,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
FIRSTCAPITAL-BEN-0004,FIRSTCAPITAL-INIT-0004,FIRSTCAPITAL-MET-0004,run_cost,103,123,115,33,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
FIRSTCAPITAL-BEN-0005,FIRSTCAPITAL-INIT-0005,FIRSTCAPITAL-MET-0005,productivity,104,124,116,34,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
FIRSTCAPITAL-BEN-0006,FIRSTCAPITAL-INIT-0006,FIRSTCAPITAL-MET-0006,productivity,105,125,117,35,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
FIRSTCAPITAL-BEN-0007,FIRSTCAPITAL-INIT-0007,FIRSTCAPITAL-MET-0007,run_cost,106,126,118,36,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
FIRSTCAPITAL-BEN-0008,FIRSTCAPITAL-INIT-0008,FIRSTCAPITAL-MET-0008,productivity,107,127,119,37,percent,finance attestation plus source-system telemetry,Transformation Finance,blocked
FIRSTCAPITAL-BEN-0009,FIRSTCAPITAL-INIT-0009,FIRSTCAPITAL-MET-0009,productivity,108,128,120,38,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
FIRSTCAPITAL-BEN-0010,FIRSTCAPITAL-INIT-0010,FIRSTCAPITAL-MET-0010,run_cost,109,129,121,39,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
FIRSTCAPITAL-BEN-0011,FIRSTCAPITAL-INIT-0011,FIRSTCAPITAL-MET-0011,productivity,110,130,122,40,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
FIRSTCAPITAL-BEN-0012,FIRSTCAPITAL-INIT-0012,FIRSTCAPITAL-MET-0012,productivity,111,131,123,41,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
FIRSTCAPITAL-BEN-0013,FIRSTCAPITAL-INIT-0013,FIRSTCAPITAL-MET-0013,run_cost,112,132,124,42,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
FIRSTCAPITAL-BEN-0014,FIRSTCAPITAL-INIT-0014,FIRSTCAPITAL-MET-0014,productivity,113,133,125,43,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
FIRSTCAPITAL-BEN-0015,FIRSTCAPITAL-INIT-0015,FIRSTCAPITAL-MET-0015,productivity,114,134,126,44,percent,finance attestation plus source-system telemetry,Transformation Finance,blocked
