app_id,run_cost_fy25_usd,allocated_vendor,basis
FCF-APP-FIS-HORIZON,18500000,FIS,annual run cost allocated from technology finance workbook
FCF-APP-HOGAN-LOANS,12400000,DXC/FIS,annual run cost allocated from technology finance workbook
FCF-APP-FEDWIRE-ACH,9200000,ACI Worldwide,annual run cost allocated from technology finance workbook
FCF-APP-FEDNOW-RTP,6400000,The Clearing House,annual run cost allocated from technology finance workbook
FCF-APP-SALESFORCE-FSC,7200000,Salesforce,annual run cost allocated from technology finance workbook
FCF-APP-NCINO,8700000,nCino,annual run cost allocated from technology finance workbook
FCF-APP-NICE-ACTIMIZE,11200000,NICE,annual run cost allocated from technology finance workbook
FCF-APP-FENERGO-KYC,6600000,Fenergo,annual run cost allocated from technology finance workbook
FCF-APP-MUREX-TREASURY,8100000,Murex,annual run cost allocated from technology finance workbook
FCF-APP-SAP-ECC,10300000,SAP,annual run cost allocated from technology finance workbook
FCF-APP-ORACLE-EBS-REMNANTS,1800000,Oracle,annual run cost allocated from technology finance workbook
FCF-APP-WORKDAY-HCM,5100000,Workday,annual run cost allocated from technology finance workbook
FCF-APP-SNOWFLAKE,7400000,Snowflake,annual run cost allocated from technology finance workbook
FCF-APP-DATABRICKS,5900000,Databricks,annual run cost allocated from technology finance workbook
FCF-APP-MOBILE-BANKING,9300000,Internal,annual run cost allocated from technology finance workbook
FCF-APP-ONLINE-ACCOUNT-OPENING,4300000,Blend/Internal,annual run cost allocated from technology finance workbook
FCF-APP-PEGA-CASE,4700000,Pega,annual run cost allocated from technology finance workbook
FCF-APP-SERVICENOW,6800000,ServiceNow,annual run cost allocated from technology finance workbook
FCF-APP-SPLUNK,6100000,Splunk,annual run cost allocated from technology finance workbook
FCF-APP-CROWDSTRIKE,3900000,CrowdStrike,annual run cost allocated from technology finance workbook
FCF-APP-ERP-FINANCE-021,3227000,SAP,annual run cost allocated from technology finance workbook
FCF-APP-BRANCH-ATM-022,3364000,NCR,annual run cost allocated from technology finance workbook
FCF-APP-CONTACT-CENTER-023,3501000,Genesys,annual run cost allocated from technology finance workbook
FCF-APP-MODEL-RISK-024,3638000,SAS,annual run cost allocated from technology finance workbook
FCF-APP-CORE-BANKING-025,3775000,FIS,annual run cost allocated from technology finance workbook
FCF-APP-PAYMENTS-026,3912000,ACI Worldwide,annual run cost allocated from technology finance workbook
FCF-APP-DIGITAL-BANKING-027,4049000,Internal,annual run cost allocated from technology finance workbook
FCF-APP-COMMERCIAL-LENDING-028,4186000,nCino,annual run cost allocated from technology finance workbook
FCF-APP-WEALTH-029,4323000,Broadridge,annual run cost allocated from technology finance workbook
FCF-APP-FINANCIAL-CRIMES-030,4460000,NICE,annual run cost allocated from technology finance workbook
FCF-APP-DATA-PLATFORM-031,4597000,Snowflake,annual run cost allocated from technology finance workbook
FCF-APP-CYBERSECURITY-032,4734000,Palo Alto Networks,annual run cost allocated from technology finance workbook
FCF-APP-ERP-FINANCE-033,4871000,SAP,annual run cost allocated from technology finance workbook
FCF-APP-BRANCH-ATM-034,5008000,NCR,annual run cost allocated from technology finance workbook
FCF-APP-CONTACT-CENTER-035,5145000,Genesys,annual run cost allocated from technology finance workbook
FCF-APP-MODEL-RISK-036,5282000,SAS,annual run cost allocated from technology finance workbook
FCF-APP-CORE-BANKING-037,5419000,FIS,annual run cost allocated from technology finance workbook
FCF-APP-PAYMENTS-038,5556000,ACI Worldwide,annual run cost allocated from technology finance workbook
FCF-APP-DIGITAL-BANKING-039,5693000,Internal,annual run cost allocated from technology finance workbook
FCF-APP-COMMERCIAL-LENDING-040,5830000,nCino,annual run cost allocated from technology finance workbook
FCF-APP-WEALTH-041,5967000,Broadridge,annual run cost allocated from technology finance workbook
FCF-APP-FINANCIAL-CRIMES-042,6104000,NICE,annual run cost allocated from technology finance workbook
FCF-APP-DATA-PLATFORM-043,6241000,Snowflake,annual run cost allocated from technology finance workbook
FCF-APP-CYBERSECURITY-044,6378000,Palo Alto Networks,annual run cost allocated from technology finance workbook
FCF-APP-ERP-FINANCE-045,6515000,SAP,annual run cost allocated from technology finance workbook
FCF-APP-BRANCH-ATM-046,6652000,NCR,annual run cost allocated from technology finance workbook
FCF-APP-CONTACT-CENTER-047,389000,Genesys,annual run cost allocated from technology finance workbook
FCF-APP-MODEL-RISK-048,526000,SAS,annual run cost allocated from technology finance workbook
FCF-APP-CORE-BANKING-049,663000,FIS,annual run cost allocated from technology finance workbook
FCF-APP-PAYMENTS-050,800000,ACI Worldwide,annual run cost allocated from technology finance workbook
FCF-APP-DIGITAL-BANKING-051,937000,Internal,annual run cost allocated from technology finance workbook
FCF-APP-COMMERCIAL-LENDING-052,1074000,nCino,annual run cost allocated from technology finance workbook
FCF-APP-WEALTH-053,1211000,Broadridge,annual run cost allocated from technology finance workbook
FCF-APP-FINANCIAL-CRIMES-054,1348000,NICE,annual run cost allocated from technology finance workbook
FCF-APP-DATA-PLATFORM-055,1485000,Snowflake,annual run cost allocated from technology finance workbook
FCF-APP-CYBERSECURITY-056,1622000,Palo Alto Networks,annual run cost allocated from technology finance workbook
FCF-APP-ERP-FINANCE-057,1759000,SAP,annual run cost allocated from technology finance workbook
FCF-APP-BRANCH-ATM-058,1896000,NCR,annual run cost allocated from technology finance workbook
FCF-APP-CONTACT-CENTER-059,2033000,Genesys,annual run cost allocated from technology finance workbook
FCF-APP-MODEL-RISK-060,2170000,SAS,annual run cost allocated from technology finance workbook
FCF-APP-CORE-BANKING-061,2307000,FIS,annual run cost allocated from technology finance workbook
FCF-APP-PAYMENTS-062,2444000,ACI Worldwide,annual run cost allocated from technology finance workbook
FCF-APP-DIGITAL-BANKING-063,2581000,Internal,annual run cost allocated from technology finance workbook
FCF-APP-COMMERCIAL-LENDING-064,2718000,nCino,annual run cost allocated from technology finance workbook
FCF-APP-WEALTH-065,2855000,Broadridge,annual run cost allocated from technology finance workbook
FCF-APP-FINANCIAL-CRIMES-066,2992000,NICE,annual run cost allocated from technology finance workbook
FCF-APP-DATA-PLATFORM-067,3129000,Snowflake,annual run cost allocated from technology finance workbook
FCF-APP-CYBERSECURITY-068,3266000,Palo Alto Networks,annual run cost allocated from technology finance workbook
FCF-APP-ERP-FINANCE-069,3403000,SAP,annual run cost allocated from technology finance workbook
FCF-APP-BRANCH-ATM-070,3540000,NCR,annual run cost allocated from technology finance workbook
FCF-APP-CONTACT-CENTER-071,3677000,Genesys,annual run cost allocated from technology finance workbook
FCF-APP-MODEL-RISK-072,3814000,SAS,annual run cost allocated from technology finance workbook
FCF-APP-CORE-BANKING-073,3951000,FIS,annual run cost allocated from technology finance workbook
FCF-APP-PAYMENTS-074,4088000,ACI Worldwide,annual run cost allocated from technology finance workbook
FCF-APP-DIGITAL-BANKING-075,4225000,Internal,annual run cost allocated from technology finance workbook
FCF-APP-COMMERCIAL-LENDING-076,4362000,nCino,annual run cost allocated from technology finance workbook
FCF-APP-WEALTH-077,4499000,Broadridge,annual run cost allocated from technology finance workbook
FCF-APP-FINANCIAL-CRIMES-078,4636000,NICE,annual run cost allocated from technology finance workbook
FCF-APP-DATA-PLATFORM-079,4773000,Snowflake,annual run cost allocated from technology finance workbook
