# SYNTHETIC — LAKESHORE PILOT — NOT REAL DATA — ABARVA AI | context_domain=manifest | owner=AbarVa Delivery | system=AbarVa Generator | as_of=2026-06-06 | sensitivity=Internal
evidence_id,context_domain,source_path,title,source_owner,source_system,source_date,sensitivity,provenance,sha256_prefix
EVID-0001,manifest,source/00_manifest/pack_overview.md,Pack Overview,AbarVa Delivery,AbarVa Generator,2026-06-06,Internal,synthetic,fc3149114112e314
EVID-0002,manifest,source/00_manifest/load_control_plan.md,Load Control Plan,AbarVa Delivery,AbarVa Generator,2026-06-06,Internal,synthetic,ebcfe643de2f8798
EVID-0003,manifest,source/00_manifest/glossary_and_taxonomy.md,Glossary & Taxonomy,Aisha Bello,AbarVa Generator,2026-06-06,Internal,synthetic,ce79a356e4bcab56
EVID-0004,manifest,source/00_manifest/context_domain_index.csv,Context Domain Index,AbarVa Delivery,AbarVa Generator,2026-06-06,Internal,synthetic,d0b0f7d22c2d0ef2
EVID-0005,enterprise_profile,source/01_enterprise_profile/corporate_overview.pdf,Corporate Overview,Marcus Reilly,Corporate Strategy,2026-06-06,Confidential,synthetic,88862d1c66b97669
EVID-0006,enterprise_profile,source/01_enterprise_profile/business_units.xlsx,Business Units,Marcus Reilly,Corporate Strategy,2026-06-06,Internal,synthetic,32813d417bb3b58d
EVID-0007,enterprise_profile,source/01_enterprise_profile/geographic_footprint.xlsx,Geographic Footprint,Marcus Reilly,Corporate Strategy,2026-06-06,Internal,synthetic,9a257c8c2c87af8b
EVID-0008,enterprise_profile,source/01_enterprise_profile/revenue_cost_baseline.xlsx,Revenue & Cost Baseline,Raymond Okafor,Oracle Hyperion,2026-06-06,Confidential,synthetic,33b877fdc1c000b1
EVID-0009,enterprise_profile,source/01_enterprise_profile/leadership_priorities.pdf,Leadership Priorities,Maria Donnelly,Corporate Strategy,2026-06-06,Confidential,synthetic,4ad5fe64a9a28946
EVID-0010,enterprise_profile,source/01_enterprise_profile/operating_model.docx,Operating Model,Marcus Reilly,Corporate Strategy,2026-06-06,Internal,synthetic,8005424dd06e561c
EVID-0011,enterprise_profile,source/01_enterprise_profile/transformation_themes.md,Transformation Themes,Marcus Reilly,Corporate Strategy,2026-06-06,Internal,synthetic,564ba5d076c687f9
EVID-0012,enterprise_profile,source/01_enterprise_profile/enterprise_fact_sheet.csv,Enterprise Fact Sheet,Marcus Reilly,Corporate Strategy,2026-06-06,Internal,synthetic,de40c2b44d4bee1c
EVID-0013,enterprise_profile,source/01_enterprise_profile/segment_pnl_summary.xlsx,Segment P&L Summary,Sofia Marchetti,Oracle Hyperion,2026-06-06,Confidential,synthetic,aab246066db1ecf1
