field_name,business_description,required_optional,expected_format,allowed_values,example_value,evidence_required,validation_rule,modules_consuming
program_code,Stable program identifier used to reconcile finance budget rows to programs and use cases,required,string,tenant-defined code,PROG-DATA-FOUNDATION,yes,Approved programs must appear in 09 and SA04 and tie to 08 or SA02,Tower|Moves|Intelligence|Home
initiative_id,Stable initiative identifier,required,string,tenant-defined code,INIT-DATA-FOUNDATION,yes,Must map to the related program_code when applicable,Tower|Moves|Intelligence
linked_budget_record_ids,Semicolon-delimited list of 08 budget row IDs that fund the program or use case,required for approved/active programs,semicolon-delimited IDs,record IDs from 08,CHG-DATA-01;CHG-DATA-02,yes,Required when funding_status is approved or active,Tower|Moves|Source
linked_sa02_records,Semicolon-delimited list of source finance extract rows supporting the funding,required for approved/active programs,semicolon-delimited IDs,source_record_id from SA02,SA02-CHG-DATA-01,yes,Required when funding_status is approved or active,Tower|Moves|Source
funding_status,Funding boundary for the row,required,enum,approved|active|requested|candidate|discovery|not_approved,approved,yes,not_approved rows must not carry approved_funding_usd,Tower|Moves|Intelligence
run_change_flag,Classifies spend as run or change,required for budget rows,enum,run|change,change,yes,Run plus change must reconcile to the tenant technology budget,Tower|Home
additive_status,Controls whether a row participates in rollups,required,enum,additive_budget_fact|excluded_from_budget_rollup|non_additive_lens,additive_budget_fact,yes,Only additive_budget_fact rows count in total budget,Tower|Home
duplicate_risk,Explains whether a row could double-count with platform/program/use-case spend,required,enum,none|platform_overlap|program_overlap|use_case_overlap|unknown,platform_overlap,yes,AI spend aggregates must not double-count overlapping rows,Tower|Intelligence
ai_spend_flag,Marks whether the row is AI-related,required,boolean,true|false,true,yes,true rows must also set ai_spend_type and ai_spend_category,Tower|Intelligence|Moves
ai_spend_type,AI spend boundary,required when ai_spend_flag=true,enum,none|embedded_platform_ai|approved_ai_program|ai_enablement_foundation|ai_governance_controls|candidate_ai_opportunity|ai_run_operations,embedded_platform_ai,yes,candidate_ai_opportunity must not carry approved funding unless explicitly sourced,Tower|Intelligence|Moves
ai_spend_category,AI spend category lens,required when ai_spend_flag=true,enum,not_ai|copilot_productivity|servicenow_ai|erp_ai|crm_contact_center_ai|cloud_ai_services|data_ai_platform|clinical_ai|claims_ai|cyber_ai|ai_governance|ai_training_change|workday_ai|developer_productivity_ai,copilot_productivity,yes,Must be not_ai when ai_spend_flag=false,Tower|Intelligence
platform_embedded_ai_flag,Indicates AI capability embedded in a platform or SaaS spend line,required,boolean,true|false,true,yes,Embedded AI must not be counted as standalone AI Assist funding,Tower|Intelligence
ai_tagged_budget_usd,Non-additive AI amount inside a broader budget row,optional,number,USD integer,4200000,yes,Sum as AI lens only; do not add to total budget,Tower|Intelligence
approved_funding_usd,Approved program funding amount,required for approved/active programs,number,USD integer,10500000,yes,Must be zero when funding_status is not_approved,Tower|Moves
promised_value_usd,Value promised by a business case or vendor,optional,number,USD integer,14000000,yes,Must not be presented as realized value,Tower|Intelligence
finance_validated_value_usd,Value validated by finance with actuals,optional,number,USD integer,2100000,yes,Required before realized/proven value language,Tower|Intelligence
tower_claim_allowed,Whether Tower may show a value claim,required for benefits ledger,enum,no|partial|yes,no,yes,yes requires finance_validated_value_usd and source evidence,Tower
evidence_id,Source-backed evidence reference,required,string,must exist in 13_evidence_sources.csv,MER-V3-EVID-BUD-CHG-DATA-01,yes,Every populated evidence_id must resolve,All modules

