field_name,business_description,required_optional,expected_format,allowed_values,example_value,evidence_required,validation_rule,modules_consuming
source_record_id,Stable row identifier for the source adapter row.,required,string,tenant-defined ID,SA09-USAGE-001,yes,Must be unique inside the adapter file.,Home|Intelligence|Moves|Tower
ai_program_id,Program code or candidate code that ties usage/value evidence to the funded or candidate AI program.,required,string,program_code or candidate code,PROG-COPILOT-ADOPT,yes,Approved/funded rows must reconcile to 09 or SA04; candidates must be marked not approved.,Intelligence|Moves|Tower
ai_use_case_id,Stable AI use case identifier used to join to dimension 10.,required,string,tenant-defined ID,UC-COPILOT-PRODUCTIVITY,yes,Must be present for rows consumed by Intelligence or Moves.,Intelligence|Moves|Tower
tool_name,"Name of the AI tool, product capability, agent, or platform capability being measured.",required,string,vendor/tool name,Microsoft 365 Copilot,yes,Cannot be blank when usage metrics are populated.,Home|Intelligence|Tower
usage_period_start,Start date for the usage measurement window.,required,date,yyyy-mm-dd,2026-04-01,yes,Must be on or before usage_period_end.,Tower|Intelligence
usage_period_end,End date for the usage measurement window.,required,date,yyyy-mm-dd,2026-06-30,yes,Must be on or after usage_period_start.,Tower|Intelligence
licensed_users,Users or seats licensed for the AI tool during the period.,optional,number,integer,8000,yes,Must be >= enabled_users when both are provided.,Tower
enabled_users,Users enabled or provisioned for the AI tool.,optional,number,integer,6400,yes,Must be >= active_users when both are provided.,Tower
active_users,Users who actually used the AI capability in the period.,required for usage claims,number,integer,3200,yes,Usage-measured rows require active_users or usage_events.,Tower|Intelligence
usage_rate_pct,"Active users divided by enabled users, or a source-system equivalent adoption metric.",required for usage claims,percent,0-100,50.0,yes,Must be between 0 and 100.,Tower|Intelligence
usage_events,"Prompts, actions, agent conversations, accepted suggestions, transactions touched, or source-specific usage event count.",optional,number,integer,125000,yes,Must be non-negative.,Tower|Intelligence
baseline_metric,Business or delivery metric before the AI capability was deployed.,required,string,metric name,Average handle time,yes,Every value claim needs a baseline metric.,Tower|Moves
target_metric,Target metric value or target metric name from the business case.,required,string/number,metric target,Reduce AHT by 8%,yes,Every promised value needs a target.,Tower|Moves
actual_metric,Measured current-state metric value from telemetry or operations reports.,required for value claims,string/number,metric actual,AHT down 3%,yes,Finance-validated or realized claims require actual_metric.,Tower|Intelligence
promised_value_usd,Business-case or vendor-promised value; not realized value.,optional,number,USD integer,14000000,yes,Must not be displayed as realized value.,Tower|Intelligence
finance_validated_value_usd,Finance-attested partial or full value validated against actuals.,optional,number,USD integer,2100000,yes,Required before any realized-value claim.,Tower
value_claim_status,Claim gate status for the row.,required,enum,not_started|baseline_only|usage_measured|kpi_movement_seen|finance_validated_partial|realized_value_allowed|not_claimable|blocked_missing_baseline|blocked_missing_usage|blocked_missing_kpi_actual|blocked_missing_finance_validation|blocked_missing_owner,usage_measured,yes,"realized_value_allowed requires usage, KPI actual, finance value, and evidence.",Tower|Intelligence|Moves
decision_action,Recommended action for the program or use case based on usage and value proof.,required,enum,scale|fix|freeze|stop|continue_monitoring|needs_evidence|needs_finance_validation,fix,yes,Candidates with no funding should be freeze or needs_evidence.,Moves|Tower|Intelligence
evidence_source_system,System of record or export source for the telemetry.,required,string,source system,Microsoft 365 Admin Center,yes,Must identify where the usage/value evidence comes from.,Home|Tower
owner_attestation_status,Whether a named business/IT/finance owner has attested the metric.,required,enum,not_requested|requested|business_attested|it_attested|finance_attested|rejected,requested,yes,Finance-attested value requires finance_attested.,Tower|Moves
