table,exists_in_supabase,exists_in_azure,supabase_rows,azure_rows,azure_relation,primary_key_overlap_count,checksum_status,sample_missing_ids,classification,evidence,notes
enterprise_context_source_files,yes,yes,57,57,equal,,PENDING,,PARITY,"2026-06-06 operator count evidence; fresh 2026-06-07 source DB access blocked",Counts match historically; row checksum and PK overlap were not reproduced in this run.
enterprise_context_records,yes,yes,3503,3503,equal,,PENDING,,PARITY,"2026-06-06/2026-06-07 operator count evidence; fresh 2026-06-07 source DB access blocked",Counts match historically; row checksum and PK overlap were not reproduced in this run.
enterprise_context_chunks,yes,yes,15847,21967,azure_ahead,,PENDING,,AZURE_AHEAD,"2026-06-06/2026-06-07 operator count evidence; Azure Search count proof","Azure has 6120 additional chunks; no missing Supabase-only IDs proven, but fresh checksum/overlap proof is blocked."
enterprise_context_facts,yes,yes,38640,38640,equal,,PENDING,,PARITY,"2026-06-06/2026-06-07 operator count evidence; fresh 2026-06-07 source DB access blocked",Counts match historically; row checksum and PK overlap were not reproduced in this run.
enterprise_context_evidence,yes,yes,3503,3503,equal,,PENDING,,PARITY,"2026-06-06 operator count evidence; fresh 2026-06-07 source DB access blocked",Counts match historically; row checksum and PK overlap were not reproduced in this run.
enterprise_context_template_runs,yes,yes,2,2,equal,,PENDING,,PARITY,"2026-06-06 operator count evidence; fresh 2026-06-07 source DB access blocked",Counts match historically; row checksum and PK overlap were not reproduced in this run.
enterprise_context_chunk_queue,yes,yes,3503,3503,equal,,PENDING,,PARITY,"2026-06-06 operator count evidence; fresh 2026-06-07 source DB access blocked",Counts match historically; row checksum and PK overlap were not reproduced in this run.
enterprise_context_relationships,yes,yes,820,820,equal,,PENDING,,PARITY,"2026-06-06 operator count evidence; fresh 2026-06-07 source DB access blocked",Counts match historically; row checksum and PK overlap were not reproduced in this run.
enterprise_context_sources,yes,yes,13,13,equal,,PENDING,,PARITY,"2026-06-06 operator count evidence; fresh 2026-06-07 source DB access blocked",Counts match historically; row checksum and PK overlap were not reproduced in this run.
enterprise_context_quality_issues,yes,yes,0,0,equal,,PASS,,PARITY,"2026-06-06 operator count evidence",Zero-row parity historically.
enterprise_context_stewardship_tasks,yes,yes,0,0,equal,,PASS,,PARITY,"2026-06-06 operator count evidence",Zero-row parity historically.
enterprise_context_snapshots,yes,yes,0,0,equal,,PASS,,PARITY,"2026-06-06 operator count evidence",Zero-row parity historically.
applications,unknown,unknown,,,,,BLOCKED,,BLOCKER,"Not included in current or historical Supabase-Azure reconciliation scope",Required by readiness mission; must run source-vs-Azure count/PK/checksum comparison or document supersession.
