period,tool_name,vendor,business_function,licensed_users,active_users,active_rate_pct,monthly_prompts_or_actions,prompts_or_actions,estimated_hours_saved,quality_or_control_flag,source_file,source_row,cost_usd,policy_status,notes,value_source
2026-03,M365 Copilot,Microsoft,GEN-BF-006,200,110,55,4210,9000,180,needs_evidence_review,ai-control-tower/T03_tool-usage-monthly.csv,2,6177,approved,,tenant_file
2026-04,M365 Copilot,Microsoft,GEN-BF-007,200,143,72,2562,10800,250,needs_evidence_review,ai-control-tower/T03_tool-usage-monthly.csv,3,6109,approved,,tenant_file
2026-05,M365 Copilot,Microsoft,GEN-BF-006,200,176,88,5383,12600,320,needs_evidence_review,ai-control-tower/T03_tool-usage-monthly.csv,4,5663,approved,,tenant_file
2026-06,M365 Copilot,Microsoft,GEN-BF-006,200,209,105,7195,14400,390,needs_evidence_review,ai-control-tower/T03_tool-usage-monthly.csv,5,6280,approved,,tenant_file
2026-03,Claude Code,Anthropic,GEN-BF-008,380,205,54,6037,11600,225,normal,ai-control-tower/T03_tool-usage-monthly.csv,6,58683,approved,,tenant_file
2026-04,Claude Code,Anthropic,GEN-BF-005,380,238,63,7923,13400,295,normal,ai-control-tower/T03_tool-usage-monthly.csv,7,58033,approved,,tenant_file
2026-05,Claude Code,Anthropic,GEN-BF-003,380,271,71,5898,15200,365,normal,ai-control-tower/T03_tool-usage-monthly.csv,8,53799,approved,,tenant_file
2026-06,Claude Code,Anthropic,GEN-BF-003,380,304,80,7784,17000,435,normal,ai-control-tower/T03_tool-usage-monthly.csv,9,59661,approved,,tenant_file
2026-03,Codex,OpenAI,GEN-BF-007,560,300,54,9516,14200,270,normal,ai-control-tower/T03_tool-usage-monthly.csv,10,35511,under_review,,tenant_file
2026-04,Codex,OpenAI,GEN-BF-008,560,333,59,11842,16000,340,normal,ai-control-tower/T03_tool-usage-monthly.csv,11,34935,approved,,tenant_file
2026-05,Codex,OpenAI,GEN-BF-006,560,366,65,6830,17800,410,normal,ai-control-tower/T03_tool-usage-monthly.csv,12,32439,approved,,tenant_file
2026-06,Codex,OpenAI,GEN-BF-003,560,399,71,5912,19600,480,normal,ai-control-tower/T03_tool-usage-monthly.csv,13,31862,under_review,,tenant_file
2026-03,Cursor,Cursor,GEN-BF-007,740,395,53,10782,16800,315,normal,ai-control-tower/T03_tool-usage-monthly.csv,14,28545,approved,,tenant_file
2026-04,Cursor,Cursor,GEN-BF-008,740,428,58,10038,18600,385,normal,ai-control-tower/T03_tool-usage-monthly.csv,15,28882,approved,,tenant_file
2026-05,Cursor,Cursor,GEN-BF-003,740,461,62,16126,20400,455,normal,ai-control-tower/T03_tool-usage-monthly.csv,16,31081,approved,,tenant_file
2026-06,Cursor,Cursor,GEN-BF-003,740,494,67,15383,22200,525,normal,ai-control-tower/T03_tool-usage-monthly.csv,17,28037,approved,,tenant_file
2026-03,ServiceNow Now Assist,ServiceNow,GEN-BF-002,920,490,53,8587,19400,360,needs_evidence_review,ai-control-tower/T03_tool-usage-monthly.csv,18,32660,under_review,,tenant_file
2026-04,ServiceNow Now Assist,ServiceNow,GEN-BF-008,920,523,57,7156,21200,430,needs_evidence_review,ai-control-tower/T03_tool-usage-monthly.csv,19,33027,approved,,tenant_file
2026-05,ServiceNow Now Assist,ServiceNow,GEN-BF-007,920,556,60,14545,23000,500,needs_evidence_review,ai-control-tower/T03_tool-usage-monthly.csv,20,31555,approved,,tenant_file
2026-06,ServiceNow Now Assist,ServiceNow,GEN-BF-007,920,589,64,12585,24800,570,needs_evidence_review,ai-control-tower/T03_tool-usage-monthly.csv,21,32107,approved,,tenant_file
2026-03,Databricks Assistant,Databricks,GEN-BF-005,1100,585,53,13640,22000,405,normal,ai-control-tower/T03_tool-usage-monthly.csv,22,61625,under_review,,tenant_file
2026-04,Databricks Assistant,Databricks,GEN-BF-008,1100,618,56,16784,23800,475,normal,ai-control-tower/T03_tool-usage-monthly.csv,23,62663,approved,,tenant_file
2026-05,Databricks Assistant,Databricks,GEN-BF-005,1100,651,59,20182,25600,545,normal,ai-control-tower/T03_tool-usage-monthly.csv,24,59897,approved,,tenant_file
