initiative_id,milestone_id,milestone_name,milestone_type,target_date,actual_date,due_date,status,gate_criteria,approver_role,blocker,evidence_id,blocker_or_condition,source_file,source_row,value_source
APX-INIT-001,APX-INIT-001-MS-1,charter,,2026-06-29,2026-07-01,2026-07-18,complete,,Director of Service Management,,,,ai-control-tower/T02_project-milestones.csv,2,tenant_file
APX-INIT-001,APX-INIT-001-MS-2,data_ready,,2026-08-19,2026-09-07,2026-08-14,complete,,Head of Platform,,,,ai-control-tower/T02_project-milestones.csv,3,tenant_file
APX-INIT-001,APX-INIT-001-MS-3,control_ready,,2026-09-06,2026-10-19,2026-10-01,at_risk,,Head of AI Governance,,,identity and item-location data quality,ai-control-tower/T02_project-milestones.csv,4,tenant_file
APX-INIT-001,APX-INIT-001-MS-4,pilot_exit,,2026-11-05,2026-10-30,2026-10-28,not_started,,Director of Finance Systems,,,,ai-control-tower/T02_project-milestones.csv,5,tenant_file
APX-INIT-001,APX-INIT-001-MS-5,scale_decision,,2026-11-14,2026-10-21,2026-11-20,not_started,,Director of Data,,,,ai-control-tower/T02_project-milestones.csv,6,tenant_file
APX-INIT-002,APX-INIT-002-MS-1,charter,,2026-09-21,2026-09-09,2026-09-02,complete,,VP Customer Experience,,,,ai-control-tower/T02_project-milestones.csv,7,tenant_file
APX-INIT-002,APX-INIT-002-MS-2,data_ready,,2026-09-16,2026-10-13,2026-09-29,complete,,VP Operations,,,,ai-control-tower/T02_project-milestones.csv,8,tenant_file
APX-INIT-002,APX-INIT-002-MS-3,control_ready,,2026-10-03,2026-11-15,2026-10-26,at_risk,,VP Customer Experience,,,forecast explainability by category,ai-control-tower/T02_project-milestones.csv,9,tenant_file
APX-INIT-002,APX-INIT-002-MS-4,pilot_exit,,2026-11-01,2026-11-02,2026-11-26,not_started,,VP Customer Experience,,,,ai-control-tower/T02_project-milestones.csv,10,tenant_file
APX-INIT-002,APX-INIT-002-MS-5,scale_decision,,2026-07-26,2026-07-21,2026-07-23,not_started,,VP Customer Experience,,,,ai-control-tower/T02_project-milestones.csv,11,tenant_file
APX-INIT-003,APX-INIT-003-MS-1,charter,,2026-09-05,2026-10-05,2026-09-26,complete,,Head of AI Governance,,,,ai-control-tower/T02_project-milestones.csv,12,tenant_file
APX-INIT-003,APX-INIT-003-MS-2,data_ready,,2026-10-17,2026-10-09,2026-10-31,complete,,VP Operations,,,,ai-control-tower/T02_project-milestones.csv,13,tenant_file
APX-INIT-003,APX-INIT-003-MS-3,control_ready,,2026-11-01,2026-12-07,2026-11-16,at_risk,,VP Operations,,,labor-rule integration and manager adoption,ai-control-tower/T02_project-milestones.csv,14,tenant_file
APX-INIT-003,APX-INIT-003-MS-4,pilot_exit,,2026-06-28,2026-08-03,2026-07-22,not_started,,Director of Service Management,,,,ai-control-tower/T02_project-milestones.csv,15,tenant_file
APX-INIT-003,APX-INIT-003-MS-5,scale_decision,,2026-08-25,2026-08-02,2026-08-27,not_started,,Director of Data,,,,ai-control-tower/T02_project-milestones.csv,16,tenant_file
APX-INIT-004,APX-INIT-004-MS-1,charter,,2026-11-22,2026-11-21,2026-10-29,complete,,VP Operations,,,,ai-control-tower/T02_project-milestones.csv,17,tenant_file
APX-INIT-004,APX-INIT-004-MS-2,data_ready,,2026-12-04,2026-12-03,2026-12-05,complete,,Head of AI Governance,,,,ai-control-tower/T02_project-milestones.csv,18,tenant_file
