tenant_key,ai_asset_id,ai_asset_name,asset_type,business_area,business_function,owner_role,tool_or_model,parent_system_id,stage,status,monthly_users_or_cases,monthly_users,risk_tier,regulated_workflow,approved_data_scope,approval_status,model_risk_status,measured_value_usd,evidence_id,evidence_status,next_gate,amount_type,view,is_rollup_of,basis,period,formula,formula_version,source_file,source_row,value_source,notes
first-capital-financial,FC-AI-ASSET-001,Real-time scam & APP fraud detection,,Financial Crimes,,,SAS,,ideate,,20937,,tier_1_high,,,,,0,,review_required,sunset_decision,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,2,tenant_file,
first-capital-financial,FC-AI-ASSET-002,AML alert triage & false-positive reduction,,Financial Crimes,,,AWS Bedrock / Claude,,ideate,,17892,,tier_1_high,,,,,0,,source_backed,model_risk_validation,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,3,tenant_file,
first-capital-financial,FC-AI-ASSET-003,SAR narrative drafting copilot,,Financial Crimes,,,SAS,,ideate,,25593,,tier_1_high,,,,,0,,source_backed,scale_readiness,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,4,tenant_file,
first-capital-financial,FC-AI-ASSET-004,Contact center next-best-action assist,,Customer Care,,,NICE Actimize ML,,ideate,,4529,,tier_2,,,,,0,,review_required,model_risk_validation,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,5,tenant_file,
first-capital-financial,FC-AI-ASSET-005,Commercial credit spreading automation,,Commercial Banking,,,AWS Bedrock / Claude,,ideate,,31037,,tier_3,,,,,0,,source_backed,scale_readiness,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,6,tenant_file,
first-capital-financial,FC-AI-ASSET-006,Customer 360 lakehouse foundation,,"Data, Analytics & AI",,,Databricks ML,,ideate,,9332,,tier_2,,,,,0,,source_backed,model_risk_validation,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,7,tenant_file,
first-capital-financial,FC-AI-ASSET-007,Certified semantic layer for KPIs,,"Data, Analytics & AI",,,Azure OpenAI,,design,,13401,,tier_2,,,,,96687,,review_required,model_risk_validation,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,8,tenant_file,
first-capital-financial,FC-AI-ASSET-008,Engineering code-assist productivity,,Technology,,,in-house model,,design,,19557,,tier_2,,,,,1208161,,review_required,model_risk_validation,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,9,tenant_file,
first-capital-financial,FC-AI-ASSET-009,Regulatory close & reconciliation automation,,Finance,,,GitHub Copilot,,design,,5602,,tier_3,,,,,416844,,source_backed,model_risk_validation,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,10,tenant_file,
first-capital-financial,FC-AI-ASSET-010,Cards dispute & chargeback automation,,Cards & Payments,,,SAS,,design,,10523,,tier_1_high,,,,,166217,,review_required,sunset_decision,none,value,,actual,ytd,,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,11,tenant_file,
