facility_id,business_unit_id,facility_name,facility_type,region,service_line,bed_count,annual_encounters,revenue_owner,it_site_owner,critical_services,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
FAC-APEXRETAIL-001,BU-STORE-OPERATIONS,Apex HQ Merchandising Center,Shared Services,Southeast,Store Operations,,120000,Regional CFO,Commerce Platform Engineering,POS|eCommerce|Loyalty|Inventory|ServiceNow,Facilities master,FAC-1,Facilities Operations,2026-05-01,0.84,true,
FAC-APEXRETAIL-002,BU-DIGITAL-COMMERCE,Northwest Fulfillment Center,Data Center,Mid-Atlantic,Digital Commerce,,138500,Service Line Finance,Store Technology,POS|eCommerce|Loyalty|Inventory|ServiceNow,Facilities master,FAC-2,Facilities Operations,2026-05-01,0.84,true,
FAC-APEXRETAIL-003,BU-SUPPLY-CHAIN,Southwest Fulfillment Center,Contact Center,North,Supply Chain,,157000,Shared Services Finance,Supply Chain Technology,POS|eCommerce|Loyalty|Inventory|ServiceNow,Facilities master,FAC-3,Facilities Operations,2026-05-01,0.84,true,
FAC-APEXRETAIL-004,BU-MERCHANDISING,East Coast Distribution Center,Distribution Center,Central,Merchandising,,175500,Regional CFO,Customer Data Platform Office,POS|eCommerce|Loyalty|Inventory|ServiceNow,Facilities master,FAC-4,Facilities Operations,2026-05-01,0.84,true,
FAC-APEXRETAIL-005,BU-CUSTOMER-EXPERIENCE,Midwest Distribution Center,Store Region,Southeast,Customer Experience,,194000,Service Line Finance,Merchandising Analytics,POS|eCommerce|Loyalty|Inventory|ServiceNow,Facilities master,FAC-5,Facilities Operations,2026-05-01,0.84,true,
FAC-APEXRETAIL-006,BU-FINANCE,Apex Digital Commerce Hub,Shared Services,Mid-Atlantic,Finance,,212500,Shared Services Finance,Contact Center Technology,POS|eCommerce|Loyalty|Inventory|ServiceNow,Facilities master,FAC-6,Facilities Operations,2026-05-01,0.84,true,
FAC-APEXRETAIL-007,BU-STORE-OPERATIONS,Apex Contact Center North,Data Center,North,Store Operations,,231000,Regional CFO,Cloud Platform Services,POS|eCommerce|Loyalty|Inventory|ServiceNow,Facilities master,FAC-7,Facilities Operations,2026-05-01,0.84,true,
FAC-APEXRETAIL-008,BU-DIGITAL-COMMERCE,Apex Contact Center South,Contact Center,Central,Digital Commerce,,249500,Service Line Finance,Cybersecurity Governance,POS|eCommerce|Loyalty|Inventory|ServiceNow,Facilities master,FAC-8,Facilities Operations,2026-05-01,0.84,true,
FAC-APEXRETAIL-009,BU-SUPPLY-CHAIN,Store Region 001,Distribution Center,Southeast,Supply Chain,,268000,Shared Services Finance,IT Sourcing,POS|eCommerce|Loyalty|Inventory|ServiceNow,Facilities master,FAC-9,Facilities Operations,2026-05-01,0.84,true,
FAC-APEXRETAIL-010,BU-MERCHANDISING,Store Region 002,Store Region,Mid-Atlantic,Merchandising,,286500,Regional CFO,Finance Technology,POS|eCommerce|Loyalty|Inventory|ServiceNow,Facilities master,FAC-10,Facilities Operations,2026-05-01,0.84,true,
FAC-APEXRETAIL-011,BU-CUSTOMER-EXPERIENCE,Store Region 003,Shared Services,North,Customer Experience,,305000,Service Line Finance,Commerce Platform Engineering,POS|eCommerce|Loyalty|Inventory|ServiceNow,Facilities master,FAC-11,Facilities Operations,2026-05-01,0.84,true,
FAC-APEXRETAIL-012,BU-FINANCE,Store Region 004,Data Center,Central,Finance,,323500,Shared Services Finance,Store Technology,POS|eCommerce|Loyalty|Inventory|ServiceNow,Facilities master,FAC-12,Facilities Operations,2026-05-01,0.84,true,
FAC-APEXRETAIL-013,BU-STORE-OPERATIONS,Store Region 005,Contact Center,Southeast,Store Operations,,342000,Regional CFO,Supply Chain Technology,POS|eCommerce|Loyalty|Inventory|ServiceNow,Facilities master,FAC-13,Facilities Operations,2026-05-01,0.84,true,
FAC-APEXRETAIL-014,BU-DIGITAL-COMMERCE,Store Region 006,Distribution Center,Mid-Atlantic,Digital Commerce,,360500,Service Line Finance,Customer Data Platform Office,POS|eCommerce|Loyalty|Inventory|ServiceNow,Facilities master,FAC-14,Facilities Operations,2026-05-01,0.84,true,
FAC-APEXRETAIL-015,BU-SUPPLY-CHAIN,Store Region 007,Store Region,North,Supply Chain,,379000,Shared Services Finance,Merchandising Analytics,POS|eCommerce|Loyalty|Inventory|ServiceNow,Facilities master,FAC-15,Facilities Operations,2026-05-01,0.84,true,
FAC-APEXRETAIL-016,BU-MERCHANDISING,Store Region 008,Shared Services,Central,Merchandising,,397500,Regional CFO,Contact Center Technology,POS|eCommerce|Loyalty|Inventory|ServiceNow,Facilities master,FAC-16,Facilities Operations,2026-05-01,0.84,true,
FAC-APEXRETAIL-017,BU-CUSTOMER-EXPERIENCE,Store Region 009,Data Center,Southeast,Customer Experience,,416000,Service Line Finance,Cloud Platform Services,POS|eCommerce|Loyalty|Inventory|ServiceNow,Facilities master,FAC-17,Facilities Operations,2026-05-01,0.84,true,
FAC-APEXRETAIL-018,BU-FINANCE,Store Region 010,Contact Center,Mid-Atlantic,Finance,,434500,Shared Services Finance,Cybersecurity Governance,POS|eCommerce|Loyalty|Inventory|ServiceNow,Facilities master,FAC-18,Facilities Operations,2026-05-01,0.84,true,
FAC-APEXRETAIL-019,BU-STORE-OPERATIONS,Apex Data Center A,Distribution Center,North,Store Operations,,453000,Regional CFO,IT Sourcing,POS|eCommerce|Loyalty|Inventory|ServiceNow,Facilities master,FAC-19,Facilities Operations,2026-05-01,0.84,true,
FAC-APEXRETAIL-020,BU-DIGITAL-COMMERCE,Apex Data Center B,Store Region,Central,Digital Commerce,,471500,Service Line Finance,Finance Technology,POS|eCommerce|Loyalty|Inventory|ServiceNow,Facilities master,FAC-20,Facilities Operations,2026-05-01,0.84,true,
FAC-APEXRETAIL-021,BU-SUPPLY-CHAIN,Shared Services Procurement,Shared Services,Southeast,Supply Chain,,490000,Shared Services Finance,Commerce Platform Engineering,POS|eCommerce|Loyalty|Inventory|ServiceNow,Facilities master,FAC-21,Facilities Operations,2026-05-01,0.84,true,
FAC-APEXRETAIL-022,BU-MERCHANDISING,Shared Services Finance,Data Center,Mid-Atlantic,Merchandising,,508500,Regional CFO,Store Technology,POS|eCommerce|Loyalty|Inventory|ServiceNow,Facilities master,FAC-22,Facilities Operations,2026-05-01,0.84,true,
FAC-APEXRETAIL-023,BU-CUSTOMER-EXPERIENCE,Store Operations Command Center,Contact Center,North,Customer Experience,,527000,Service Line Finance,Supply Chain Technology,POS|eCommerce|Loyalty|Inventory|ServiceNow,Facilities master,FAC-23,Facilities Operations,2026-05-01,0.84,true,
FAC-APEXRETAIL-024,BU-FINANCE,Private Label Studio,Distribution Center,Central,Finance,,545500,Shared Services Finance,Customer Data Platform Office,POS|eCommerce|Loyalty|Inventory|ServiceNow,Facilities master,FAC-24,Facilities Operations,2026-05-01,0.84,true,
FAC-APEXRETAIL-025,BU-STORE-OPERATIONS,Loyalty Operations,Store Region,Southeast,Store Operations,,564000,Regional CFO,Merchandising Analytics,POS|eCommerce|Loyalty|Inventory|ServiceNow,Facilities master,FAC-25,Facilities Operations,2026-05-01,0.84,true,
