sla_id,business_service,ci_id,sla_name,metric_name,target_value,unit,measurement_source,owner,breach_count_90d,trending_status,penalty_or_impact,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
SLA-001,Finance and Procurement,CI-APP-SAP-S4,Finance and Procurement availability and response,Availability,99.9,percent,ServiceNow APM,Supply Chain Technology,0,Improving,Operational escalation and executive review if breached.,ServiceNow,SLA-1,IT Service Management,2026-05-01,0.84,true,
SLA-002,Merchandising Operations,CI-APP-ORACLE-RETAIL,Merchandising Operations availability and response,Incident response,4,hours,ServiceNow APM,Customer Data Platform Office,1,Stable,Operational escalation and executive review if breached.,ServiceNow,SLA-2,IT Service Management,2026-05-01,0.84,true,
SLA-003,Store Checkout,CI-APP-NCR-POS,Store Checkout availability and response,Availability,99.9,percent,ServiceNow APM,Merchandising Analytics,2,Stable,Operational escalation and executive review if breached.,ServiceNow,SLA-3,IT Service Management,2026-05-01,0.84,true,
SLA-004,Digital Commerce,CI-SVC-ECOMMERCE,Digital Commerce availability and response,Incident response,4,hours,ServiceNow APM,Contact Center Technology,3,Improving,Operational escalation and executive review if breached.,ServiceNow,SLA-4,IT Service Management,2026-05-01,0.84,true,
SLA-005,Customer 360 and Personalization,CI-DATA-CDP,Customer 360 and Personalization availability and response,Availability,99.9,percent,ServiceNow APM,Cloud Platform Services,4,Stable,Operational escalation and executive review if breached.,ServiceNow,SLA-5,IT Service Management,2026-05-01,0.84,true,
SLA-006,Customer Experience,CI-SVC-CONTACT-CENTER,Customer Experience availability and response,Incident response,4,hours,ServiceNow APM,Cybersecurity Governance,5,Worsening,Operational escalation and executive review if breached.,ServiceNow,SLA-6,IT Service Management,2026-05-01,0.84,true,
SLA-007,Demand Forecasting,CI-APP-BLUEYONDER,Demand Forecasting availability and response,Availability,99.9,percent,ServiceNow APM,IT Sourcing,6,Worsening,Operational escalation and executive review if breached.,ServiceNow,SLA-7,IT Service Management,2026-05-01,0.84,true,
SLA-008,Distribution Operations,CI-APP-MANHATTAN-WMS,Distribution Operations availability and response,Incident response,4,hours,ServiceNow APM,Finance Technology,0,Stable,Operational escalation and executive review if breached.,ServiceNow,SLA-8,IT Service Management,2026-05-01,0.84,true,
SLA-009,Enterprise Retail Analytics,CI-WH-SNOWFLAKE,Enterprise Retail Analytics availability and response,Availability,99.9,percent,ServiceNow APM,Commerce Platform Engineering,1,Stable,Operational escalation and executive review if breached.,ServiceNow,SLA-9,IT Service Management,2026-05-01,0.84,true,
SLA-010,Advanced Analytics,CI-PLAT-DATABRICKS,Advanced Analytics availability and response,Incident response,4,hours,ServiceNow APM,Store Technology,2,Improving,Operational escalation and executive review if breached.,ServiceNow,SLA-10,IT Service Management,2026-05-01,0.84,true,
SLA-011,IT Service Management,CI-APP-SERVICENOW,IT Service Management availability and response,Availability,99.9,percent,ServiceNow APM,Supply Chain Technology,3,Stable,Operational escalation and executive review if breached.,ServiceNow,SLA-11,IT Service Management,2026-05-01,0.84,true,
SLA-012,Identity and Access,CI-SEC-OKTA,Identity and Access availability and response,Incident response,4,hours,ServiceNow APM,Customer Data Platform Office,4,Stable,Operational escalation and executive review if breached.,ServiceNow,SLA-12,IT Service Management,2026-05-01,0.84,true,
SLA-013,Cloud Hosting,CI-CLOUD-AWS-PROD,Cloud Hosting availability and response,Availability,99.9,percent,ServiceNow APM,Merchandising Analytics,5,Worsening,Operational escalation and executive review if breached.,ServiceNow,SLA-13,IT Service Management,2026-05-01,0.84,true,
SLA-014,Cloud Hosting,CI-CLOUD-AZURE-PROD,Cloud Hosting availability and response,Incident response,4,hours,ServiceNow APM,Contact Center Technology,6,Worsening,Operational escalation and executive review if breached.,ServiceNow,SLA-14,IT Service Management,2026-05-01,0.84,true,
SLA-015,Workforce Management,CI-APP-WORKDAY-HCM,Workforce Management availability and response,Availability,99.9,percent,ServiceNow APM,Cloud Platform Services,0,Stable,Operational escalation and executive review if breached.,ServiceNow,SLA-15,IT Service Management,2026-05-01,0.84,true,
SLA-016,Digital Experience,CI-APP-ADOBE-COMMERCE,Digital Experience availability and response,Incident response,4,hours,ServiceNow APM,Cybersecurity Governance,1,Improving,Operational escalation and executive review if breached.,ServiceNow,SLA-16,IT Service Management,2026-05-01,0.84,true,
SLA-017,Store Inventory Visibility,CI-APP-001,Store Inventory Visibility availability and response,Availability,99.9,percent,ServiceNow APM,Merchandising Analytics,2,Stable,Operational escalation and executive review if breached.,ServiceNow,SLA-17,IT Service Management,2026-05-01,0.84,true,
SLA-018,Promotion Pricing Engine,CI-SVC-002,Promotion Pricing Engine availability and response,Incident response,4,hours,ServiceNow APM,Contact Center Technology,3,Stable,Operational escalation and executive review if breached.,ServiceNow,SLA-18,IT Service Management,2026-05-01,0.84,true,
SLA-019,Loyalty Offer Decisioning,CI-DATA-003,Loyalty Offer Decisioning availability and response,Availability,99.9,percent,ServiceNow APM,Cloud Platform Services,4,Improving,Operational escalation and executive review if breached.,ServiceNow,SLA-19,IT Service Management,2026-05-01,0.84,true,
SLA-020,Returns Optimization,CI-APP-004,Returns Optimization availability and response,Incident response,4,hours,ServiceNow APM,Cybersecurity Governance,5,Worsening,Operational escalation and executive review if breached.,ServiceNow,SLA-20,IT Service Management,2026-05-01,0.84,true,
SLA-021,Marketplace Seller Hub,CI-SVC-005,Marketplace Seller Hub availability and response,Availability,99.9,percent,ServiceNow APM,IT Sourcing,6,Worsening,Operational escalation and executive review if breached.,ServiceNow,SLA-21,IT Service Management,2026-05-01,0.84,true,
SLA-022,Retail Media Campaign Ops,CI-DATA-006,Retail Media Campaign Ops availability and response,Incident response,4,hours,ServiceNow APM,Finance Technology,0,Improving,Operational escalation and executive review if breached.,ServiceNow,SLA-22,IT Service Management,2026-05-01,0.84,true,
SLA-023,Store Labor Scheduling,CI-APP-007,Store Labor Scheduling availability and response,Availability,99.9,percent,ServiceNow APM,Commerce Platform Engineering,1,Stable,Operational escalation and executive review if breached.,ServiceNow,SLA-23,IT Service Management,2026-05-01,0.84,true,
SLA-024,Category P&L Analytics,CI-SVC-008,Category P&L Analytics availability and response,Incident response,4,hours,ServiceNow APM,Store Technology,2,Stable,Operational escalation and executive review if breached.,ServiceNow,SLA-24,IT Service Management,2026-05-01,0.84,true,
SLA-025,Vendor Scorecarding,CI-DATA-009,Vendor Scorecarding availability and response,Availability,99.9,percent,ServiceNow APM,Supply Chain Technology,3,Improving,Operational escalation and executive review if breached.,ServiceNow,SLA-25,IT Service Management,2026-05-01,0.84,true,
SLA-026,Assortment Planning,CI-APP-010,Assortment Planning availability and response,Incident response,4,hours,ServiceNow APM,Customer Data Platform Office,4,Stable,Operational escalation and executive review if breached.,ServiceNow,SLA-26,IT Service Management,2026-05-01,0.84,true,
SLA-027,Last Mile Delivery,CI-SVC-011,Last Mile Delivery availability and response,Availability,99.9,percent,ServiceNow APM,Merchandising Analytics,5,Worsening,Operational escalation and executive review if breached.,ServiceNow,SLA-27,IT Service Management,2026-05-01,0.84,true,
SLA-028,Fraud Detection,CI-DATA-012,Fraud Detection availability and response,Incident response,4,hours,ServiceNow APM,Contact Center Technology,6,Worsening,Operational escalation and executive review if breached.,ServiceNow,SLA-28,IT Service Management,2026-05-01,0.84,true,
