change_id,planned_start,planned_end,ci_id,business_service,change_type,risk_level,approval_group,implementation_owner,status,backout_plan_tested,caused_incident_id,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
CHG0048000,2026-01-01,2026-01-01,CI-APP-SAP-S4,Finance and Procurement,Emergency,High,AI Governance Council,Store Technology,Failed,false,INC0120000,ServiceNow,CHG48000,Change Management,2026-05-01,0.83,false,
CHG0048001,2026-02-02,2026-02-02,CI-SVC-CONTACT-CENTER,Customer Experience,Normal,Low,Enterprise CAB,Cloud Platform Services,Scheduled,true,,ServiceNow,CHG48001,Change Management,2026-05-01,0.83,true,
CHG0048002,2026-03-03,2026-03-03,CI-APP-SERVICENOW,IT Service Management,Normal,Low,Enterprise CAB,Store Technology,Scheduled,true,,ServiceNow,CHG48002,Change Management,2026-05-01,0.83,true,
CHG0048003,2026-04-04,2026-04-04,CI-APP-ADOBE-COMMERCE,Digital Experience,Normal,Low,AI Governance Council,Cloud Platform Services,Implemented,true,,ServiceNow,CHG48003,Change Management,2026-05-01,0.83,true,
CHG0048004,2026-05-05,2026-05-05,CI-SVC-005,Marketplace Seller Hub,Standard,Low,Enterprise CAB,Cybersecurity Governance,Scheduled,true,,ServiceNow,CHG48004,Change Management,2026-05-01,0.83,true,
CHG0048005,2026-06-06,2026-06-06,CI-APP-010,Assortment Planning,Normal,Medium,Enterprise CAB,Supply Chain Technology,Scheduled,true,,ServiceNow,CHG48005,Change Management,2026-05-01,0.83,true,
CHG0048006,2026-01-07,2026-01-07,CI-DATA-015,Private Label Quality,Normal,Low,AI Governance Council,Cybersecurity Governance,Implemented,true,,ServiceNow,CHG48006,Change Management,2026-05-01,0.83,true,
CHG0048007,2026-02-08,2026-02-08,CI-SVC-020,Returns Optimization,Normal,Low,Enterprise CAB,Supply Chain Technology,Scheduled,false,,ServiceNow,CHG48007,Change Management,2026-05-01,0.83,true,
CHG0048008,2026-03-09,2026-03-09,CI-APP-025,Vendor Scorecarding,Standard,Low,Enterprise CAB,Cybersecurity Governance,Scheduled,true,,ServiceNow,CHG48008,Change Management,2026-05-01,0.83,true,
CHG0048009,2026-04-10,2026-04-10,CI-DATA-030,Associate Productivity,Normal,Low,AI Governance Council,Supply Chain Technology,Implemented,true,,ServiceNow,CHG48009,Change Management,2026-05-01,0.83,true,
CHG0048010,2026-05-11,2026-05-11,CI-SVC-035,Loyalty Offer Decisioning,Normal,Medium,Enterprise CAB,Cybersecurity Governance,Scheduled,true,,ServiceNow,CHG48010,Change Management,2026-05-01,0.83,true,
CHG0048011,2026-06-12,2026-06-12,CI-APP-040,Category P&L Analytics,Normal,Low,Enterprise CAB,Supply Chain Technology,Failed,true,INC0120011,ServiceNow,CHG48011,Change Management,2026-05-01,0.83,false,
CHG0048012,2026-01-13,2026-01-13,CI-DATA-045,Customer Identity Resolution,Standard,Low,AI Governance Council,Cybersecurity Governance,Implemented,true,,ServiceNow,CHG48012,Change Management,2026-05-01,0.83,true,
CHG0048013,2026-02-14,2026-02-14,CI-SVC-050,Promotion Pricing Engine,Normal,Low,Enterprise CAB,Supply Chain Technology,Scheduled,true,,ServiceNow,CHG48013,Change Management,2026-05-01,0.83,true,
CHG0048014,2026-03-15,2026-03-15,CI-APP-055,Store Labor Scheduling,Normal,Low,Enterprise CAB,Cybersecurity Governance,Scheduled,false,,ServiceNow,CHG48014,Change Management,2026-05-01,0.83,true,
CHG0048015,2026-04-16,2026-04-16,CI-DATA-060,Fraud Detection,Normal,Medium,AI Governance Council,Supply Chain Technology,Implemented,true,,ServiceNow,CHG48015,Change Management,2026-05-01,0.83,true,
CHG0048016,2026-05-17,2026-05-17,CI-SVC-065,Store Inventory Visibility,Standard,Low,Enterprise CAB,Cybersecurity Governance,Scheduled,true,,ServiceNow,CHG48016,Change Management,2026-05-01,0.83,true,
CHG0048017,2026-06-18,2026-06-18,CI-SVC-ECOMMERCE,Digital Commerce,Emergency,High,Enterprise CAB,Merchandising Analytics,Scheduled,true,,ServiceNow,CHG48017,Change Management,2026-05-01,0.83,true,
CHG0048018,2026-01-19,2026-01-19,CI-WH-SNOWFLAKE,Enterprise Retail Analytics,Normal,Low,AI Governance Council,Finance Technology,Implemented,true,,ServiceNow,CHG48018,Change Management,2026-05-01,0.83,true,
CHG0048019,2026-02-20,2026-02-20,CI-CLOUD-AZURE-PROD,Cloud Hosting,Normal,Low,Enterprise CAB,Merchandising Analytics,Scheduled,true,,ServiceNow,CHG48019,Change Management,2026-05-01,0.83,true,
CHG0048020,2026-03-21,2026-03-21,CI-DATA-003,Loyalty Offer Decisioning,Standard,Medium,Enterprise CAB,Contact Center Technology,Scheduled,true,,ServiceNow,CHG48020,Change Management,2026-05-01,0.83,true,
CHG0048021,2026-04-22,2026-04-22,CI-SVC-008,Category P&L Analytics,Normal,Low,AI Governance Council,Commerce Platform Engineering,Implemented,false,,ServiceNow,CHG48021,Change Management,2026-05-01,0.83,true,
CHG0048022,2026-05-23,2026-05-23,CI-APP-013,Customer Identity Resolution,Normal,Low,Enterprise CAB,Contact Center Technology,Failed,true,INC0120022,ServiceNow,CHG48022,Change Management,2026-05-01,0.83,false,
CHG0048023,2026-06-24,2026-06-24,CI-DATA-018,Promotion Pricing Engine,Normal,Low,Enterprise CAB,Commerce Platform Engineering,Scheduled,true,,ServiceNow,CHG48023,Change Management,2026-05-01,0.83,true,
CHG0048024,2026-01-25,2026-01-25,CI-SVC-023,Store Labor Scheduling,Standard,Low,AI Governance Council,Contact Center Technology,Implemented,true,,ServiceNow,CHG48024,Change Management,2026-05-01,0.83,true,
CHG0048025,2026-02-26,2026-02-26,CI-APP-028,Fraud Detection,Normal,Medium,Enterprise CAB,Commerce Platform Engineering,Scheduled,true,,ServiceNow,CHG48025,Change Management,2026-05-01,0.83,true,
CHG0048026,2026-03-01,2026-03-01,CI-DATA-033,Store Inventory Visibility,Normal,Low,Enterprise CAB,Contact Center Technology,Scheduled,true,,ServiceNow,CHG48026,Change Management,2026-05-01,0.83,true,
CHG0048027,2026-04-02,2026-04-02,CI-SVC-038,Retail Media Campaign Ops,Normal,Low,AI Governance Council,Commerce Platform Engineering,Implemented,true,,ServiceNow,CHG48027,Change Management,2026-05-01,0.83,true,
CHG0048028,2026-05-03,2026-05-03,CI-APP-043,Last Mile Delivery,Standard,Low,Enterprise CAB,Contact Center Technology,Scheduled,false,,ServiceNow,CHG48028,Change Management,2026-05-01,0.83,true,
CHG0048029,2026-06-04,2026-06-04,CI-DATA-048,Demand Signal Repository,Normal,Low,Enterprise CAB,Commerce Platform Engineering,Scheduled,true,,ServiceNow,CHG48029,Change Management,2026-05-01,0.83,true,
CHG0048030,2026-01-05,2026-01-05,CI-SVC-053,Marketplace Seller Hub,Normal,Medium,AI Governance Council,Contact Center Technology,Implemented,true,,ServiceNow,CHG48030,Change Management,2026-05-01,0.83,true,
