renewal_id,contract_id,vendor_id,renewal_date,notice_date,renewal_type,estimated_value_usd,sourcing_required,decision_owner,renewal_risk,status,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
REN-SAP-2027,CON-SAP-2026,VEN-SAP,2027-01-28,2026-07-15,Competitive sourcing,48900000,true,Commerce Platform Engineering,High,Planning,Legal CLM,REN-VEN-SAP,IT Sourcing,2026-05-01,0.83,true,
REN-ORACLE-2027,CON-ORACLE-2026,VEN-ORACLE,2027-02-28,2026-08-15,Auto-renewal,11200000,false,Store Technology,Low,Not Started,Legal CLM,REN-VEN-ORACLE,IT Sourcing,2026-05-01,0.83,true,
REN-SALESFORCE-2027,CON-SALESFORCE-2026,VEN-SALESFORCE,2027-03-28,2026-09-15,Auto-renewal,8400000,false,Supply Chain Technology,Low,Not Started,Legal CLM,REN-VEN-SALESFORCE,IT Sourcing,2026-05-01,0.83,true,
REN-SEGMENT-2027,CON-SEGMENT-2026,VEN-SEGMENT,2027-04-28,2026-10-15,Negotiated renewal,4300000,false,Customer Data Platform Office,Medium,Not Started,Legal CLM,REN-VEN-SEGMENT,IT Sourcing,2026-05-01,0.83,true,
REN-BLUEYONDER-2027,CON-BLUEYONDER-2026,VEN-BLUEYONDER,2027-05-28,2026-11-15,Competitive sourcing,22800000,true,Merchandising Analytics,High,Planning,Legal CLM,REN-VEN-BLUEYONDER,IT Sourcing,2026-05-01,0.83,true,
REN-MANHATTAN-2027,CON-MANHATTAN-2026,VEN-MANHATTAN,2027-06-28,2026-12-15,Auto-renewal,6900000,false,Contact Center Technology,Low,Not Started,Legal CLM,REN-VEN-MANHATTAN,IT Sourcing,2026-05-01,0.83,true,
REN-NCR-2027,CON-NCR-2026,VEN-NCR,2027-07-28,2026-01-15,Negotiated renewal,5800000,false,Cloud Platform Services,Medium,Not Started,Legal CLM,REN-VEN-NCR,IT Sourcing,2026-05-01,0.83,true,
REN-ADOBE-2027,CON-ADOBE-2026,VEN-ADOBE,2027-08-28,2026-02-15,Auto-renewal,4900000,false,Cybersecurity Governance,Low,Not Started,Legal CLM,REN-VEN-ADOBE,IT Sourcing,2026-05-01,0.83,true,
REN-GENESYS-2027,CON-GENESYS-2026,VEN-GENESYS,2027-09-28,2026-03-15,Competitive sourcing,11700000,true,IT Sourcing,High,Planning,Legal CLM,REN-VEN-GENESYS,IT Sourcing,2026-05-01,0.83,true,
REN-DATABRICKS-2027,CON-DATABRICKS-2026,VEN-DATABRICKS,2027-10-28,2026-04-15,Negotiated renewal,3400000,false,Finance Technology,Medium,Not Started,Legal CLM,REN-VEN-DATABRICKS,IT Sourcing,2026-05-01,0.83,true,
REN-SNOW-2027,CON-SNOW-2026,VEN-SNOW,2027-11-28,2026-05-15,Auto-renewal,6200000,false,Commerce Platform Engineering,Low,Not Started,Legal CLM,REN-VEN-SNOW,IT Sourcing,2026-05-01,0.83,true,
REN-MICROSOFT-2027,CON-MICROSOFT-2026,VEN-MICROSOFT,2027-12-28,2026-06-15,Auto-renewal,12800000,false,Store Technology,Low,Not Started,Legal CLM,REN-VEN-MICROSOFT,IT Sourcing,2026-05-01,0.83,true,
REN-AWS-2027,CON-AWS-2026,VEN-AWS,2027-01-28,2026-07-15,Competitive sourcing,25200000,true,Supply Chain Technology,High,Planning,Legal CLM,REN-VEN-AWS,IT Sourcing,2026-05-01,0.83,true,
REN-AZURE-2027,CON-AZURE-2026,VEN-AZURE,2027-02-28,2026-08-15,Auto-renewal,9600000,false,Customer Data Platform Office,Low,Not Started,Legal CLM,REN-VEN-AZURE,IT Sourcing,2026-05-01,0.83,true,
REN-DATABRICKS-2027,CON-DATABRICKS-2026,VEN-DATABRICKS,2027-03-28,2026-09-15,Auto-renewal,3900000,false,Merchandising Analytics,Low,Not Started,Legal CLM,REN-VEN-DATABRICKS,IT Sourcing,2026-05-01,0.83,true,
REN-SNOWFLAKE-2027,CON-SNOWFLAKE-2026,VEN-SNOWFLAKE,2027-04-28,2026-10-15,Negotiated renewal,3600000,false,Contact Center Technology,Medium,Not Started,Legal CLM,REN-VEN-SNOWFLAKE,IT Sourcing,2026-05-01,0.83,true,
REN-OKTA-2027,CON-OKTA-2026,VEN-OKTA,2027-05-28,2026-11-15,Competitive sourcing,6900000,true,Cloud Platform Services,High,Planning,Legal CLM,REN-VEN-OKTA,IT Sourcing,2026-05-01,0.83,true,
REN-CROWDSTRIKE-2027,CON-CROWDSTRIKE-2026,VEN-CROWDSTRIKE,2027-06-28,2026-12-15,Auto-renewal,2900000,false,Cybersecurity Governance,Low,Not Started,Legal CLM,REN-VEN-CROWDSTRIKE,IT Sourcing,2026-05-01,0.83,true,
REN-PALOALTO-2027,CON-PALOALTO-2026,VEN-PALOALTO,2027-07-28,2026-01-15,Negotiated renewal,3300000,false,IT Sourcing,Medium,Not Started,Legal CLM,REN-VEN-PALOALTO,IT Sourcing,2026-05-01,0.83,true,
REN-ZSCALER-2027,CON-ZSCALER-2026,VEN-ZSCALER,2027-08-28,2026-02-15,Auto-renewal,2200000,false,Finance Technology,Low,Not Started,Legal CLM,REN-VEN-ZSCALER,IT Sourcing,2026-05-01,0.83,true,
REN-BROADCOM-2027,CON-BROADCOM-2026,VEN-BROADCOM,2027-09-28,2026-03-15,Competitive sourcing,5700000,true,Commerce Platform Engineering,High,Planning,Legal CLM,REN-VEN-BROADCOM,IT Sourcing,2026-05-01,0.83,true,
REN-CISCO-2027,CON-CISCO-2026,VEN-CISCO,2027-10-28,2026-04-15,Negotiated renewal,4700000,false,Store Technology,Medium,Not Started,Legal CLM,REN-VEN-CISCO,IT Sourcing,2026-05-01,0.83,true,
REN-VEEAM-2027,CON-VEEAM-2026,VEN-VEEAM,2027-11-28,2026-05-15,Auto-renewal,1600000,false,Supply Chain Technology,Low,Not Started,Legal CLM,REN-VEN-VEEAM,IT Sourcing,2026-05-01,0.83,true,
REN-HASHICORP-2027,CON-HASHICORP-2026,VEN-HASHICORP,2027-12-28,2026-06-15,Auto-renewal,950000,false,Customer Data Platform Office,Low,Not Started,Legal CLM,REN-VEN-HASHICORP,IT Sourcing,2026-05-01,0.83,true,
