risk_id,risk_title,risk_type,control_id,policy_id,owner,severity,likelihood,status,linked_ci_ids,linked_vendor_ids,remediation_due_date,evidence_required,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
RISK-001,Critical CI owner validation is stale,Operational,CTRL-100,POL-001,Commerce Platform Engineering,Critical,High,Mitigating,CI-APP-SAP-S4|CI-DATA-CDP,VEN-SAP,2026-07-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-1,GRC Office,2026-05-01,0.79,false,
RISK-002,Renewal decision date lacks sourcing owner,Security,CTRL-101,POL-002,Store Technology,Medium,Medium,Open,CI-APP-ORACLE-RETAIL|CI-SVC-CONTACT-CENTER,VEN-ORACLE,2026-08-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-2,GRC Office,2026-05-01,0.79,true,
RISK-003,AI workflow lacks model monitoring evidence,Privacy,CTRL-102,POL-003,Supply Chain Technology,Medium,Medium,Open,CI-APP-NCR-POS|CI-APP-BLUEYONDER,VEN-SALESFORCE,2026-09-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-3,GRC Office,2026-05-01,0.79,true,
RISK-004,Incident trend worsened for dependent service,Compliance,CTRL-103,POL-004,Customer Data Platform Office,High,Medium,Open,CI-SVC-ECOMMERCE|CI-APP-MANHATTAN-WMS,VEN-SEGMENT,2026-10-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-4,GRC Office,2026-05-01,0.79,true,
RISK-005,Vendor security review due before renewal,Financial,CTRL-104,POL-005,Merchandising Analytics,Medium,Medium,Mitigating,CI-DATA-CDP|CI-WH-SNOWFLAKE,VEN-BLUEYONDER,2026-11-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-5,GRC Office,2026-05-01,0.79,true,
RISK-006,Policy review date approaching without steward attestation,AI Governance,CTRL-105,POL-006,Contact Center Technology,Medium,High,Open,CI-SVC-CONTACT-CENTER|CI-PLAT-DATABRICKS,VEN-MANHATTAN,2026-12-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-6,GRC Office,2026-05-01,0.79,false,
RISK-007,Critical CI owner validation is stale,Vendor,CTRL-106,POL-007,Cloud Platform Services,High,Medium,Open,CI-APP-BLUEYONDER|CI-APP-SERVICENOW,VEN-NCR,2026-01-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-7,GRC Office,2026-05-01,0.79,true,
RISK-008,Renewal decision date lacks sourcing owner,Operational,CTRL-107,POL-008,Cybersecurity Governance,Critical,Medium,Open,CI-APP-MANHATTAN-WMS|CI-SEC-OKTA,VEN-ADOBE,2026-02-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-8,GRC Office,2026-05-01,0.79,true,
RISK-009,AI workflow lacks model monitoring evidence,Security,CTRL-108,POL-009,IT Sourcing,Medium,Medium,Mitigating,CI-WH-SNOWFLAKE|CI-CLOUD-AWS-PROD,VEN-GENESYS,2026-03-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-9,GRC Office,2026-05-01,0.79,true,
RISK-010,Incident trend worsened for dependent service,Privacy,CTRL-109,POL-010,Finance Technology,High,Medium,Open,CI-PLAT-DATABRICKS|CI-CLOUD-AZURE-PROD,VEN-DATABRICKS,2026-04-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-10,GRC Office,2026-05-01,0.79,true,
RISK-011,Vendor security review due before renewal,Compliance,CTRL-110,POL-011,Commerce Platform Engineering,Medium,High,Open,CI-APP-SERVICENOW|CI-APP-WORKDAY-HCM,VEN-SNOW,2026-05-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-11,GRC Office,2026-05-01,0.79,false,
RISK-012,Policy review date approaching without steward attestation,Financial,CTRL-111,POL-012,Store Technology,Medium,Medium,Open,CI-SEC-OKTA|CI-APP-ADOBE-COMMERCE,VEN-MICROSOFT,2026-06-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-12,GRC Office,2026-05-01,0.79,true,
RISK-013,Critical CI owner validation is stale,AI Governance,CTRL-112,POL-013,Supply Chain Technology,High,Medium,Mitigating,CI-CLOUD-AWS-PROD|CI-APP-001,VEN-AWS,2026-07-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-13,GRC Office,2026-05-01,0.79,true,
RISK-014,Renewal decision date lacks sourcing owner,Vendor,CTRL-113,POL-014,Customer Data Platform Office,Medium,Medium,Open,CI-CLOUD-AZURE-PROD|CI-SVC-002,VEN-AZURE,2026-08-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-14,GRC Office,2026-05-01,0.79,true,
RISK-015,AI workflow lacks model monitoring evidence,Operational,CTRL-114,POL-015,Merchandising Analytics,Critical,Medium,Open,CI-APP-WORKDAY-HCM|CI-DATA-003,VEN-DATABRICKS,2026-09-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-15,GRC Office,2026-05-01,0.79,true,
RISK-016,Incident trend worsened for dependent service,Security,CTRL-115,POL-016,Contact Center Technology,High,High,Open,CI-APP-ADOBE-COMMERCE|CI-APP-004,VEN-SNOWFLAKE,2026-10-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-16,GRC Office,2026-05-01,0.79,false,
RISK-017,Vendor security review due before renewal,Privacy,CTRL-116,POL-017,Cloud Platform Services,Medium,Medium,Mitigating,CI-APP-001|CI-SVC-005,VEN-OKTA,2026-11-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-17,GRC Office,2026-05-01,0.79,true,
