ci_id,ci_name,ci_type,business_service,application_owner,technical_owner,support_group,criticality,hosting_model,environment,vendor_id,contract_id,data_classification,service_tier,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
CI-APP-SAP-S4,SAP S/4 Finance and Procurement,Application,Finance and Procurement,Commerce Platform Engineering,Store Technology,Supply Chain Technology,Tier 1,SaaS,Production,VEN-SAP,CON-SAP-2026,Confidential,Gold,ServiceNow,CI-APP-SAP-S4,CMDB Stewardship,2026-05-01,0.88,true,
CI-APP-ORACLE-RETAIL,Oracle Retail Merchandising,Application,Merchandising Operations,Store Technology,Supply Chain Technology,Customer Data Platform Office,Tier 1,Hosted,Production,VEN-ORACLE,CON-ORACLE-2026,Confidential,Gold,ServiceNow,CI-APP-ORACLE-RETAIL,CMDB Stewardship,2026-05-01,0.88,true,
CI-APP-NCR-POS,NCR POS Store Platform,Application,Store Checkout,Supply Chain Technology,Customer Data Platform Office,Merchandising Analytics,Tier 1,Public Cloud,Production,VEN-NCR,CON-NCR-2026,Restricted,Gold,ServiceNow,CI-APP-NCR-POS,CMDB Stewardship,2026-05-01,0.88,true,
CI-SVC-ECOMMERCE,Apex Digital Commerce Service,Business Service,Digital Commerce,Customer Data Platform Office,Merchandising Analytics,Contact Center Technology,Tier 1,Private Cloud,Production,VEN-ADOBE,CON-ADOBE-2026,Confidential,Gold,ServiceNow,CI-SVC-ECOMMERCE,CMDB Stewardship,2026-05-01,0.88,true,
CI-DATA-CDP,Segment Customer Data Platform,Data Platform,Customer 360 and Personalization,Merchandising Analytics,Contact Center Technology,Cloud Platform Services,Tier 1,Hybrid,Production,VEN-SEGMENT,CON-SEGMENT-2026,Restricted,Gold,ServiceNow,CI-DATA-CDP,CMDB Stewardship,2026-05-01,0.88,true,
CI-SVC-CONTACT-CENTER,Customer Care Contact Center,Business Service,Customer Experience,Contact Center Technology,Cloud Platform Services,Cybersecurity Governance,Tier 2,SaaS,Production,VEN-GENESYS,CON-GENESYS-2026,Confidential,Gold,ServiceNow,CI-SVC-CONTACT-CENTER,CMDB Stewardship,2026-05-01,0.88,true,
CI-APP-BLUEYONDER,Blue Yonder Demand Planning,Application,Demand Forecasting,Cloud Platform Services,Cybersecurity Governance,IT Sourcing,Tier 1,Hosted,Production,VEN-BLUEYONDER,CON-BLUEYONDER-2026,Confidential,Gold,ServiceNow,CI-APP-BLUEYONDER,CMDB Stewardship,2026-05-01,0.88,true,
CI-APP-MANHATTAN-WMS,Manhattan WMS,Application,Distribution Operations,Cybersecurity Governance,IT Sourcing,Finance Technology,Tier 1,Public Cloud,Production,VEN-MANHATTAN,CON-MANHATTAN-2026,Confidential,Gold,ServiceNow,CI-APP-MANHATTAN-WMS,CMDB Stewardship,2026-05-01,0.88,true,
CI-WH-SNOWFLAKE,Snowflake Retail Data Cloud,Data Platform,Enterprise Retail Analytics,IT Sourcing,Finance Technology,Commerce Platform Engineering,Tier 2,Private Cloud,Production,VEN-SNOWFLAKE,CON-SNOWFLAKE-2026,Confidential,Gold,ServiceNow,CI-WH-SNOWFLAKE,CMDB Stewardship,2026-05-01,0.88,true,
CI-PLAT-DATABRICKS,Databricks Forecasting Workspace,Data Platform,Advanced Analytics,Finance Technology,Commerce Platform Engineering,Store Technology,Tier 2,Hybrid,Production,VEN-DATABRICKS,CON-DATABRICKS-2026,Confidential,Gold,ServiceNow,CI-PLAT-DATABRICKS,CMDB Stewardship,2026-05-01,0.88,true,
CI-APP-SERVICENOW,ServiceNow ITSM and CMDB,Application,IT Service Management,Commerce Platform Engineering,Store Technology,Supply Chain Technology,Tier 1,SaaS,Production,VEN-SNOW,CON-SNOW-2026,Confidential,Silver,ServiceNow,CI-APP-SERVICENOW,CMDB Stewardship,2026-05-01,0.88,true,
CI-SEC-OKTA,Okta Identity Service,Infrastructure,Identity and Access,Store Technology,Supply Chain Technology,Customer Data Platform Office,Tier 1,Hosted,Production,VEN-OKTA,CON-OKTA-2026,Confidential,Silver,ServiceNow,CI-SEC-OKTA,CMDB Stewardship,2026-05-01,0.88,true,
CI-CLOUD-AWS-PROD,AWS Production Landing Zone,Infrastructure,Cloud Hosting,Supply Chain Technology,Customer Data Platform Office,Merchandising Analytics,Tier 1,Public Cloud,Production,VEN-AWS,CON-AWS-2026,Confidential,Silver,ServiceNow,CI-CLOUD-AWS-PROD,CMDB Stewardship,2026-05-01,0.88,true,
CI-CLOUD-AZURE-PROD,Azure Production Landing Zone,Infrastructure,Cloud Hosting,Customer Data Platform Office,Merchandising Analytics,Contact Center Technology,Tier 1,Private Cloud,Production,VEN-AZURE,CON-AZURE-2026,Confidential,Silver,ServiceNow,CI-CLOUD-AZURE-PROD,CMDB Stewardship,2026-05-01,0.88,true,
CI-APP-WORKDAY-HCM,Workday HCM,Application,Workforce Management,Merchandising Analytics,Contact Center Technology,Cloud Platform Services,Tier 2,Hybrid,Production,VEN-WORKDAY,CON-WORKDAY-2026,Confidential,Silver,ServiceNow,CI-APP-WORKDAY-HCM,CMDB Stewardship,2026-05-01,0.88,true,
CI-APP-ADOBE-COMMERCE,Adobe Commerce Experience,Application,Digital Experience,Contact Center Technology,Cloud Platform Services,Cybersecurity Governance,Tier 2,SaaS,Production,VEN-ADOBE,CON-ADOBE-2026,Confidential,Silver,ServiceNow,CI-APP-ADOBE-COMMERCE,CMDB Stewardship,2026-05-01,0.88,true,
CI-APP-001,Store Inventory Visibility 1,Application,Store Inventory Visibility,Commerce Platform Engineering,Customer Data Platform Office,Merchandising Analytics,Tier 1,SaaS,Production,VEN-SAP,CON-SAP-2026,Restricted,Gold,ServiceNow,CI-APP-001,CMDB Stewardship,2026-05-01,0.79,false,
CI-SVC-002,Promotion Pricing Engine 1,Business Service,Promotion Pricing Engine,Store Technology,Merchandising Analytics,Contact Center Technology,Tier 3,Hosted,Production,VEN-ORACLE,CON-ORACLE-2026,Confidential,Bronze,ServiceNow,CI-SVC-002,CMDB Stewardship,2026-05-01,0.8,true,
