incident_id,opened_at,closed_at,ci_id,business_service,priority,severity,assignment_group,short_description,resolution_code,breach_sla,related_problem_id,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
INC0120000,2026-01-01,,CI-APP-SAP-S4,Finance and Procurement,P1,Critical,Supply Chain Technology,Finance and Procurement integration queue latency exceeded threshold,,true,PRB0001800,ServiceNow,INC120000,IT Service Management,2026-05-01,0.81,false,
INC0120001,2026-02-02,2026-02-03,CI-APP-ORACLE-RETAIL,Merchandising Operations,P4,Low,Customer Data Platform Office,Merchandising Operations scheduled job failure delayed downstream reporting,Configuration update,false,,ServiceNow,INC120001,IT Service Management,2026-05-01,0.81,true,
INC0120002,2026-03-03,2026-03-04,CI-APP-NCR-POS,Store Checkout,P4,Low,Merchandising Analytics,Store Checkout authentication timeout affected internal users,Vendor patch,false,,ServiceNow,INC120002,IT Service Management,2026-05-01,0.81,true,
INC0120003,2026-04-04,2026-04-05,CI-SVC-ECOMMERCE,Digital Commerce,P3,Medium,Contact Center Technology,Digital Commerce API gateway throttling affected service availability,Restarted service,false,,ServiceNow,INC120003,IT Service Management,2026-05-01,0.81,true,
INC0120004,2026-01-05,2026-01-06,CI-DATA-CDP,Customer 360 and Personalization,P4,Low,Cloud Platform Services,Customer 360 and Personalization batch reconciliation variance required manual review,Runbook correction,false,,ServiceNow,INC120004,IT Service Management,2026-05-01,0.81,true,
INC0120005,2026-02-06,2026-02-07,CI-SVC-CONTACT-CENTER,Customer Experience,P4,Low,Cybersecurity Governance,Customer Experience monitoring alert indicated degraded service response,Capacity tuning,false,,ServiceNow,INC120005,IT Service Management,2026-05-01,0.81,true,
INC0120006,2026-03-07,2026-03-08,CI-APP-BLUEYONDER,Demand Forecasting,P3,Medium,IT Sourcing,Demand Forecasting integration queue latency exceeded threshold,Configuration update,false,PRB0001806,ServiceNow,INC120006,IT Service Management,2026-05-01,0.81,true,
INC0120007,2026-04-08,2026-04-09,CI-APP-MANHATTAN-WMS,Distribution Operations,P2,High,Finance Technology,Distribution Operations scheduled job failure delayed downstream reporting,Vendor patch,false,,ServiceNow,INC120007,IT Service Management,2026-05-01,0.81,true,
INC0120008,2026-01-09,2026-01-10,CI-WH-SNOWFLAKE,Enterprise Retail Analytics,P4,Low,Commerce Platform Engineering,Enterprise Retail Analytics authentication timeout affected internal users,Restarted service,false,,ServiceNow,INC120008,IT Service Management,2026-05-01,0.81,true,
INC0120009,2026-02-10,,CI-PLAT-DATABRICKS,Advanced Analytics,P3,Medium,Store Technology,Advanced Analytics API gateway throttling affected service availability,,false,,ServiceNow,INC120009,IT Service Management,2026-05-01,0.81,false,
INC0120010,2026-03-11,2026-03-12,CI-APP-SERVICENOW,IT Service Management,P4,Low,Supply Chain Technology,IT Service Management batch reconciliation variance required manual review,Capacity tuning,false,,ServiceNow,INC120010,IT Service Management,2026-05-01,0.81,true,
INC0120011,2026-04-12,2026-04-13,CI-SEC-OKTA,Identity and Access,P4,Low,Customer Data Platform Office,Identity and Access monitoring alert indicated degraded service response,Configuration update,false,,ServiceNow,INC120011,IT Service Management,2026-05-01,0.81,true,
INC0120012,2026-01-13,2026-01-14,CI-CLOUD-AWS-PROD,Cloud Hosting,P3,Medium,Merchandising Analytics,Cloud Hosting integration queue latency exceeded threshold,Vendor patch,false,PRB0001812,ServiceNow,INC120012,IT Service Management,2026-05-01,0.81,true,
INC0120013,2026-02-14,2026-02-15,CI-CLOUD-AZURE-PROD,Cloud Hosting,P4,Low,Contact Center Technology,Cloud Hosting scheduled job failure delayed downstream reporting,Restarted service,true,,ServiceNow,INC120013,IT Service Management,2026-05-01,0.81,true,
INC0120014,2026-03-15,2026-03-16,CI-APP-WORKDAY-HCM,Workforce Management,P2,High,Cloud Platform Services,Workforce Management authentication timeout affected internal users,Runbook correction,false,,ServiceNow,INC120014,IT Service Management,2026-05-01,0.81,true,
INC0120015,2026-04-16,2026-04-17,CI-APP-ADOBE-COMMERCE,Digital Experience,P3,Medium,Cybersecurity Governance,Digital Experience API gateway throttling affected service availability,Capacity tuning,false,,ServiceNow,INC120015,IT Service Management,2026-05-01,0.81,true,
