data_domain_id,domain_name,data_owner,data_steward,source_systems,critical_data_elements,classification,quality_score,retention_policy,ai_use_allowed,last_quality_review,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
DATA-001,Customer Profile Domain 1,Chief Data Officer,Commerce Platform Engineering,SAP S/4 Finance and Procurement|Customer Care Contact Center,Service ID|Owner|Status|Timestamp,Restricted,0.72,Enterprise retention schedule,Prohibited,2026-04-01,Data catalog,DATA-1,Data Governance,2026-05-01,0.82,true,
DATA-002,Point of Sale Domain 1,VP Store Operations,Store Technology,Oracle Retail Merchandising|Blue Yonder Demand Planning,Service ID|Owner|Status|Timestamp,Internal,0.73,Enterprise retention schedule,Allowed,2026-04-02,Data catalog,DATA-2,Data Governance,2026-05-01,0.82,true,
DATA-003,Inventory Domain 1,VP Supply Chain,Supply Chain Technology,NCR POS Store Platform|Manhattan WMS,Service ID|Owner|Status|Timestamp,Internal,0.74,Enterprise retention schedule,Allowed,2026-04-03,Data catalog,DATA-3,Data Governance,2026-05-01,0.82,true,
DATA-004,Promotion Domain 1,Merchandising Analytics Office,Customer Data Platform Office,Apex Digital Commerce Service|Snowflake Retail Data Cloud,Service ID|Owner|Status|Timestamp,Confidential,0.75,Enterprise retention schedule,Conditional,2026-04-04,Data catalog,DATA-4,Data Governance,2026-05-01,0.82,true,
DATA-005,Supply Chain Domain 1,Chief Data Officer,Merchandising Analytics,Segment Customer Data Platform|Databricks Forecasting Workspace,Service ID|Owner|Status|Timestamp,Restricted,0.76,Enterprise retention schedule,Allowed,2026-04-05,Data catalog,DATA-5,Data Governance,2026-05-01,0.82,true,
DATA-006,Vendor Master Domain 1,VP Store Operations,Contact Center Technology,Customer Care Contact Center|ServiceNow ITSM and CMDB,Service ID|Owner|Status|Timestamp,Internal,0.77,Enterprise retention schedule,Allowed,2026-04-06,Data catalog,DATA-6,Data Governance,2026-05-01,0.82,true,
DATA-007,Store Labor Domain 1,VP Supply Chain,Cloud Platform Services,Blue Yonder Demand Planning|Okta Identity Service,Service ID|Owner|Status|Timestamp,Confidential,0.78,Enterprise retention schedule,Prohibited,2026-04-07,Data catalog,DATA-7,Data Governance,2026-05-01,0.82,true,
DATA-008,Financial Planning Domain 1,Merchandising Analytics Office,Cybersecurity Governance,Manhattan WMS|AWS Production Landing Zone,Service ID|Owner|Status|Timestamp,Internal,0.79,Enterprise retention schedule,Allowed,2026-04-08,Data catalog,DATA-8,Data Governance,2026-05-01,0.82,true,
DATA-009,Customer Profile Domain 2,Chief Data Officer,IT Sourcing,Snowflake Retail Data Cloud|Azure Production Landing Zone,Service ID|Owner|Status|Timestamp,Restricted,0.8,Enterprise retention schedule,Allowed,2026-04-09,Data catalog,DATA-9,Data Governance,2026-05-01,0.82,true,
DATA-010,Point of Sale Domain 2,VP Store Operations,Finance Technology,Databricks Forecasting Workspace|Workday HCM,Service ID|Owner|Status|Timestamp,Confidential,0.81,Enterprise retention schedule,Conditional,2026-04-10,Data catalog,DATA-10,Data Governance,2026-05-01,0.82,true,
