org_unit_id,person_or_group_id,name,role_title,reports_to_id,decision_domain,decision_right,approval_authority,delegated_to_id,escalation_path,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
ORG-EXEC,PERSON-CARLOS,Carlos Rivera,Chief Information Officer,PERSON-CEO,IT modernization and platform readiness,Approve,Executive approval authority for assigned domain,,Executive Steering Committee,Workday,PERSON-CARLOS,People Operations,2026-05-01,0.92,true,
ORG-EXEC,PERSON-LYNNE,Lynne Stratham,Chief Data Officer,PERSON-CARLOS,Customer data and AI governance,Approve,Executive approval authority for assigned domain,,Executive Steering Committee,Workday,PERSON-LYNNE,People Operations,2026-05-01,0.92,true,
ORG-EXEC,PERSON-MARGARET,Margaret Chen,Chief Financial Officer,PERSON-CARLOS,Capital allocation and ROI discipline,Approve,Executive approval authority for assigned domain,,Executive Steering Committee,Workday,PERSON-MARGARET,People Operations,2026-05-01,0.92,true,
ORG-EXEC,PERSON-DAVID,David Okonjo,Chief Operating Officer,PERSON-CARLOS,Store and supply chain operations,Approve,Executive approval authority for assigned domain,,Executive Steering Committee,Workday,PERSON-DAVID,People Operations,2026-05-01,0.92,true,
ORG-EXEC,PERSON-JENNIFER,Jennifer Park,Chief Marketing Officer,PERSON-CARLOS,Customer experience and loyalty,Recommend,Executive approval authority for assigned domain,,Executive Steering Committee,Workday,PERSON-JENNIFER,People Operations,2026-05-01,0.92,true,
ORG-EXEC,PERSON-CTO,Ravi Menon,Chief Technology Officer,PERSON-CARLOS,Architecture and engineering standards,Recommend,Decision forum charter authority,,Executive Steering Committee,Workday,PERSON-CTO,People Operations,2026-05-01,0.92,true,
ORG-GOVERNANCE,GROUP-AIGOV,AI Governance Council,Governance Body,PERSON-CARLOS,AI policy and model monitoring,Approve,Decision forum charter authority,,Executive Steering Committee,Workday,GROUP-AIGOV,People Operations,2026-05-01,0.92,true,
ORG-GOVERNANCE,GROUP-SOURCING,IT Sourcing Council,Governance Body,PERSON-CARLOS,Vendor selection and renewal strategy,Recommend,Decision forum charter authority,,Executive Steering Committee,Workday,GROUP-SOURCING,People Operations,2026-05-01,0.92,true,
ORG-GOVERNANCE,GROUP-CAB,Enterprise Change Advisory Board,Governance Body,PERSON-CARLOS,Production change approvals,Approve,Decision forum charter authority,,Executive Steering Committee,Workday,GROUP-CAB,People Operations,2026-05-01,0.92,true,
ORG-01,GROUP-OPS-01,Store Technology Stewardship Group,Operational Stewardship Group,PERSON-LYNNE,Store Technology data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-1,Store Technology,2026-05-01,0.8,true,
ORG-02,GROUP-OPS-02,Supply Chain Technology Stewardship Group,Operational Stewardship Group,PERSON-LYNNE,Supply Chain Technology data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-2,Supply Chain Technology,2026-05-01,0.8,true,
ORG-03,GROUP-OPS-03,Customer Data Platform Office Stewardship Group,Operational Stewardship Group,PERSON-LYNNE,Customer Data Platform Office data and service ownership,Recommend,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-3,Customer Data Platform Office,2026-05-01,0.8,true,
ORG-04,GROUP-OPS-04,Merchandising Analytics Stewardship Group,Operational Stewardship Group,PERSON-LYNNE,Merchandising Analytics data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-4,Merchandising Analytics,2026-05-01,0.8,true,
ORG-05,GROUP-OPS-05,Contact Center Technology Stewardship Group,Operational Stewardship Group,PERSON-LYNNE,Contact Center Technology data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-5,Contact Center Technology,2026-05-01,0.8,true,
ORG-06,GROUP-OPS-06,Cloud Platform Services Stewardship Group,Operational Stewardship Group,PERSON-LYNNE,Cloud Platform Services data and service ownership,Recommend,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-6,Cloud Platform Services,2026-05-01,0.8,true,
ORG-07,GROUP-OPS-07,Cybersecurity Governance Stewardship Group,Operational Stewardship Group,PERSON-LYNNE,Cybersecurity Governance data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-7,Cybersecurity Governance,2026-05-01,0.8,true,
ORG-08,GROUP-OPS-08,IT Sourcing Stewardship Group,Operational Stewardship Group,PERSON-LYNNE,IT Sourcing data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-8,IT Sourcing,2026-05-01,0.8,true,
ORG-09,GROUP-OPS-09,Finance Technology Stewardship Group,Operational Stewardship Group,PERSON-LYNNE,Finance Technology data and service ownership,Recommend,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-9,Finance Technology,2026-05-01,0.8,true,
ORG-10,GROUP-OPS-10,Commerce Platform Engineering Stewardship Group,Operational Stewardship Group,PERSON-LYNNE,Commerce Platform Engineering data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-10,Commerce Platform Engineering,2026-05-01,0.8,true,
ORG-11,GROUP-OPS-11,Store Technology Stewardship Group,Operational Stewardship Group,PERSON-LYNNE,Store Technology data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-11,Store Technology,2026-05-01,0.8,true,
ORG-12,GROUP-OPS-12,Supply Chain Technology Stewardship Group,Operational Stewardship Group,PERSON-LYNNE,Supply Chain Technology data and service ownership,Recommend,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-12,Supply Chain Technology,2026-05-01,0.8,true,
ORG-13,GROUP-OPS-13,Customer Data Platform Office Stewardship Group,Operational Stewardship Group,PERSON-LYNNE,Customer Data Platform Office data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-13,Customer Data Platform Office,2026-05-01,0.8,true,
ORG-14,GROUP-OPS-14,Merchandising Analytics Stewardship Group,Operational Stewardship Group,PERSON-LYNNE,Merchandising Analytics data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-14,Merchandising Analytics,2026-05-01,0.8,true,
ORG-15,GROUP-OPS-15,Contact Center Technology Stewardship Group,Operational Stewardship Group,PERSON-LYNNE,Contact Center Technology data and service ownership,Recommend,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-15,Contact Center Technology,2026-05-01,0.8,true,
ORG-16,GROUP-OPS-16,Cloud Platform Services Stewardship Group,Operational Stewardship Group,PERSON-LYNNE,Cloud Platform Services data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-16,Cloud Platform Services,2026-05-01,0.8,true,
ORG-17,GROUP-OPS-17,Cybersecurity Governance Stewardship Group,Operational Stewardship Group,PERSON-LYNNE,Cybersecurity Governance data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-17,Cybersecurity Governance,2026-05-01,0.8,true,
ORG-18,GROUP-OPS-18,IT Sourcing Stewardship Group,Operational Stewardship Group,PERSON-LYNNE,IT Sourcing data and service ownership,Recommend,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-18,IT Sourcing,2026-05-01,0.8,true,
