"tenant_key","field","severity","remediation"
"apex-retail","finance_validated_value_usd","warning","Finance validation for Retail Media Optimization AI not loaded; realized value stays blocked until it is."
"apex-retail","finance_validated_value_usd","warning","Finance validation for Inventory Availability and Allocation AI not loaded; realized value stays blocked until it is."
"apex-retail","promised_value_usd","warning","Load a promised-value case for Customer 360 and Loyalty Data Foundation or mark it mandatory/no-value spend."
"apex-retail","finance_validated_value_usd","warning","Finance validation for Customer 360 and Loyalty Data Foundation not loaded; realized value stays blocked until it is."
"apex-retail","promised_value_usd","warning","Load a promised-value case for Retail AI Governance Controls or mark it mandatory/no-value spend."
"apex-retail","finance_validated_value_usd","warning","Finance validation for Retail AI Governance Controls not loaded; realized value stays blocked until it is."
"apex-retail","total_it_budget_fy26","blocking","IT budget envelope not loaded from V3 08/SA02; command-center totals are incomplete."
"first-capital-financial","finance_validated_value_usd","warning","Finance validation for Fraud Copilot Readiness not loaded; realized value stays blocked until it is."
"first-capital-financial","finance_validated_value_usd","warning","Finance validation for AML/KYC Operations Assist not loaded; realized value stays blocked until it is."
"first-capital-financial","promised_value_usd","warning","Load a promised-value case for Customer 360 and Identity Resolution or mark it mandatory/no-value spend."
"first-capital-financial","finance_validated_value_usd","warning","Finance validation for Customer 360 and Identity Resolution not loaded; realized value stays blocked until it is."
"first-capital-financial","finance_validated_value_usd","warning","Finance validation for Loan Operations Automation not loaded; realized value stays blocked until it is."
"first-capital-financial","total_it_budget_fy26","blocking","IT budget envelope not loaded from V3 08/SA02; command-center totals are incomplete."
"lakeshore-holdings","finance_validated_value_usd","warning","Finance validation for HR Service Delivery AI Pilot not loaded; realized value stays blocked until it is."
"lakeshore-holdings","finance_validated_value_usd","warning","Finance validation for Finance Close and AP Automation AI not loaded; realized value stays blocked until it is."
"lakeshore-holdings","finance_validated_value_usd","warning","Finance validation for Legal Intake and Contract Review AI not loaded; realized value stays blocked until it is."
"lakeshore-holdings","promised_value_usd","warning","Load a promised-value case for Industrial Data and AI Foundation or mark it mandatory/no-value spend."
"lakeshore-holdings","finance_validated_value_usd","warning","Finance validation for Industrial Data and AI Foundation not loaded; realized value stays blocked until it is."
"lakeshore-holdings","total_it_budget_fy26","blocking","IT budget envelope not loaded from V3 08/SA02; command-center totals are incomplete."
"lakeshore-industries","finance_validated_value_usd","warning","Finance validation for HR Service Delivery AI Pilot not loaded; realized value stays blocked until it is."
"lakeshore-industries","finance_validated_value_usd","warning","Finance validation for Finance Close and AP Automation AI not loaded; realized value stays blocked until it is."
"lakeshore-industries","finance_validated_value_usd","warning","Finance validation for Legal Intake and Contract Review AI not loaded; realized value stays blocked until it is."
"lakeshore-industries","promised_value_usd","warning","Load a promised-value case for Industrial Data and AI Foundation or mark it mandatory/no-value spend."
"lakeshore-industries","finance_validated_value_usd","warning","Finance validation for Industrial Data and AI Foundation not loaded; realized value stays blocked until it is."
"lakeshore-industries","total_it_budget_fy26","blocking","IT budget envelope not loaded from V3 08/SA02; command-center totals are incomplete."
"meridian-health","promised_value_usd","warning","Load a promised-value case for Data Foundation / Lakehouse Modernization or mark it mandatory/no-value spend."
"meridian-health","finance_validated_value_usd","warning","Finance validation for Data Foundation / Lakehouse Modernization not loaded; realized value stays blocked until it is."
"meridian-health","promised_value_usd","warning","Load a promised-value case for Integration / API Modernization or mark it mandatory/no-value spend."
"meridian-health","finance_validated_value_usd","warning","Finance validation for Integration / API Modernization not loaded; realized value stays blocked until it is."
"meridian-health","promised_value_usd","warning","Load a promised-value case for Cybersecurity / Identity / PHI Control Uplift or mark it mandatory/no-value spend."
"meridian-health","finance_validated_value_usd","warning","Finance validation for Cybersecurity / Identity / PHI Control Uplift not loaded; realized value stays blocked until it is."
"meridian-health","promised_value_usd","warning","Load a promised-value case for EHR / Clinical Analytics Modernization or mark it mandatory/no-value spend."
"meridian-health","finance_validated_value_usd","warning","Finance validation for EHR / Clinical Analytics Modernization not loaded; realized value stays blocked until it is."
"meridian-health","finance_validated_value_usd","warning","Finance validation for Contact Center Platform / Knowledge Modernization not loaded; realized value stays blocked until it is."
"meridian-health","promised_value_usd","warning","Load a promised-value case for Cloud Cost Governance / FinOps or mark it mandatory/no-value spend."
"meridian-health","finance_validated_value_usd","warning","Finance validation for Cloud Cost Governance / FinOps not loaded; realized value stays blocked until it is."
"meridian-health","promised_value_usd","warning","Load a promised-value case for AI Governance / Model Risk Controls or mark it mandatory/no-value spend."
"meridian-health","finance_validated_value_usd","warning","Finance validation for AI Governance / Model Risk Controls not loaded; realized value stays blocked until it is."
"meridian-health","promised_value_usd","warning","Load a promised-value case for Managed Services Optimization or mark it mandatory/no-value spend."
"meridian-health","finance_validated_value_usd","warning","Finance validation for Managed Services Optimization not loaded; realized value stays blocked until it is."
"skyharbor-air","finance_validated_value_usd","warning","Finance validation for Crew Recovery Copilot not loaded; realized value stays blocked until it is."
"skyharbor-air","finance_validated_value_usd","warning","Finance validation for Predictive Maintenance AI not loaded; realized value stays blocked until it is."
"skyharbor-air","total_it_budget_fy26","blocking","IT budget envelope not loaded from V3 08/SA02; command-center totals are incomplete."
