team_id,response_count,flow_score,build_pain_score,legacy_drag_score,notes
TEAM-FCF-CORE,24,5.8,4.1,5.2,Core Banking Platforms reported core banking productivity constraints.
TEAM-FCF-PAYMENTS,25,6.2,4.6,5.65,Payments and Treasury Services reported payments productivity constraints.
TEAM-FCF-DIGITAL,26,6.6,5.1,6.1000000000000005,Digital Banking and Client Experience reported digital productivity constraints.
TEAM-FCF-COMMLEND,27,7,5.6,6.550000000000001,Commercial Lending Technology reported lending productivity constraints.
TEAM-FCF-WEALTH,28,5.8,6.1,7,Wealth and Private Bank Technology reported wealth productivity constraints.
TEAM-FCF-RISK,29,6.2,4.1,7.45,"Risk, Compliance and Financial Crimes reported risk productivity constraints."
TEAM-FCF-DATA,30,6.6,4.6,5.2,Enterprise Data and AI reported data productivity constraints.
TEAM-FCF-CLOUD,31,7,5.1,5.65,Cloud Platform Engineering reported cloud productivity constraints.
TEAM-FCF-CYBER,32,5.8,5.6,6.1000000000000005,Cybersecurity and IAM reported security productivity constraints.
TEAM-FCF-ERP,33,6.2,6.1,6.550000000000001,Finance ERP and Procurement Systems reported erp productivity constraints.
TEAM-FCF-BRANCH,34,6.6,4.1,7,Branch and ATM Technology reported branch productivity constraints.
TEAM-FCF-CONTACT,35,7,4.6,7.45,Contact Center and Servicing reported servicing productivity constraints.
TEAM-FCF-MRM,36,5.8,5.1,5.2,Model Risk and Validation reported model risk productivity constraints.
TEAM-FCF-OPS,37,6.2,5.6,5.65,Deposit and Loan Operations reported operations productivity constraints.
TEAM-FCF-OPENBANK,38,6.6,6.1,6.1000000000000005,Open Banking and API Products reported api productivity constraints.
TEAM-FCF-TREASURY,39,7,4.1,6.550000000000001,Corporate Treasury Technology reported treasury productivity constraints.
TEAM-FCF-MORTGAGE,40,5.8,4.6,7,Mortgage and Consumer Lending reported mortgage productivity constraints.
TEAM-FCF-CARDS,41,6.2,5.1,7.45,Cards and Rewards Technology reported cards productivity constraints.
TEAM-FCF-DEVEX,42,6.6,5.6,5.2,Engineering Productivity Office reported devex productivity constraints.
TEAM-FCF-ITSM,43,7,6.1,5.65,"ITSM, Observability and SRE reported itsm productivity constraints."
TEAM-FCF-REG,44,5.8,4.1,6.1000000000000005,Regulatory Remediation PMO reported regulatory productivity constraints.
TEAM-FCF-VENDOR,45,6.2,4.6,6.550000000000001,Vendor and Sourcing Technology reported procurement productivity constraints.
