vendor_id,vendor_name,category,annual_value_usd,renewal_date,exit_terms,ai_usage_clauses,data_rights,notes
SHA-VEND-001,IBM,cloud,280000000,2026-01-01,Transition rights exist but acceptance criteria and knowledge-transfer evidence are contested.,"AI usage permitted with audit, indemnity, and no-training restrictions",client-owned operational data; vendor-derived accelerators require review,"IBM modernization scope, productivity, and knowledge-transfer leverage point."
SHA-VEND-002,AWS,SI,180000000,2027-02-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-003,Salesforce,observability,77500000,2028-03-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-004,Microsoft,security,76050000,2026-04-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-005,Amadeus,PSS,74600000,2027-05-01,standard 90-180 day notice,"AI usage permitted with audit, indemnity, and no-training restrictions",client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-006,Sabre,MRO,73150000,2028-06-01,90-day termination for convenience unavailable; 12-month step-down required.,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-007,AMOS Aviation,loyalty,71700000,2026-07-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-008,GE Digital,data_platform,70250000,2027-08-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-009,Honeywell Aerospace,AI_tooling,68800000,2028-09-01,standard 90-180 day notice,"AI usage permitted with audit, indemnity, and no-training restrictions",client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-010,Boeing Digital,contact_center,67350000,2026-10-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-011,Datadog,payment,65900000,2027-11-01,90-day termination for convenience unavailable; 12-month step-down required.,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-012,Splunk,GDS,64450000,2028-12-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-013,Wiz,cloud,63000000,2026-01-01,standard 90-180 day notice,"AI usage permitted with audit, indemnity, and no-training restrictions",client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-014,CrowdStrike,SI,61550000,2027-02-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-015,Genesys,observability,60100000,2028-03-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-016,Adyen,security,58650000,2026-04-01,90-day termination for convenience unavailable; 12-month step-down required.,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-017,Snowflake,PSS,57200000,2027-05-01,standard 90-180 day notice,"AI usage permitted with audit, indemnity, and no-training restrictions",client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-018,Databricks,MRO,55750000,2028-06-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-019,Anthropic,loyalty,54300000,2026-07-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-020,OpenAI,data_platform,52850000,2027-08-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-021,GitHub,AI_tooling,51400000,2028-09-01,90-day termination for convenience unavailable; 12-month step-down required.,"AI usage permitted with audit, indemnity, and no-training restrictions",client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-022,Cursor,contact_center,49950000,2026-10-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-023,Tabnine,payment,48500000,2027-11-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-024,Infosys,GDS,47050000,2028-12-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-025,TCS,cloud,45600000,2026-01-01,standard 90-180 day notice,"AI usage permitted with audit, indemnity, and no-training restrictions",client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-026,Accenture,SI,44150000,2027-02-01,90-day termination for convenience unavailable; 12-month step-down required.,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-027,ServiceNow,observability,42700000,2028-03-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-028,Okta,security,41250000,2026-04-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-029,Palo Alto Networks,PSS,39800000,2027-05-01,standard 90-180 day notice,"AI usage permitted with audit, indemnity, and no-training restrictions",client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
SHA-VEND-030,Akamai,MRO,38350000,2028-06-01,standard 90-180 day notice,AI clauses not yet modernized,client-owned operational data; vendor-derived accelerators require review,SkyHarbor vendor portfolio record.
