route,view_or_section,element,literal_text,type,verdict,rationale
/source + /source/queue,page,route duplication,"Decision Queue rendered at both /source and /source/queue",route,DELETE,"Two routes render the identical SourceDecisionQueueView. Collapse to one canonical home; redirect the other."
/source,decision card,kind label,"Renewal | Auto-renewal trap | Overlap / shelfware | Savings opportunity | Blocked — context gap",badge,KEEP,"Drives the next decision — names what kind of action this is. Load-bearing."
/source,decision card,posture label,"Renegotiate | Consolidate | Right-size | Review | Unblock",badge,KEEP,"The recommended move. This is the act-mode signal; keep."
/source,entry-point rail,CTA links,"I have a vendor | I have a renewal | I have an RFP response | I have a business request | I need to cut spend | I need to compare vendors",button,DEMOTE,"Six entry phrasings compete with the queue for the eye. Collapse to one 'Start' affordance + a picker; the queue is the primary job here."
/source/portfolio,header,eyebrow,"Source · Sourcing portfolio",title,MERGE,"Redundant with the top-bar context 'Source · N events' and the H1. One source of page identity, not three."
/source/portfolio,header,h1,"Sourcing events",title,KEEP,"Page identity. Keep one H1."
/source/portfolio,header,subline,"N events across M tenants. K need your attention today.",helper,KEEP,"This is the one-sentence narrative — the best line on the page. Keep; make it the hero."
/source/portfolio,top bar,context,"Source · N events",badge,MERGE,"Count duplicated in subline and SubHeader result count. Pick one count conveyor."
/source/portfolio,scorecard,Total value,"Total value · N sourcing events",counter,KEEP,"Executive anchor metric."
/source/portfolio,scorecard,Open pipeline,"Open pipeline · N active or waiting events",counter,MERGE,"Overlaps 'Active events' + 'Waiting' below. Three metrics describe the same pipeline split."
/source/portfolio,scorecard,Active events,"Active events · moving through gates",counter,MERGE,"Fold into a single pipeline-health metric with Waiting."
/source/portfolio,scorecard,Waiting,"Waiting · client, vendor, or executive hold",counter,MERGE,"See above; the at-stake story is what matters, not three count tiles."
/source/portfolio,scorecard,At-risk exposure,"At-risk exposure · N events need attention",counter,KEEP,"The 'what needs me' metric — highest signal. Promote."
/source/portfolio,scorecard,Oldest stage age,"Oldest stage age · N waiting · M completed",counter,DEMOTE,"Detail metric; move into table sort/column, not a headline tile."
/source/portfolio,sub-header,result count,"N of M events",counter,MERGE,"Third place the event count appears on one screen. Keep only here (next to the filter), drop from top bar + subline."
/source/portfolio,sub-header,search,"Search events, codes, owners…",filter,KEEP,"Power-user load-bearing."
/source/portfolio,sub-header,view switcher,"Portfolio view · Table | Kanban | Value chart",filter,DEMOTE,"Three view modes for one operator. Default to Table; demote Kanban/Value chart behind an overflow. Most users never switch."
/source/events,header,eyebrow,"Source events portfolio",title,DELETE,"This entire page duplicates /source/portfolio with a different vocabulary. Consolidate the two portfolio pages."
/source/events,header,h1,"IT sourcing operating queue",title,DELETE,"Second name for 'Sourcing events'. One portfolio page, one name."
/source/events,header,subline,"Nexus leads the IT sourcing queue by naming the next sourcing move, the evidence behind it, and the gate that could block it. The table is supporting evidence: lifecycle, owner, linked program, value exposure, blocker, aging, and next action.",helper,DELETE,"39 words explaining the table instead of showing it. Explain-mode. Delete on consolidation."
/source/events,scorecard,Events,"Events · N active",counter,DELETE,"Different KPI vocabulary than /source/portfolio for identical data. Pick one scorecard."
/source/events,scorecard,Waiting,"Waiting · client, vendor, or owner hold",counter,DELETE,"Duplicate of portfolio Waiting with reworded detail."
/source/events,scorecard,Blocked,"Blocked · gate or evidence pressure visible",counter,DELETE,"Duplicate concept of 'At-risk exposure'."
/source/events,scorecard,Linked programs,"Linked programs · deterministic program hints",counter,DELETE,"'deterministic program hints' is internal jargon; metric is low-signal for the operator."
/source/events,scorecard,Value at stake,"Value at stake · seeded projected exposure",counter,DELETE,"'seeded projected exposure' admits the data is seeded — promise-asymmetry. Duplicate of Total value."
/source/events,CTA,start button,"Start IT sourcing event",button,MERGE,"Portfolio says 'New sourcing event'; this says 'Start IT sourcing event'. One verb for the same action across the surface."
/source/new,context strip,tokens,"{client} · New sourcing event · N of M captured",badge,KEEP,"Compact, act-relevant progress. Keep."
/source/new,header,eyebrow,"Step 0 · Sentinel",title,DEMOTE,"'Step 0' is internal stage-machine numbering; 'Sentinel' is the agent codename. Reword to plain 'New event'."
/source/new,header,heading,"Sourcing event intake",title,KEEP,"Page identity."
/source/new,header,subhead,"Tell Sentinel your sourcing situation in plain language — the brief on the right fills as you talk. Override any field manually if Sentinel got it wrong. Trigger is the only field required to open the event canvas.",helper,DEMOTE,"40 words; says the same thing as the agent's initial chat quote. Trim to one line; the chat already greets the user."
/source/new,capture queue,section label,"Capture to move forward",heading,MERGE,"Duplicates the 'Event facts' section and the per-field chips. The capture queue and the field list show the same completion state twice."
/source/new,capture queue,next-best line,"Next best capture: {field}.",helper,MERGE,"Same info as the required-field asterisk + chip. One progress conveyor."
/source/new,field chip,agent-needs label,"Sentinel needs | Steward needs | Atlas needs",badge,DELETE,"Internal agent codenames leaked as field-ownership labels. Reword to 'Needed' / 'Optional' — the buyer doesn't know who Steward is."
/source/new,field chip,captured label,"Captured | From chat | Required | Optional | Needed",badge,MERGE,"Five chip states for a binary (filled / not). Collapse to filled vs needed; 'From chat' is a provenance detail → tooltip."
/source/new,category picker,summary,"Sourcing category — Optional. Sentinel can infer this after the intake facts are clear.",helper,KEEP,"Already correctly demoted into a collapsed <details>. Good pattern."
/source/new,guidance cards,Agent guidance,"Sentinel · Chat-driven brief … Sentinel · Five fields … Sentinel · Evidence caution …",helper,DEMOTE,"Three stacked instruction cards repeat the subhead. Move to a single dismissible first-run hint."
/source/new,related context,empty state,"As Sentinel cites vendors, systems, owners, and dollar amounts during the conversation, they will surface here so you can see the tenant context grounding the brief.",empty,KEEP,"Good empty state — tells the user what will fill the space. Trim slightly."
/source/new,submit,primary button,"Open sourcing event → | Opening event canvas…",button,KEEP,"The one primary action. Squint test passes."
/source/events/[eventId],EventIdStrip,breadcrumb,"Source › {tenant} › {code}",title,KEEP,"Standard breadcrumb. Keep."
/source/events/[eventId],EventIdStrip,metadata,"{archetype} · {rigor: Enhanced|Strategic|Standard} · Owner: {owner}",helper,KEEP,"Identity metadata; load-bearing."
/source/events/[eventId],EventIdStrip,report actions,"CXO Report | PPTX | Download Deal Pack",button,DEMOTE,"Three export buttons always visible regardless of stage/readiness. Move under one 'Export ▾' until artifacts exist."
/source/events/[eventId],EventIdStrip,status dot,"{statusLabel}",badge,KEEP,"Canonical event status. Keep — but make it THE status (see merges below)."
/source/events/[eventId],stage rail,11 nodes,"01 Strategy … 11 Value (all 11 always shown)",filter,DEMOTE,"All 11 stages render for every event even when half are gated/future. Show done + current + next; collapse the rest behind 'All stages'. (Validates your hypothesis.)"
/source/events/[eventId],context strip,eyebrow,"Step {N} · Readiness {u}/{t} · Artifacts {a}/{T} · Evidence {n} sources",counter,MERGE,"This strip re-states what the tab badges already show (Gate {met}/{total}, Evidence {usable}/{total}, Document count). Redundant status conveyance — pick the tab badges OR the strip, not both."
/source/events/[eventId],workspace tabs,tab labels,"Document {count} | Gate {met}/{total} | Evidence {usable}/{total} | Log",filter,KEEP,"Tab badges are the canonical per-tab status. Keep these and delete the duplicate context strip."
/source/events/[eventId],Document tab,eyebrow+h2,"Artifacts · {stage} / {count} artifact(s) for {stage}",heading,MERGE,"Eyebrow and H2 both name the stage. One heading."
/source/events/[eventId],Document tab,empty state,"No artifacts scaffolded for {stage}. Canvas substrate is seeded but empty. Run the backfill command to hydrate artifact states. (npm run db:backfill:source-canvas)",empty,DELETE,"Dev command + 'substrate'/'hydrate' jargon shown to users. Replace with calm next-action: 'No documents yet for this stage. They'll appear as Sentinel drafts them.'"
