week,team_id,deploys_per_week,lead_time_hours,mttr_hours,change_failure_rate_pct
2026-W04,TEAM-MAINFRAME-LEGACY,0.20,652,14,22
2026-W04,TEAM-SAP-CORE,0.51,489,8,18
2026-W04,TEAM-ORDER-LEGACY,1.22,210,6,14
2026-W04,TEAM-STORE-TECH,2.13,116,4,11
2026-W04,TEAM-COMMERCE,8.53,35,3,12
2026-W04,TEAM-ORDER-MODERN,14.41,16,1.5,6
2026-W04,TEAM-CHECKOUT-DTC,18.37,8,1,4
2026-W04,TEAM-DTC-WEB,12.79,17,1.5,5
2026-W04,TEAM-MOBILE,0.61,326,4,9
2026-W04,TEAM-ML-COMMERCE,6.29,29,2,7
2026-W04,TEAM-DEMAND-PLANNING,1.83,116,4,11
2026-W04,TEAM-DATA-PLATFORM,4.87,35,2,8
2026-W04,TEAM-PLATFORM-OBS,3.65,23,2,6
2026-W04,TEAM-STORE-EDGE,0.41,326,6,13
