week,team_id,deploys_per_week,lead_time_hours,mttr_hours,change_failure_rate_pct
2026-W03,TEAM-MAINFRAME-LEGACY,0.20,659,14,22
2026-W03,TEAM-SAP-CORE,0.50,494,8,18
2026-W03,TEAM-ORDER-LEGACY,1.20,212,6,14
2026-W03,TEAM-STORE-TECH,2.10,118,4,11
2026-W03,TEAM-COMMERCE,8.40,35,3,12
2026-W03,TEAM-ORDER-MODERN,14.20,16,1.5,6
2026-W03,TEAM-CHECKOUT-DTC,18.10,8,1,4
2026-W03,TEAM-DTC-WEB,12.60,18,1.5,5
2026-W03,TEAM-MOBILE,0.60,329,4,9
2026-W03,TEAM-ML-COMMERCE,6.20,29,2,7
2026-W03,TEAM-DEMAND-PLANNING,1.80,118,4,11
2026-W03,TEAM-DATA-PLATFORM,4.80,35,2,8
2026-W03,TEAM-PLATFORM-OBS,3.60,24,2,6
2026-W03,TEAM-STORE-EDGE,0.40,329,6,13
