week,team_id,deploys_per_week,lead_time_hours,mttr_hours,change_failure_rate_pct
2026-W02,TEAM-MAINFRAME-LEGACY,0.20,665,14,22
2026-W02,TEAM-SAP-CORE,0.49,499,8,18
2026-W02,TEAM-ORDER-LEGACY,1.18,214,6,14
2026-W02,TEAM-STORE-TECH,2.07,119,4,11
2026-W02,TEAM-COMMERCE,8.27,36,3,12
2026-W02,TEAM-ORDER-MODERN,13.99,16,1.5,6
2026-W02,TEAM-CHECKOUT-DTC,17.83,8,1,4
2026-W02,TEAM-DTC-WEB,12.41,18,1.5,5
2026-W02,TEAM-MOBILE,0.59,333,4,9
2026-W02,TEAM-ML-COMMERCE,6.11,30,2,7
2026-W02,TEAM-DEMAND-PLANNING,1.77,119,4,11
2026-W02,TEAM-DATA-PLATFORM,4.73,36,2,8
2026-W02,TEAM-PLATFORM-OBS,3.55,24,2,6
2026-W02,TEAM-STORE-EDGE,0.39,333,6,13
