metric_id,platform_id,period,metric_name,value,unit,capacity_pct,notes
SHA-VOL-001,SHA-APP-001,2026-05,daily_pnr_transactions,28600000,txn/day,78,PSS transaction volume remains mainframe-centered
SHA-VOL-002,SHA-APP-016,2026-05,active_edw_tables,4800,tables,64,Teradata Vantage on AWS current state
SHA-VOL-003,SHA-APP-016,2026-05,monthly_scheduled_workloads,92000,jobs/month,72,"Includes ELT, regulatory, loyalty, revenue management"
SHA-VOL-004,SHA-APP-017,2026-05,production_sas_flows,380,flows,81,SAS footprint remains large
SHA-VOL-005,SHA-APP-020,2026-05,tableau_dashboards,740,dashboards,69,Certified content coverage only 54%
SHA-VOL-006,SHA-APP-010,2026-05,digital_sessions_monthly,184000000,sessions/month,76,Mobile/web commerce
SHA-VOL-007,SHA-APP-005,2026-05,irops_recovery_decisions,128000,decisions/month,92,Manual recovery decisions during disruption peaks
SHA-VOL-100,SHA-APP-001,2026-05,monthly_users,2370,users,30,Volumetric baseline for SHARES-like Passenger Service System
SHA-VOL-101,SHA-APP-002,2026-05,daily_transactions,3740,txn/day,31,Volumetric baseline for Departure Control Mainframe
SHA-VOL-102,SHA-APP-003,2026-05,batch_jobs,5110,jobs/month,32,Volumetric baseline for Revenue Accounting Settlement
SHA-VOL-103,SHA-APP-004,2026-05,api_calls,6480,calls/day,33,Volumetric baseline for Crew Legality and Pairing
SHA-VOL-104,SHA-APP-005,2026-05,incidents,7850,incidents/month,34,Volumetric baseline for Operations Control Center Recovery
SHA-VOL-105,SHA-APP-006,2026-05,monthly_users,9220,users,35,Volumetric baseline for Flight Planning and Dispatch
SHA-VOL-106,SHA-APP-007,2026-05,daily_transactions,10590,txn/day,36,Volumetric baseline for Aircraft Maintenance System
SHA-VOL-107,SHA-APP-008,2026-05,batch_jobs,11960,jobs/month,37,Volumetric baseline for Baggage Reconciliation and Tracking
SHA-VOL-108,SHA-APP-009,2026-05,api_calls,13330,calls/day,38,Volumetric baseline for Fly SkyHarbor Mobile App
SHA-VOL-109,SHA-APP-010,2026-05,incidents,14700,incidents/month,39,Volumetric baseline for Digital Commerce Platform
SHA-VOL-110,SHA-APP-011,2026-05,monthly_users,16070,users,40,Volumetric baseline for Loyalty Member Platform
SHA-VOL-111,SHA-APP-012,2026-05,daily_transactions,17440,txn/day,41,Volumetric baseline for Salesforce Service Cloud
SHA-VOL-112,SHA-APP-013,2026-05,batch_jobs,18810,jobs/month,42,Volumetric baseline for Salesforce Marketing Cloud
SHA-VOL-113,SHA-APP-014,2026-05,api_calls,20180,calls/day,43,Volumetric baseline for Adobe Experience Manager / Analytics
SHA-VOL-114,SHA-APP-015,2026-05,incidents,21550,incidents/month,44,Volumetric baseline for Enterprise CDP
SHA-VOL-115,SHA-APP-016,2026-05,monthly_users,22920,users,45,Volumetric baseline for Teradata Vantage on AWS EDW
SHA-VOL-116,SHA-APP-017,2026-05,daily_transactions,24290,txn/day,46,Volumetric baseline for SAS Grid Analytics
SHA-VOL-117,SHA-APP-018,2026-05,batch_jobs,25660,jobs/month,47,Volumetric baseline for IBM DataStage
SHA-VOL-118,SHA-APP-019,2026-05,api_calls,27030,calls/day,48,Volumetric baseline for Informatica PowerCenter / IDMC
SHA-VOL-119,SHA-APP-020,2026-05,incidents,28400,incidents/month,49,Volumetric baseline for Tableau Enterprise
SHA-VOL-120,SHA-APP-021,2026-05,monthly_users,29770,users,50,Volumetric baseline for SAP ERP ECC / S4 Transition
SHA-VOL-121,SHA-APP-022,2026-05,daily_transactions,31140,txn/day,51,Volumetric baseline for ServiceNow ITSM / GRC / HRSD
SHA-VOL-122,SHA-APP-100,2026-05,batch_jobs,32510,jobs/month,52,Volumetric baseline for SkyHarbor airport ops service 001
SHA-VOL-123,SHA-APP-101,2026-05,api_calls,33880,calls/day,53,Volumetric baseline for SkyHarbor cargo service 002
SHA-VOL-124,SHA-APP-102,2026-05,incidents,35250,incidents/month,54,Volumetric baseline for SkyHarbor premium lounge service 003
SHA-VOL-125,SHA-APP-103,2026-05,monthly_users,36620,users,55,Volumetric baseline for SkyHarbor deicing service 004
SHA-VOL-126,SHA-APP-104,2026-05,daily_transactions,37990,txn/day,56,Volumetric baseline for SkyHarbor gate planning service 005
SHA-VOL-127,SHA-APP-105,2026-05,batch_jobs,39360,jobs/month,57,Volumetric baseline for SkyHarbor refunds service 006
SHA-VOL-128,SHA-APP-106,2026-05,api_calls,40730,calls/day,58,Volumetric baseline for SkyHarbor vouchers service 007
SHA-VOL-129,SHA-APP-107,2026-05,incidents,42100,incidents/month,59,Volumetric baseline for SkyHarbor travel docs service 008
