source_id,spend_id,initiative_id,vendor,product_or_service,spend_type,monthly_spend_usd,annualized_spend_usd,renewal_date,unit_economics_metric,unit_economics_value,owner_role,evidence_state
src-vendors,SPEND-FIS,,FIS,core_ams,core_ams,3166667,38000000,2027-02-15,annual_contract_value_usd,38000000,CIO,review_required
src-vendors,SPEND-DXC,,DXC,mainframe_ams,mainframe_ams,2166667,26000000,2026-11-30,annual_contract_value_usd,26000000,CIO,usable
src-vendors,SPEND-ACCENTURE,,Accenture,si_advisory,si_advisory,1500000,18000000,2026-09-30,annual_contract_value_usd,18000000,CIO,usable
src-vendors,SPEND-DELOITTE,,Deloitte,risk_consulting,risk_consulting,1166667,14000000,2026-08-31,annual_contract_value_usd,14000000,CRO,review_required
src-vendors,SPEND-SALESFORCE,,Salesforce,saas_crm,saas_crm,1016667,12200000,2027-01-31,annual_contract_value_usd,12200000,CDO,usable
src-vendors,SPEND-NICE,,NICE,financial_crimes,financial_crimes,933333,11200000,2026-12-31,annual_contract_value_usd,11200000,CRO,review_required
src-vendors,SPEND-SAP,,SAP,erp_license,erp_license,816667,9800000,2027-05-31,annual_contract_value_usd,9800000,CFO,usable
src-vendors,SPEND-ACI-WORLDWIDE,,ACI Worldwide,payments_license,payments_license,716667,8600000,2026-10-31,annual_contract_value_usd,8600000,SVP Payments,review_required
src-vendors,SPEND-SNOWFLAKE,,Snowflake,data_platform,data_platform,633333,7600000,2026-07-31,annual_contract_value_usd,7600000,CDAO,usable
src-vendors,SPEND-DATABRICKS,,Databricks,ai_platform,ai_platform,533333,6400000,2027-03-31,annual_contract_value_usd,6400000,CDAO,review_required
src-vendors,SPEND-MICROSOFT,,Microsoft,saas,saas,601667,7220000,2026-11-15,annual_contract_value_usd,7220000,SVP Retail Bank Ops,usable
src-vendors,SPEND-AWS,,AWS,license,license,58083,697000,2027-12-15,annual_contract_value_usd,697000,SVP Client Service,usable
src-vendors,SPEND-GOOGLE-CLOUD,,Google Cloud,managed_service,managed_service,114500,1374000,2026-01-15,annual_contract_value_usd,1374000,Chief Model Risk Officer,review_required
src-vendors,SPEND-ORACLE,,Oracle,si_advisory,si_advisory,170917,2051000,2027-02-15,annual_contract_value_usd,2051000,COO,usable
src-vendors,SPEND-WORKDAY,,Workday,data_feed,data_feed,227333,2728000,2026-03-15,annual_contract_value_usd,2728000,Chief Product Officer,usable
src-vendors,SPEND-SERVICENOW,,ServiceNow,saas,saas,283750,3405000,2027-04-15,annual_contract_value_usd,3405000,Treasurer,usable
src-vendors,SPEND-SPLUNK,,Splunk,license,license,340167,4082000,2026-05-15,annual_contract_value_usd,4082000,SVP Consumer Lending CIO,usable
src-vendors,SPEND-CROWDSTRIKE,,CrowdStrike,managed_service,managed_service,396583,4759000,2027-06-15,annual_contract_value_usd,4759000,SVP Cards,usable
