source_id,initiative_id,initiative_name,category,stage,owner,sponsor,vendor,tool_or_system,impacted_personas,promised_benefit,target_metric_key,baseline_value,target_value,target_date,status_flag,evidence_state
src-portfolio,FCF-INIT-BRANCH-VISION-AI,Branch queue vision AI pilot,AI initiative,Pilot,SVP Retail Bank Ops,SVP Retail Bank Ops,NCR,NCR,SVP Retail Bank Ops,KILL CANDIDATE: branch pilots show low teller adoption; privacy review unresolved; no verified branch throughput value.,value_avoidance_or_stop_loss,1900000,600000,2026-12-31,Kill,review_required
src-portfolio,FCF-INIT-CONTACT-SENTIMENT-V1,Contact center sentiment AI v1,AI initiative,Run,SVP Client Service,SVP Client Service,Genesys,Genesys,SVP Client Service,KILL CANDIDATE: canned sentiment scores created coaching risk with no call-time reduction.,value_avoidance_or_stop_loss,2400000,800000,2026-12-31,Kill,review_required
src-portfolio,FCF-INIT-WEALTH-COPILOT-SHADOW,Wealth advisor copilot shadow rollout,AI initiative,Pilot,SVP Wealth Technology,SVP Wealth Technology,Microsoft,Microsoft,SVP Wealth Technology,KILL CANDIDATE: unapproved client-note data path and FINRA supervision gaps.,value_avoidance_or_stop_loss,3100000,1700000,2026-12-31,Kill,review_required
src-portfolio,FCF-INIT-FEDNOW-RTP-MODERNIZATION,FedNow and RTP modernization,technology modernization,Build,SVP Payments Technology,SVP Payments Technology,ACI Worldwide,ACI Worldwide,SVP Payments Technology,"RESTRUCTURE CANDIDATE: commercial-deposit value is real but core API, sanction screening and 24x7 ops gates are unresolved.",benefit_realization_usd,18600000,42000000,2026-12-31,Restructure,review_required
src-portfolio,FCF-INIT-AML-TRIAGE-AI,AML case triage automation,AI initiative,Pilot,Chief Risk Officer,Chief Risk Officer,NICE,NICE,Chief Risk Officer,"RESTRUCTURE CANDIDATE: case backlog value clear, but SR 11-7 validation evidence is incomplete.",benefit_realization_usd,8900000,21000000,2026-12-31,Restructure,review_required
src-portfolio,FCF-INIT-CORE-BANKING-FUTURE,Core banking future decision,technology modernization,Scope,CIO,CIO,FIS,FIS,CIO,CONTESTED: CIO wants RFP now; Sentinel should hold until data migration and OCC remediation sequencing are resolved.,benefit_realization_usd,14000000,0,2026-12-31,Hold,review_required
src-portfolio,FCF-INIT-FRAUD-GRAPH-V2,Fraud graph analytics v2,AI initiative,Scale,Chief Risk Officer,Chief Risk Officer,Databricks,Databricks,Chief Risk Officer,FALSE-POSITIVE-DO-NOT-FLAG: high spend but verified fraud-loss avoidance and engaged sponsor.,benefit_realization_usd,7300000,28600000,2026-12-31,Continue,usable
src-portfolio,FCF-INIT-008,SAP S/4HANA finance future decision,technology modernization,Scope,SVP Wealth Technology,SVP Wealth Technology,FIS,FIS,SVP Wealth Technology,SAP S/4HANA finance future decision is tied to Wealth and Private Bank Technology with watch posture and board/CXO evidence requirements.,benefit_realization_usd,1200000,2500000,2026-12-31,Watch,received
src-portfolio,FCF-INIT-009,Digital account opening abandonment recovery,technology modernization,Pilot,Chief Risk Officer,Chief Risk Officer,ACI Worldwide,ACI Worldwide,Chief Risk Officer,"Digital account opening abandonment recovery is tied to Risk, Compliance and Financial Crimes with healthy posture and board/CXO evidence requirements.",benefit_realization_usd,1991000,3990000,2026-12-31,Healthy,usable
src-portfolio,FCF-INIT-010,Commercial credit memo automation,AI initiative,Build,Chief Data and Analytics Officer,Chief Data and Analytics Officer,Internal,Internal,Chief Data and Analytics Officer,Commercial credit memo automation is tied to Enterprise Data and AI with healthy posture and board/CXO evidence requirements.,benefit_realization_usd,2782000,5480000,2026-12-31,Healthy,usable
src-portfolio,FCF-INIT-011,Treasury liquidity forecast modernization,technology modernization,Scale,SVP Infrastructure,SVP Infrastructure,nCino,nCino,SVP Infrastructure,Treasury liquidity forecast modernization is tied to Cloud Platform Engineering with healthy posture and board/CXO evidence requirements.,benefit_realization_usd,3573000,6970000,2026-12-31,Healthy,usable
src-portfolio,FCF-INIT-012,KYC beneficial ownership refresh,technology modernization,Run,CISO,CISO,Broadridge,Broadridge,CISO,KYC beneficial ownership refresh is tied to Cybersecurity and IAM with healthy posture and board/CXO evidence requirements.,benefit_realization_usd,4364000,8460000,2026-12-31,Healthy,usable
src-portfolio,FCF-INIT-013,Model inventory evidence automation,AI initiative,Scope,CFO,CFO,NICE,NICE,CFO,Model inventory evidence automation is tied to Finance ERP and Procurement Systems with restructure posture and board/CXO evidence requirements.,benefit_realization_usd,5155000,9950000,2026-12-31,Restructure,review_required
src-portfolio,FCF-INIT-014,M365 Copilot controlled rollout,AI initiative,Pilot,SVP Retail Bank Ops,SVP Retail Bank Ops,Snowflake,Snowflake,SVP Retail Bank Ops,M365 Copilot controlled rollout is tied to Branch and ATM Technology with healthy posture and board/CXO evidence requirements.,benefit_realization_usd,5946000,11440000,2026-12-31,Healthy,usable
src-portfolio,FCF-INIT-015,Cloud exit-risk reduction,technology modernization,Build,SVP Client Service,SVP Client Service,Palo Alto Networks,Palo Alto Networks,SVP Client Service,Cloud exit-risk reduction is tied to Contact Center and Servicing with healthy posture and board/CXO evidence requirements.,benefit_realization_usd,6737000,12930000,2026-12-31,Healthy,usable
src-portfolio,FCF-INIT-016,ServiceNow CMDB truth remediation,technology modernization,Scale,Chief Model Risk Officer,Chief Model Risk Officer,SAP,SAP,Chief Model Risk Officer,ServiceNow CMDB truth remediation is tied to Model Risk and Validation with watch posture and board/CXO evidence requirements.,benefit_realization_usd,7528000,14420000,2026-12-31,Watch,received
src-portfolio,FCF-INIT-017,Data lineage for regulatory reports,technology modernization,Run,COO,COO,NCR,NCR,COO,Data lineage for regulatory reports is tied to Deposit and Loan Operations with healthy posture and board/CXO evidence requirements.,benefit_realization_usd,8319000,15910000,2026-12-31,Healthy,usable
src-portfolio,FCF-INIT-018,Debit-card disputes automation,AI initiative,Scope,Chief Product Officer,Chief Product Officer,Genesys,Genesys,Chief Product Officer,Debit-card disputes automation is tied to Open Banking and API Products with restructure posture and board/CXO evidence requirements.,benefit_realization_usd,9110000,17400000,2026-12-31,Restructure,review_required
src-portfolio,FCF-INIT-019,Mortgage document intelligence,technology modernization,Pilot,Treasurer,Treasurer,SAS,SAS,Treasurer,Mortgage document intelligence is tied to Corporate Treasury Technology with healthy posture and board/CXO evidence requirements.,benefit_realization_usd,9901000,18890000,2026-12-31,Healthy,usable
src-portfolio,FCF-INIT-020,Branch appointment and workforce optimization,technology modernization,Build,SVP Consumer Lending CIO,SVP Consumer Lending CIO,FIS,FIS,SVP Consumer Lending CIO,Branch appointment and workforce optimization is tied to Mortgage and Consumer Lending with healthy posture and board/CXO evidence requirements.,benefit_realization_usd,10692000,20380000,2026-12-31,Healthy,usable
src-portfolio,FCF-INIT-021,Open banking developer portal,technology modernization,Scale,SVP Cards,SVP Cards,ACI Worldwide,ACI Worldwide,SVP Cards,Open banking developer portal is tied to Cards and Rewards Technology with healthy posture and board/CXO evidence requirements.,benefit_realization_usd,11483000,21870000,2026-12-31,Healthy,usable
