source_id,team,repo,tool_id,current_period_start,current_period_end,deployment_frequency_before,deployment_frequency_after,lead_time_hours_before,lead_time_hours_after,change_failure_rate_pct_before,change_failure_rate_pct_after,mttr_hours_before,mttr_hours_after,sample_size_deploys,evidence_state
src-dora-devex,TEAM-FCF-CORE,team-fcf-core-portfolio,FCF-AI-TOOL-02,2026-01-01,2026-02-08,3,8,30,75,7,4,7,10,6,usable
src-dora-devex,TEAM-FCF-PAYMENTS,team-fcf-payments-portfolio,FCF-AI-TOOL-02,2026-01-01,2026-02-08,7,12,34,79,7,4,7,10,6,usable
src-dora-devex,TEAM-FCF-DIGITAL,team-fcf-digital-portfolio,FCF-AI-TOOL-02,2026-01-01,2026-02-08,6,11,33,78,7,4,7,10,6,usable
src-dora-devex,TEAM-FCF-COMMLEND,team-fcf-commlend-portfolio,FCF-AI-TOOL-02,2026-01-01,2026-02-08,7,12,34,79,7,4,7,10,6,usable
src-dora-devex,TEAM-FCF-WEALTH,team-fcf-wealth-portfolio,FCF-AI-TOOL-02,2026-01-01,2026-02-08,5,10,32,77,7,4,7,10,6,usable
src-dora-devex,TEAM-FCF-RISK,team-fcf-risk-portfolio,FCF-AI-TOOL-02,2026-01-01,2026-02-08,3,8,30,75,7,4,7,10,6,usable
src-dora-devex,TEAM-FCF-DATA,team-fcf-data-portfolio,FCF-AI-TOOL-02,2026-01-01,2026-02-08,3,8,30,75,7,4,7,10,6,usable
src-dora-devex,TEAM-FCF-CLOUD,team-fcf-cloud-portfolio,FCF-AI-TOOL-02,2026-01-01,2026-02-08,4,9,31,76,7,4,7,10,6,usable
src-dora-devex,TEAM-FCF-CYBER,team-fcf-cyber-portfolio,FCF-AI-TOOL-02,2026-01-01,2026-02-08,4,9,31,76,7,4,7,10,6,usable
src-dora-devex,TEAM-FCF-ERP,team-fcf-erp-portfolio,FCF-AI-TOOL-02,2026-01-01,2026-02-08,2,7,29,74,7,4,7,10,6,usable
src-dora-devex,TEAM-FCF-BRANCH,team-fcf-branch-portfolio,FCF-AI-TOOL-02,2026-01-01,2026-02-08,5,10,32,77,7,4,7,10,6,usable
src-dora-devex,TEAM-FCF-CONTACT,team-fcf-contact-portfolio,FCF-AI-TOOL-02,2026-01-01,2026-02-08,6,11,33,78,7,4,7,10,6,usable
src-dora-devex,TEAM-FCF-MRM,team-fcf-mrm-portfolio,FCF-AI-TOOL-02,2026-01-01,2026-02-08,2,7,29,74,7,4,7,10,6,usable
src-dora-devex,TEAM-FCF-OPS,team-fcf-ops-portfolio,FCF-AI-TOOL-02,2026-01-01,2026-02-08,2,7,29,74,7,4,7,10,6,usable
src-dora-devex,TEAM-FCF-OPENBANK,team-fcf-openbank-portfolio,FCF-AI-TOOL-02,2026-01-01,2026-02-08,7,12,34,79,7,4,7,10,6,usable
src-dora-devex,TEAM-FCF-TREASURY,team-fcf-treasury-portfolio,FCF-AI-TOOL-02,2026-01-01,2026-02-08,7,12,34,79,7,4,7,10,6,usable
src-dora-devex,TEAM-FCF-MORTGAGE,team-fcf-mortgage-portfolio,FCF-AI-TOOL-02,2026-01-01,2026-02-08,7,12,34,79,7,4,7,10,6,usable
src-dora-devex,TEAM-FCF-CARDS,team-fcf-cards-portfolio,FCF-AI-TOOL-02,2026-01-01,2026-02-08,4,9,31,76,7,4,7,10,6,usable
src-dora-devex,TEAM-FCF-DEVEX,team-fcf-devex-portfolio,FCF-AI-TOOL-02,2026-01-01,2026-02-08,4,9,31,76,7,4,7,10,6,usable
src-dora-devex,TEAM-FCF-ITSM,team-fcf-itsm-portfolio,FCF-AI-TOOL-02,2026-01-01,2026-02-08,3,8,30,75,7,4,7,10,6,usable
src-dora-devex,TEAM-FCF-REG,team-fcf-reg-portfolio,FCF-AI-TOOL-02,2026-01-01,2026-02-08,2,7,29,74,7,4,7,10,6,usable
src-dora-devex,TEAM-FCF-VENDOR,team-fcf-vendor-portfolio,FCF-AI-TOOL-02,2026-01-01,2026-02-08,5,10,32,77,7,4,7,10,6,usable
