evidence_id,source_id,source_sheet,source_row_number,citation_label,citation_locator,evidence_state,confidence
FCF-EVID-001,FCF-STAGE-SRC-001,../../first-capital-financial-synthetic-v1/00-profile/enterprise-profile.yaml,,../../first-capital-financial-synthetic-v1/00-profile/enterprise-profile.yaml,section,usable,0.86
FCF-EVID-002,FCF-STAGE-SRC-002,../../first-capital-financial-synthetic-v1/01-portfolio/application-portfolio.csv,,../../first-capital-financial-synthetic-v1/01-portfolio/application-portfolio.csv,row,usable,0.86
FCF-EVID-003,FCF-STAGE-SRC-003,../../first-capital-financial-synthetic-v1/01-portfolio/initiatives-active.csv,,../../first-capital-financial-synthetic-v1/01-portfolio/initiatives-active.csv,row,usable,0.86
FCF-EVID-004,FCF-STAGE-SRC-004,../../first-capital-financial-synthetic-v1/01-portfolio/initiatives-closed.csv,,../../first-capital-financial-synthetic-v1/01-portfolio/initiatives-closed.csv,row,usable,0.86
FCF-EVID-005,FCF-STAGE-SRC-005,../../first-capital-financial-synthetic-v1/01-portfolio/integration-topology.json,,../../first-capital-financial-synthetic-v1/01-portfolio/integration-topology.json,section,usable,0.86
FCF-EVID-006,FCF-STAGE-SRC-006,../../first-capital-financial-synthetic-v1/02-financial/capex-opex-summary.csv,,../../first-capital-financial-synthetic-v1/02-financial/capex-opex-summary.csv,row,usable,0.86
FCF-EVID-007,FCF-STAGE-SRC-007,../../first-capital-financial-synthetic-v1/02-financial/initiative-commitments.csv,,../../first-capital-financial-synthetic-v1/02-financial/initiative-commitments.csv,row,usable,0.86
FCF-EVID-008,FCF-STAGE-SRC-008,../../first-capital-financial-synthetic-v1/02-financial/renewal-calendar.csv,,../../first-capital-financial-synthetic-v1/02-financial/renewal-calendar.csv,row,usable,0.86
FCF-EVID-009,FCF-STAGE-SRC-009,../../first-capital-financial-synthetic-v1/02-financial/run-cost-by-application.csv,,../../first-capital-financial-synthetic-v1/02-financial/run-cost-by-application.csv,row,usable,0.86
FCF-EVID-010,FCF-STAGE-SRC-010,../../first-capital-financial-synthetic-v1/03-org/demo-personas.csv,,../../first-capital-financial-synthetic-v1/03-org/demo-personas.csv,row,usable,0.86
FCF-EVID-011,FCF-STAGE-SRC-011,../../first-capital-financial-synthetic-v1/03-org/executive-org-chart.json,,../../first-capital-financial-synthetic-v1/03-org/executive-org-chart.json,section,usable,0.86
FCF-EVID-012,FCF-STAGE-SRC-012,../../first-capital-financial-synthetic-v1/03-org/roles.csv,,../../first-capital-financial-synthetic-v1/03-org/roles.csv,row,usable,0.86
FCF-EVID-013,FCF-STAGE-SRC-013,../../first-capital-financial-synthetic-v1/03-org/teams.csv,,../../first-capital-financial-synthetic-v1/03-org/teams.csv,row,usable,0.86
FCF-EVID-014,FCF-STAGE-SRC-014,../../first-capital-financial-synthetic-v1/04-vendors/infrastructure-contracts.csv,,../../first-capital-financial-synthetic-v1/04-vendors/infrastructure-contracts.csv,row,usable,0.86
FCF-EVID-015,FCF-STAGE-SRC-015,../../first-capital-financial-synthetic-v1/04-vendors/vendor-contracts.csv,,../../first-capital-financial-synthetic-v1/04-vendors/vendor-contracts.csv,row,usable,0.86
FCF-EVID-016,FCF-STAGE-SRC-016,../../first-capital-financial-synthetic-v1/05-dora/dora-baseline.csv,,../../first-capital-financial-synthetic-v1/05-dora/dora-baseline.csv,row,usable,0.86
FCF-EVID-017,FCF-STAGE-SRC-017,../../first-capital-financial-synthetic-v1/06-devex/devex-survey-fy25.csv,,../../first-capital-financial-synthetic-v1/06-devex/devex-survey-fy25.csv,row,usable,0.86
