contract_id,vendor,system_id,contract_type,business_function,annual_value_usd,total_contract_value_usd,start_date,expiry_date,days_to_renewal,auto_renew,owner,sla_uptime_target,sla_response_time,strategic_importance,proposed_action,notes
vc:fcfi:001,FiServ,sys:fcfi:cleartouch,Software License + Maintenance,Enterprise,3200000,12800000,2024-01-01,2028-12-31,975,No,person:fcfi:karen-nakamura,99.9%,4 hours P1,Critical - Replacement target,Negotiate flexible exit terms during core modernization; evaluate walk-away cost,"Incumbent core; replacement under evaluation; early termination fee estimated $4.1M; FiServ aware of evaluation and offering concessions"
vc:fcfi:002,Jack Henry (Banno),sys:fcfi:digital-banking,SaaS Platform,Retail Banking,1800000,5400000,2024-07-01,2027-06-30,426,No,person:fcfi:vincent-morales,99.9%,2 hours P1,High - Evaluate replacement,Evaluate vs. Temenos Infinity as part of core selection; may restructure post-core decision,"Digital banking platform contract renewal decision tied to core banking modernization; Temenos and Finxact both offer native digital banking"
vc:fcfi:003,SS&C Advent (Geneva),sys:fcfi:advent-geneva,Software License + Maintenance,Wealth Management,680000,N/A — perpetual + maintenance,2012-01-01,Perpetual + annual maintenance,N/A — annual renewal,Yes,person:fcfi:diana-stern,99.5%,4 hours P1,High - Replacement target,Evaluate replacement as part of wealth platform consolidation; annual maintenance negotiable,"Annual maintenance growing 4% p.a.; SS&C aware of consolidation evaluation; may offer enhanced integration to retain"
vc:fcfi:004,Salesforce (Financial Services Cloud),sys:fcfi:salesforce-fsc,SaaS,Commercial + Wealth,1240000,2480000,2025-04-01,2027-03-31,337,No,person:fcfi:thomas-yuen,99.9%,4 hours P1,High - Expand or restructure,Expand to unified platform or restructure post-wealth consolidation; negotiate volume discount,"Two separate Salesforce instances (commercial CRM + wealth CRM) — consolidation opportunity; Salesforce AE engaged on expansion pricing"
vc:fcfi:005,Secureworks (Taegis MDR),sys:fcfi:secureworks-soc,Managed Security Service,IT,2100000,4200000,2024-12-01,2026-11-30,216,No,person:fcfi:karen-nakamura,SLA per MSS agreement,15 min P1 alert,High - Renew + expand,Renew with expansion to cover new cloud infrastructure from digital program; negotiate AI-assisted detection SLA,"MTTD improvement attributed primarily to Secureworks; renewal negotiation begins Q3 2026"
vc:fcfi:006,NICE Actimize (BSA/AML),sys:fcfi:actimize,Software License + Maintenance,Compliance,1480000,N/A — multi-year,2015-01-01,2027-06-30,426,No,person:fcfi:patricia-holbrook,99.7%,4 hours P1,Critical - Must enhance,Negotiate enhanced model validation support as part of OCC MRA remediation; evaluate AI/ML upgrade modules,"Annual maintenance + enhanced screening modules added post-exam; model validation engagement needed"
vc:fcfi:007,Qualys,sys:fcfi:qualys,SaaS,IT,180000,360000,2025-02-01,2027-01-31,276,Yes,person:fcfi:karen-nakamura,99.9%,4 hours P1,Medium,Renew; evaluate consolidation with Secureworks capabilities,"Vulnerability management only; Secureworks Taegis has overlapping capability; consolidation evaluation"
vc:fcfi:008,ServiceNow (ITSM),sys:fcfi:servicenow,SaaS,IT,420000,840000,2025-07-01,2027-06-30,427,No,person:fcfi:karen-nakamura,99.9%,2 hours P1,Medium - Expand scope,Expand to include GRC module for regulatory tracking (replace SharePoint tracker); evaluate ITOM expansion,"GRC module would replace fragile SharePoint compliance tracker; $180K incremental annually"
vc:fcfi:009,Workday,sys:fcfi:workday,SaaS,HR,620000,1860000,2023-04-01,2028-03-31,699,No,person:fcfi:aisha-nkosi,99.9%,4 hours P1,High,Renew at contract end; evaluate payroll module adoption (currently ADP),"Payroll still with ADP; migration to Workday Payroll would consolidate HR/payroll; $220K incremental savings estimated"
vc:fcfi:010,Cornerstone OnDemand,sys:fcfi:cornerstone-lms,SaaS,HR / Compliance,240000,240000,2026-01-01,2026-12-31,244,Yes,person:fcfi:aisha-nkosi,99.5%,8 hours P1,Medium,Renew; evaluate compliance training content upgrade for BSA/AML,Annual renewal; BSA content upgrade needed to address OCC training gap
vc:fcfi:011,Orion Advisor Technology,sys:fcfi:orion-wealth,SaaS,Wealth Management,380000,380000,2023-10-01,2026-09-30,154,No,person:fcfi:diana-stern,99.5%,4 hours P1,Medium - Replacement decision pending,Do not auto-renew; decision pending on wealth platform consolidation (Envestnet vs. SS&C),"Orion contract expires 154 days from data date; platform consolidation decision must be made by Q2 2026 or default renewal"
vc:fcfi:012,Bloomberg L.P. (Terminal + PORT),sys:fcfi:bloomberg,Professional service subscription,Risk Management,1440000,1440000,Annual rolling,Annual rolling,Annual,Yes,person:fcfi:marcus-osei,N/A — professional service,N/A,High,Renew; evaluate reduction from 12 to 10 terminals,12 terminals at $120K each; 2 seats consistently underutilized per usage data
vc:fcfi:013,NCR Atleos,sys:fcfi:ncr-atm-mgmt,Hardware + Maintenance,Retail Banking,1800000,N/A — fleet contract,2016-01-01,2027-03-31,336,No,person:fcfi:robert-landon,98.5% fleet uptime,4 hours hardware,High - Refresh needed,Initiate RFP for ATM fleet refresh alongside contract renewal; 47 units avg 8.2 years old,"Fleet age is primary driver of 98.4% vs 99.2% target uptime; full refresh estimated $6.2M capital; phased 3-year program"
vc:fcfi:014,Visa DPS (Debit Issuing),sys:fcfi:visa-dps,Processing Agreement,Retail Banking,2800000,N/A — volume-based,2008-01-01,2028-06-30,789,No,person:fcfi:robert-landon,99.95% network,Per Visa VisaNet SLA,Critical,Renegotiate interchange and processing fees in 2026 cycle,"Volume-based fee; 2028 renegotiation; debit card spend growth gives leverage; Mastercard alternative being evaluated"
vc:fcfi:015,Axiom Software,sys:fcfi:axiom,Software License + Maintenance,Finance,560000,N/A — perpetual + maintenance,2016-06-01,Annual maintenance + SOX support,Annual,Yes,person:fcfi:charlotte-reid,99.9%,4 hours P1,High,Renew; evaluate Automated DFAST and Call Report modules,"Maintenance growing 3% p.a.; automated regulatory reporting modules would reduce 4 manual report processes; $180K incremental"
vc:fcfi:016,Galvanize / Diligent (TeamMate),sys:fcfi:teammate-audit,SaaS,Compliance,148000,296000,2025-07-01,2027-06-30,427,No,person:fcfi:patricia-holbrook,99.5%,8 hours P1,Medium,Renew and expand to GRC module,"Audit management only; GRC module at $80K incremental would provide integrated compliance tracking currently in SharePoint"
vc:fcfi:017,MortgageCadence (LOS),sys:fcfi:mortgage-cadence,SaaS,Retail Banking,480000,960000,2025-01-01,2027-12-31,610,No,person:fcfi:robert-landon,99.7%,4 hours P1,High,Renew; evaluate AI-assisted underwriting modules,"Pull-through rate 67% vs 72% target; AI-assisted underwriting modules available at $120K incremental; evaluation in progress"
vc:fcfi:018,ADP (Payroll),N/A — legacy payroll system,Payroll Processing,HR,380000,380000,Annual,Annual,Annual,Yes,person:fcfi:aisha-nkosi,99.9%,4 hours P1,Medium - Evaluate replacement,Evaluate Workday Payroll migration at next Workday renewal cycle (2028),"Dual-system (Workday HCM + ADP Payroll) is a data integrity risk; migration cost estimated $280K one-time"
vc:fcfi:019,Deloitte (Core Banking Assessment),N/A — consulting,Professional Services — Technology Advisory,IT,1200000,1200000,2025-09-01,2026-03-31,N/A — completed,No,person:fcfi:karen-nakamura,N/A,N/A,Critical — Phase engagement,Potential P2 engagement for vendor selection and implementation planning,"FiServ API assessment completed Q4 2025; vendor selection support engagement under discussion for $1.8M"
vc:fcfi:020,EY (External Audit + SOX),N/A — audit firm,External Audit + SOX 404(b),Finance + Compliance,2800000,Annual,Annual,Annual,Annual,No,person:fcfi:charlotte-reid,N/A,N/A,Critical,Continue; evaluate value-add services in cybersecurity and model risk,"EY external auditor since 2014; 2 SOX deficiencies noted FY2025; MRC committee reviewed; no rotation planned"
vc:fcfi:021,Exiger (AML Consulting),N/A — consulting,AML/KYC Professional Services,Compliance,1600000,3200000,2026-01-15,2027-12-31,612,No,person:fcfi:patricia-holbrook,N/A,N/A,Critical — Regulatory mandate,Extend through OCC examination closure; evaluate ongoing program management role,"Engaged specifically for OCC MRA remediation; CDD program architecture and investigator workflow redesign"
vc:fcfi:022,FHLB Atlanta (Membership + Advances),sys:fcfi:fhlb-collateral,Cooperative membership,Risk Management / Liquidity,N/A — advance rates market-based,N/A,$380M advances outstanding,Membership ongoing,Membership-based,Yes,person:fcfi:marcus-osei,N/A,N/A,Critical,Maintain membership; evaluate advance structure at next repricing,"$380M advances; 3-year fixed-rate; collateral pledging current; correspondent credit facility $150M committed"
