app_id,time_classification,rationale
APX-INV-MAINFRAME,migrate,Classified from lifecycle=mature_with_debt stack=mainframe criticality=1
APX-GL-MAINFRAME,tolerate,Classified from lifecycle=change_freeze stack=mainframe criticality=1
APX-AS400-MERCH,eliminate,Classified from lifecycle=sunset_planned stack=as400 criticality=2
APX-AS400-VENDOR-COMPL,migrate,Classified from lifecycle=mature_with_debt stack=as400 criticality=3
APX-SAP-ECC,migrate,Classified from lifecycle=mature_with_debt stack=sap_ecc criticality=1
APX-SAP-FI,migrate,Classified from lifecycle=mature stack=sap_ecc criticality=1
APX-SAP-MM,migrate,Classified from lifecycle=mature stack=sap_ecc criticality=2
APX-SAP-SD,migrate,Classified from lifecycle=mature stack=sap_ecc criticality=1
APX-SAP-CUSTOM-PROMO,migrate,Classified from lifecycle=mature_with_debt stack=sap_ecc criticality=1
APX-STERLING-OMS,migrate,Classified from lifecycle=mature_with_debt stack=legacy_java criticality=1
APX-WMS-MANHATTAN-EXT,migrate,Classified from lifecycle=mature stack=legacy_java criticality=2
APX-LEG-SUPPLIER-PORTAL,eliminate,Classified from lifecycle=sunset_planned stack=legacy_java criticality=3
APX-STORE-BOH,mature,Classified from lifecycle=store_edge stack= end-of-day criticality=480 store-edge installs + central sync
APX-ORACLE-LEG-AP,eliminate,Classified from lifecycle=mature_with_debt stack=oracle_ebs criticality=3
APX-COMMERCE-CLOUD,invest,Classified from lifecycle=mature_with_debt stack=saas_major criticality=1
APX-COMMERCE-EINSTEIN,invest,Classified from lifecycle=mature_with_debt stack=saas_major criticality=2
APX-WORKDAY-HCM,invest,Classified from lifecycle=active_dev stack=saas_major criticality=1
APX-SERVICENOW-ITSM,invest,Classified from lifecycle=active_dev stack=saas_major criticality=2
APX-NCR-POS,tolerate,Classified from lifecycle=mature stack=saas_major criticality=1
APX-PUNCHH-LOYALTY,eliminate,Classified from lifecycle=sunset_planned stack=saas_major criticality=2
APX-CDP-SEGMENT,migrate,Classified from lifecycle=sunset_planned stack=saas_niche criticality=1
APX-O9-DEMAND,migrate,Classified from lifecycle=active_dev stack=saas_major criticality=2
APX-DATADOG,invest,Classified from lifecycle=active_dev stack=saas_niche criticality=2
APX-ORDER-ORCH,invest,Classified from lifecycle=active_dev stack=modern_java criticality=1
APX-PRICING-SVC,invest,Classified from lifecycle=active_dev stack=modern_java criticality=1
APX-RETURNS-SVC,invest,Classified from lifecycle=active_dev stack=modern_dotnet criticality=2
APX-CHECKOUT-DTC,invest,Classified from lifecycle=active_dev stack=ts_node criticality=1
APX-DTC-STOREFRONT,invest,Classified from lifecycle=active_dev stack=modern_fe criticality=1
APX-RECS-ML,invest,Classified from lifecycle=active_dev stack=python_ml criticality=2
APX-FORECAST-AI-V2,invest,Classified from lifecycle=active_dev stack=python_ml criticality=2
APX-MAINFRAME-MOD-ASSESS,migrate,Classified from lifecycle=sunset_planned stack=mainframe criticality=1
APX-MAINFRAME-CLOSE,eliminate,Classified from lifecycle=active_dev stack=as400 criticality=2
APX-MAINFRAME-RPT,migrate,Classified from lifecycle=active_dev stack=legacy_java criticality=3
APX-AS400-ITEM,invest,Classified from lifecycle=active_dev stack=legacy_dotnet criticality=1
APX-JAVA-SUPPLIER-ADAPTER,eliminate,Classified from lifecycle=active_dev stack=oracle_ebs criticality=2
APX-JAVA-RETURNS-LEG,invest,Classified from lifecycle=mature_with_debt stack=sfcc_extension criticality=3
APX-JAVA-ALLOC,invest,Classified from lifecycle=active_dev stack=saas_major criticality=1
APX-JAVA-TAX,invest,Classified from lifecycle=sunset_planned stack=saas_niche criticality=2
APX-JAVA-CUSTOMER,invest,Classified from lifecycle=active_dev stack=modern_java criticality=3
APX-JAVA-GIFT,invest,Classified from lifecycle=active_dev stack=modern_dotnet criticality=1
APX-JAVA-FULFILL,invest,Classified from lifecycle=mature_with_debt stack=ts_node criticality=2
APX-JAVA-EDI-ADAPTER,invest,Classified from lifecycle=active_dev stack=modern_fe criticality=3
APX-DOTNET-SCHED,invest,Classified from lifecycle=active_dev stack=python_ml criticality=1
APX-DOTNET-TRAINING,invest,Classified from lifecycle=active_dev stack=mobile criticality=2
APX-DOTNET-RPT,tolerate,Classified from lifecycle=sunset_planned stack=store_edge criticality=3
APX-DOTNET-LOSS,invest,Classified from lifecycle=mature_with_debt stack=data_platform criticality=1
APX-DOTNET-TASKS,migrate,Classified from lifecycle=active_dev stack=mainframe criticality=2
APX-DOTNET-INTRANET,eliminate,Classified from lifecycle=active_dev stack=as400 criticality=3
APX-DOTNET-KIOSKADMIN,migrate,Classified from lifecycle=active_dev stack=legacy_java criticality=1
