initiative_id,title,status,accountable,vendors,committed_usd,projected_value_usd,sentinel_posture,evidence_note
INIT-SAP-ERP-FUTURE,SAP ERP Future Decision,in_scoping,CIO,TCS|Wipro|SAP,14000000,0,HOLD,Oracle DB migration sequencing and CFO capital posture unresolved
INIT-COMMERCE-OPT,Commerce Cloud Optimization + Einstein Activation,active,Chief Digital Officer,Salesforce|Accenture,6800000,18500000,CONTINUE,Ecommerce mix gap 18.5% vs target peer band
INIT-CDP-MIGRATION-PH2,CDP Migration Phase 2,active,Chief Marketing Officer,Salesforce|Segment,4600000,7200000,RESTRUCTURE,Scope creep added MarTech orchestration
INIT-O9-COMPLETION,o9 Completion,active,COO,o9 Solutions,5200000,11000000,RESTRUCTURE,40% implementation after 18 months
INIT-FORECAST-AI-V2,Demand Forecasting AI v2,active,CFO,Databricks|Vertex AI,3800000,14200000,CONTINUE,False positive trap: high spend but value tracking is green
INIT-LOYALTY-REPLACEMENT,Punchh Loyalty Replacement,stalled,CMO,Punchh|Salesforce,2100000,0,KILL,Sponsor reorganized out and RFP stalled nine months
INIT-MAINFRAME-MOD-ASSESS,Mainframe Modernization Assessment,stalled,CIO,Kyndryl|TCS,1400000,0,KILL,No executive sponsor until ERP future decision resolves
INIT-AS400-SUNSET,AS-400 Sunset,stalled,CIO,Kyndryl|Wipro,890000,0,KILL,Four downstream consumers block sunset
INIT-AI-PRODUCTIVITY,AI Productivity Program,active,CIO,GitHub|Cursor|Anthropic,1800000,8200000,CONTINUE,Modern microservice teams show highest measurable lift
INIT-STORE-MOD,Store Associate Mobile Refresh,active,COO,NCR|Wipro,6200000,15600000,CONTINUE,480-store rollout dependency on edge readiness
INIT-RETURNS-MOD,Returns Workflow Modernization,active,COO,Wipro,2900000,6900000,CONTINUE,Returns fraud and CX cycle-time objective
INIT-PRICING-MOD,Pricing Engine Modernization,active,CFO,Blue Yonder,3600000,9800000,CONTINUE,Real-time markdown and elasticity strategy
INIT-INVENTORY-VIS,Real-Time Inventory Visibility,active,COO,Kyndryl|Wipro,4800000,21000000,CONTINUE_WITH_WARNING,Mainframe dependency creates sequencing risk
INIT-FINOPS,FinOps / Cloud Cost Optimization,active,CFO,AWS|DataDog,1500000,6400000,CONTINUE,Cloud run-rate reduction target
INIT-WORKDAY-PHASE-2,Workday HCM Phase 2,active,CHRO,Workday,4200000,9800000,CONTINUE,Talent and learning rollout
INIT-SERVICENOW-MATURITY,ServiceNow ITSM Maturity,active,CIO,ServiceNow,1600000,5100000,CONTINUE,CMDB trust baseline 62%
INIT-IDENTITY-MOD,Identity Modernization,active,CISO,Okta|Microsoft,2200000,7400000,CONTINUE,SSO and privileged-access modernization
INIT-SDWAN-REFRESH,SD-WAN Refresh,active,CIO,Cisco|Verizon,5100000,18000000,CONTINUE,480-store network refresh
INIT-SECURITY-CONSOL,Security Stack Consolidation,active,CISO,CrowdStrike|Splunk|Mimecast,3400000,8400000,CONTINUE,Tool overlap and SOC coverage
INIT-WIPRO-AMS-OPT,SAP ECC AMS Optimization,active,CIO,Wipro,900000,5800000,CONTINUE,Q1 2027 renegotiation prep
INIT-MARKETPLACES,Marketplaces Expansion,active,CDO,Amazon|Walmart Connect,2700000,12800000,CONTINUE,Marketplace GMV growth
INIT-CUSTOMER-SERVICE-AI,Customer Service AI,active,COO,Salesforce|Genesys,3300000,9600000,CONTINUE_WITH_WARNING,Containment benefits require cost-per-contact baseline
INIT-PIM,PIM Implementation,active,CDO,Stibo,2400000,7600000,CONTINUE,Product data quality for omnichannel
INIT-MMM,Marketing Mix Modeling Modernization,active,CMO,Adobe|Databricks,1800000,6400000,CONTINUE,Media measurement shift
INIT-PERSONALIZATION,Personalization Engine Refresh,active,CDO,Salesforce|Vertex AI,2600000,11200000,CONTINUE,DTC conversion target
INIT-SEARCH,Product Search Modernization,active,CDO,Algolia,1200000,5200000,CONTINUE,Search relevance and latency
INIT-TAX-COMPLIANCE,Tax + Compliance Modernization,active,CFO,Vertex|Avalara,1300000,4200000,CONTINUE,State tax compliance
INIT-RETURNS-FRAUD,Returns Fraud Detection,active,CFO,Databricks|Vertex AI,1900000,8800000,CONTINUE,Fraud loss reduction
INIT-UKG-WFM,Workforce Management Modernization,active,CHRO,UKG,3600000,10400000,CONTINUE,Labor scheduling and compliance
INIT-SUSTAINABILITY,Sustainability Reporting Platform,active,CFO,SAP|Snowflake,1100000,3700000,CONTINUE,ESG reporting readiness
