tool_id,month,active_users,accepted_suggestions,policy_exceptions
FCF-AI-TOOL-01,2026-01,120,300,0
FCF-AI-TOOL-02,2026-02,157,397,1
FCF-AI-TOOL-03,2026-03,194,494,2
FCF-AI-TOOL-04,2026-04,231,591,3
FCF-AI-TOOL-05,2026-05,268,688,4
FCF-AI-TOOL-06,2026-06,305,785,5
FCF-AI-TOOL-07,2026-07,342,882,6
FCF-AI-TOOL-08,2026-08,379,979,7
FCF-AI-TOOL-09,2026-09,416,1076,8
FCF-AI-TOOL-10,2026-10,453,1173,9
FCF-AI-TOOL-11,2026-11,490,1270,10
FCF-AI-TOOL-12,2026-12,527,1367,11
FCF-AI-TOOL-13,2026-01,564,1464,12
FCF-AI-TOOL-14,2026-02,601,1561,0
FCF-AI-TOOL-15,2026-03,638,1658,1
FCF-AI-TOOL-16,2026-04,675,1755,2
FCF-AI-TOOL-17,2026-05,712,1852,3
FCF-AI-TOOL-18,2026-06,749,1949,4
FCF-AI-TOOL-01,2026-07,786,2046,5
FCF-AI-TOOL-02,2026-08,823,2143,6
FCF-AI-TOOL-03,2026-09,860,2240,7
FCF-AI-TOOL-04,2026-10,897,2337,8
FCF-AI-TOOL-05,2026-11,934,2434,9
FCF-AI-TOOL-06,2026-12,971,2531,10
FCF-AI-TOOL-07,2026-01,1008,2628,11
FCF-AI-TOOL-08,2026-02,1045,2725,12
FCF-AI-TOOL-09,2026-03,1082,2822,0
FCF-AI-TOOL-10,2026-04,1119,2919,1
FCF-AI-TOOL-11,2026-05,1156,3016,2
FCF-AI-TOOL-12,2026-06,1193,3113,3
FCF-AI-TOOL-13,2026-07,1230,3210,4
FCF-AI-TOOL-14,2026-08,1267,3307,5
FCF-AI-TOOL-15,2026-09,1304,3404,6
FCF-AI-TOOL-16,2026-10,1341,3501,7
FCF-AI-TOOL-17,2026-11,1378,3598,8
FCF-AI-TOOL-18,2026-12,1415,3695,9
FCF-AI-TOOL-01,2026-01,1452,3792,10
FCF-AI-TOOL-02,2026-02,1489,3889,11
FCF-AI-TOOL-03,2026-03,1526,3986,12
FCF-AI-TOOL-04,2026-04,1563,4083,0
FCF-AI-TOOL-05,2026-05,1600,4180,1
FCF-AI-TOOL-06,2026-06,1637,4277,2
FCF-AI-TOOL-07,2026-07,1674,4374,3
FCF-AI-TOOL-08,2026-08,1711,4471,4
FCF-AI-TOOL-09,2026-09,1748,4568,5
FCF-AI-TOOL-10,2026-10,1785,4665,6
FCF-AI-TOOL-11,2026-11,1822,4762,7
FCF-AI-TOOL-12,2026-12,1859,4859,8
FCF-AI-TOOL-13,2026-01,1896,4956,9
FCF-AI-TOOL-14,2026-02,1933,5053,10
FCF-AI-TOOL-15,2026-03,1970,5150,11
FCF-AI-TOOL-16,2026-04,2007,5247,12
FCF-AI-TOOL-17,2026-05,2044,5344,0
FCF-AI-TOOL-18,2026-06,2081,5441,1
FCF-AI-TOOL-01,2026-07,2118,5538,2
FCF-AI-TOOL-02,2026-08,2155,5635,3
FCF-AI-TOOL-03,2026-09,2192,5732,4
FCF-AI-TOOL-04,2026-10,129,5829,5
FCF-AI-TOOL-05,2026-11,166,5926,6
FCF-AI-TOOL-06,2026-12,203,6023,7
FCF-AI-TOOL-07,2026-01,240,6120,8
FCF-AI-TOOL-08,2026-02,277,6217,9
FCF-AI-TOOL-09,2026-03,314,6314,10
FCF-AI-TOOL-10,2026-04,351,6411,11
FCF-AI-TOOL-11,2026-05,388,6508,12
FCF-AI-TOOL-12,2026-06,425,6605,0
FCF-AI-TOOL-13,2026-07,462,6702,1
FCF-AI-TOOL-14,2026-08,499,6799,2
FCF-AI-TOOL-15,2026-09,536,6896,3
FCF-AI-TOOL-16,2026-10,573,6993,4
FCF-AI-TOOL-17,2026-11,610,7090,5
FCF-AI-TOOL-18,2026-12,647,7187,6
